fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,6f968d98-6ca7-4d4b-9e5b-cc728a06a227,O-20210208-000000-001-140737223657504-1,BINANCE-1-1,T-d1eb59afcb639be1-194431,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.053066,38828.93,2.06049600 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,9bcf1f54-6235-4e00-8c3e-7f9461544034,O-20210215-000000-001-140737223657504-2,BINANCE-1-2,T-c548b13be1158784-229447,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012049,48626.69,0.58590299 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,d68f1cf5-aa9b-4eae-bc6d-f6c4dd2eff61,O-20210222-000000-001-140737223657504-3,BINANCE-1-3,T-54ab2240262a4a50-264745,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000763,57462.56,0.04384393 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,fef968d2-8978-4527-ace5-0c225c04851d,O-20210301-000000-001-140737223657504-4,BINANCE-1-4,T-ac281f247fd7fda3-301335,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004997,45260.75,0.22616797 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,b08cd339-0380-47c3-adad-1ed7ef897591,O-20210308-000000-001-140737223657504-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.005887,50865.52,0.29944532 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,245ab420-016d-45d9-9dec-468405210524,O-20210315-000000-001-140737223657504-6,BINANCE-1-6,T-e4039ae4ef85d929-371895,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.003942,59240.26,0.23352510 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,6ba63daf-da80-4388-a0e3-befd3aa0d6ca,O-20210322-000000-001-140737223657504-7,BINANCE-1-7,T-e88f57f1af27578f-406907,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.044832,57386.15,2.57273588 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,1fdd3d7e-c593-41ac-9a7a-4bed628a67d6,O-20210329-000000-001-140737223657504-8,BINANCE-1-8,T-3082ee7b3f2bdc71-441987,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.054464,55824.60,3.04043101 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
8,7a153fdf-3111-46f9-b38a-c2e0e4721087,O-20210405-000000-001-140737223657504-9,BINANCE-1-9,T-7bab3a5fc888d8ab-476348,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007156,58249.80,0.41683557 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
9,a02379f2-a4d9-426c-9ae7-032eed990c84,O-20210412-000000-001-140737223657504-10,BINANCE-1-10,T-8306f8f8f7e67219-510506,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005647,60160.01,0.33972358 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
10,73d63cd4-d998-4b37-b450-bcae079d4343,O-20210419-000000-001-140737223657504-11,BINANCE-1-11,T-7d19d7b10f0e7d93-544941,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067267,56234.79,3.78274562 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
11,d95e430b-05ee-4d04-951e-c3e00ac1cab6,O-20210621-000000-001-140737223657504-12,BINANCE-1-12,T-5b933fac1eb5fddd-861010,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.064894,35576.54,2.30870399 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
12,5b5686a1-a9d4-44e8-85dc-696708fe02ff,O-20210628-000000-001-140737223657504-13,BINANCE-1-13,T-102ebecf4ba529a3-896934,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.064894,34579.36,2.24399299 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
13,f870eac9-53f5-4ee1-9a5a-4d56d0525093,O-20210726-000000-001-140737223657504-14,BINANCE-1-14,T-396cf8ddf89be646-1035713,BTCUSDT.BINANCE-DataActor-140737223657504,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.110397,35325.99,3.89988332 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
