adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:837343b2-4090-4a6d-9dc7-f4f301026552,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:30d45c86-6f7c-4965-ba95-38c034dc0ad3,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:efdfe1ae-8bac-46b2-909c-baf3fbe1bff7,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:7fa45519-f552-4d09-a84b-16bf45b6c0af,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:f2a85548-a756-4a58-ac10-110faae46090,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:b3973bb8-eb45-418c-b6cf-590df2d95e25,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:47b365a1-482c-4dad-aabd-5e547cb414ec,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:0984138d-03d4-4272-a2d7-ab355a9b662b,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:235448af-c616-4535-a76b-0d1f99d6f8fe,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:281fa0d7-f801-4da4-944a-7fcb5fa85d49,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:9d7be2f6-dccf-4b73-a1b4-130b66b60b49,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:d72cf005-1744-4e87-9f73-30961111ca9d,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:583fc5a0-aa77-43f0-a2c4-f038109b9d9f,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:254d298a-3e24-426b-a476-bd4566914afa,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:5f8dc0a6-cd21-40e8-a84d-dd8ded2b3fc1,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:4ce18e31-9ca7-4f56-a030-6888ee7bd06a,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:e4eebb26-4146-485c-af6c-5617f69a1784,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:50b757f2-7e35-481a-95b2-30c6616175f6,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:f5611b43-c07a-4864-a716-7bb83e7c0535,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:94e2c7e6-99b4-4fae-b3e2-ec6a258f7d7e,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:b44a496b-0cd8-4f98-a6fb-8b32fce55d5c,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:fc79c8f5-1992-4b2d-aeaf-e84db469f670,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:812b35e2-80f9-4fa8-bac0-075b790a9641,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:b28f37af-4107-49a9-8f40-98d343d268af,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:deb03b15-1331-40c5-869f-ed56bc7b4144,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:9560cb57-0b30-4ada-a359-25e8b29c8bc2,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:5c5b2483-437d-4c5f-bdb4-9ed6ba7251df,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:024326e3-658d-41b6-a770-c2ce8b5e27b2,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:19f880b9-57ba-4dd9-9326-04a261724fed,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:ad4fa859-461a-4edc-ac18-ca02516148ee,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:1a4bce83-dd69-4e56-9ed4-9d69828898fc,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:58627211-2f71-4f2f-8ab8-375be841fd04,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:ece3a4ba-ace3-4dce-9f68-9e2f66d4d101,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:fdf6d371-2349-4f16-a824-83ac552bcc43,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:67fe54ca-9b6d-409f-95e6-d17a153f5fd8,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:95810c61-e508-4dd6-9c5a-f926fd473eae,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:34471aa9-9429-485a-b4c6-c837ce80c457,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:090b844a-e03d-40ff-9f1e-223f82c5b16f,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:f371cf59-3378-4909-b62c-9d3e41161f29,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:6db6491c-3ac7-4928-93f8-fb92a65cd44b,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:fde7640e-c00e-4b14-a0e8-496a83fdd702,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:6158d5b9-d9c2-4ee2-a904-50fb77b4dc31,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:cf012a0e-4d56-4abc-928e-8eb98b60a841,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:5fbe3154-163b-4fbf-b644-8064d3d0acda,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:01960930-ef29-46cd-b1e0-ba8c86142364,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:b36a7635-7c0e-48a6-8119-5b0c5297cce7,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:d7b07210-554b-40f3-bda7-ade07ffeb511,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19888436 USDT,,funding_settlement:6fc346dd-5ac0-43a6-9219-f668de70c4da,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.36051227 USDT,,funding_settlement:fd6e1597-9d06-49c3-8009-11b813beaae9,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.55437329 USDT,,funding_settlement:cb3d5ca9-731c-4bb0-88ab-cff32d0a4b50,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.15619710 USDT,,funding_settlement:ba744431-1b7b-4c95-b240-dc81fe88f15c,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.25388122 USDT,,funding_settlement:ba0b7b9c-28ae-4255-a416-3fbd65515a55,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.24374331 USDT,,funding_settlement:e1423736-bf5a-45c9-aee4-f1a30d653c5c,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15390758 USDT,,funding_settlement:40213c8c-df29-49f8-9358-3a27f537610e,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.10073684 USDT,,funding_settlement:8124341d-f5be-46ce-82a3-81282161b85b,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16653492 USDT,,funding_settlement:2e01404f-a9e8-4026-a4c4-9f580646a606,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.42308039 USDT,,funding_settlement:08c8a438-7abe-443f-b78d-a99518b61ed4,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.15373542 USDT,,funding_settlement:c68f9b4c-02c5-4087-b2b3-54850d1c580b,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14514721 USDT,,funding_settlement:b051fa59-5c7d-4f67-9e63-7c6451aa7fb5,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12988610 USDT,,funding_settlement:2ff19c99-cc7c-4e12-a0ec-c3b2c82fe634,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.08884296 USDT,,funding_settlement:84a26e87-af87-4968-9c6e-d7e84a1a9eab,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01273398 USDT,,funding_settlement:a7617e45-4792-4187-ad3b-9b3aa0e92a4c,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.87345168 USDT,,funding_settlement:1c66bba9-739d-4dbd-b820-d96e5b8ffd83,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12502804 USDT,,funding_settlement:967108ea-6d6d-41f1-b613-b44d36ba9a5f,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19497868 USDT,,funding_settlement:20bae40a-6183-43af-af00-fe752d879928,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20480806 USDT,,funding_settlement:741c3cdd-bd02-4ca8-b970-bad23da35f25,1614643200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.17523038 USDT,,funding_settlement:043a9933-7449-459a-b0b7-2653a12e89cd,1614672000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18300614 USDT,,funding_settlement:a5ea1360-33f3-47fb-b291-39ac3a0a90b7,1614700800004000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.17718111 USDT,,funding_settlement:60f42a57-5936-4118-82f8-55eacf0cdfa8,1614729600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20882135 USDT,,funding_settlement:aadcef70-5780-4131-9891-533a401560f1,1614758400016000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.56179456 USDT,,funding_settlement:bc41d7df-659e-4896-b056-e8a85b712066,1614787200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22400680 USDT,,funding_settlement:2ef089c6-057a-47e2-adbc-01ece906d217,1614816000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20770578 USDT,,funding_settlement:a809840c-49ee-4320-b2d3-d22ea4d8f842,1614844800015000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20142286 USDT,,funding_settlement:79fa255b-dc3e-4991-a932-d83296b3cdc4,1614873600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.17542812 USDT,,funding_settlement:fbdbb771-b31a-437d-929e-723ba6ec7527,1614902400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15260342 USDT,,funding_settlement:b750a71f-7abe-4136-b303-9759478644d4,1614931200002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16406890 USDT,,funding_settlement:8dd93162-77b3-4596-a7df-136e63505745,1614960000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18523153 USDT,,funding_settlement:e058d22e-653e-45ac-9775-751b6ff25367,1614988800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18684821 USDT,,funding_settlement:c56e0675-42a9-4c6c-97ec-be3f34c1067e,1615017600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14859284 USDT,,funding_settlement:74c8bbe7-5c41-444a-945e-88a8fb0a708b,1615046400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.18762726 USDT,,funding_settlement:4552040f-8305-47f1-b18d-f23d5c32efb1,1615075200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21685972 USDT,,funding_settlement:8f1b1e2c-23ad-403a-9a2b-c8333fa5e7a9,1615104000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.16426120 USDT,,funding_settlement:a7cc1b1f-5c7c-4db9-a149-900a2ed50a44,1615132800008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.23862057 USDT,,funding_settlement:7d728bfb-7cbf-4d13-8dda-a9836978b887,1615161600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20502585 USDT,,funding_settlement:6eeec239-1880-411c-a83e-6de17de003ca,1615190400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.05892186 USDT,,funding_settlement:219b6b5e-aac4-4a87-bf06-3e2c3309ed08,1615219200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.18611787 USDT,,funding_settlement:62f8fdfb-56ca-4907-9bdb-fe551fc13736,1615248000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.44255694 USDT,,funding_settlement:cea2b02a-5de5-49a9-9483-44c79be12556,1615276800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.47236859 USDT,,funding_settlement:5bfb1ec3-a2f1-4c39-aeee-0079b417b6ca,1615305600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.23555410 USDT,,funding_settlement:25dc42c0-84ed-49a8-b6c3-d13aaf92222c,1615334400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.37290628 USDT,,funding_settlement:0844d5bc-58e4-40f6-abab-f06c20bb9939,1615363200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.76680332 USDT,,funding_settlement:2498f1f6-45f4-40c3-a9bb-3584bf62a7a4,1615392000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.98361103 USDT,,funding_settlement:1a82a157-4d2f-4ae7-a312-fc0070f7f767,1615420800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.24328404 USDT,,funding_settlement:60dcd384-a13c-4d4d-ab2c-182cfaa379d3,1615449600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.66453557 USDT,,funding_settlement:48be0360-3c6f-423c-b449-d5c6081377fa,1615478400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.28243997 USDT,,funding_settlement:b3dfd990-eff2-4ddc-9013-55c3c037ce7f,1615507200002000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.22150128 USDT,,funding_settlement:8b9becd8-7759-4ef2-a017-3cceb8ce1f51,1615536000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.06453484 USDT,,funding_settlement:2c3192e6-3857-44de-8fb7-845359e6c546,1615564800011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.63493326 USDT,,funding_settlement:7343b42c-02b7-4a3d-9c66-625d5df83c2b,1615593600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.41141162 USDT,,funding_settlement:229df273-180c-4136-8851-c5c69fae7d67,1615622400002000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.25489247 USDT,,funding_settlement:9c0712f4-c8f5-4660-ad70-9e0dc0bbf594,1615651200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.12816122 USDT,,funding_settlement:32f6549f-05de-4e23-a8e8-9e6a25c6ae32,1615680000011000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.40416862 USDT,,funding_settlement:34b43fbd-9f13-4fa6-85d2-ce33f7722840,1615708800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.64272659 USDT,,funding_settlement:d148e789-fcc7-46a5-a799-55bccb4c8f8a,1615737600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.72059128 USDT,,funding_settlement:f7d3739b-36fb-4bde-81c9-b4e51a285640,1615766400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.54256725 USDT,,funding_settlement:ff5882d3-2e15-4210-b0e0-bdd0ac690ad8,1615795200016000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.12088336 USDT,,funding_settlement:032044f3-76cd-416d-a015-9347444d0654,1615824000030000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00323428 USDT,,funding_settlement:e7390db1-ed78-409c-b5d5-83c12eba1943,1615852800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.73434238 USDT,,funding_settlement:5a6e84d9-e3ba-4cce-9be2-8e9aa832e306,1615881600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.43250855 USDT,,funding_settlement:3802f863-af99-4fb8-9c06-a3e1747371df,1615910400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.81383900 USDT,,funding_settlement:92c63757-3f17-4a41-88e3-72abdeb50797,1615939200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.56761265 USDT,,funding_settlement:3777c7ee-80ca-4152-861e-16ffbfa44097,1615968000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.22756509 USDT,,funding_settlement:8a69a181-42e8-4e7a-bc3c-82e1b428c5f7,1615996800009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.26332114 USDT,,funding_settlement:6416e3e3-ba64-4f8d-b4af-9a7917ed21f0,1616025600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.08378495 USDT,,funding_settlement:7ad97856-bd5f-4c5b-b60d-28eb478f2af7,1616054400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.63355152 USDT,,funding_settlement:5a13c537-d720-49fc-942c-3c657729642b,1616083200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.41372342 USDT,,funding_settlement:c43efe5f-5cdb-4277-94b4-429b9c04c1b7,1616112000011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.78229748 USDT,,funding_settlement:f0f07f68-cd2f-4667-bbe8-e317ee7c8f0c,1616140800001000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.69152519 USDT,,funding_settlement:50211616-f0bf-4d91-a965-7a373d7a7761,1616169600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.84327421 USDT,,funding_settlement:116febde-714b-4b16-a5c7-7102fceabaf2,1616198400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.21209653 USDT,,funding_settlement:d503a3af-d364-4cc1-a9a4-4d4062631eab,1616227200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.93301450 USDT,,funding_settlement:8ef9664e-fc23-49af-aee2-9f97c8590444,1616256000007000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35977373 USDT,,funding_settlement:ceb40564-37e8-41c1-b37d-6cf70ccf40c5,1616284800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.77425729 USDT,,funding_settlement:fcd468f2-d637-4fe8-83b5-a3c59a23410e,1616313600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.36710175 USDT,,funding_settlement:8cd7b44c-0c96-4c0b-96ff-e348c6cbcc8c,1616342400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.12358737 USDT,,funding_settlement:eeaa69bb-9bce-4fb9-b671-6d73b4c2f5e6,1616371200007000000
FUNDING,BTCUSDT-PERP.BINANCE,6.22358528 USDT,,funding_settlement:9ff20500-a114-49a0-ab34-68e96eaffb01,1616400000001000000
FUNDING,BTCUSDT-PERP.BINANCE,6.62845172 USDT,,funding_settlement:5ee65ab6-6aef-4f7b-879a-95821e2ab8bb,1616428800000000000
FUNDING,BTCUSDT-PERP.BINANCE,3.10464445 USDT,,funding_settlement:cb4ec9e9-26bd-4a83-b78c-fae33996e921,1616457600000000000
FUNDING,BTCUSDT-PERP.BINANCE,3.41928044 USDT,,funding_settlement:ae3840a7-e1aa-4f14-b0b3-e3880420b39f,1616486400010000000
FUNDING,BTCUSDT-PERP.BINANCE,5.52836193 USDT,,funding_settlement:f14cb2a8-5cf1-43c2-9111-0cf2e06ca281,1616515200023000000
FUNDING,BTCUSDT-PERP.BINANCE,6.89120803 USDT,,funding_settlement:fff44a98-046f-4941-aa2e-040f95e9f879,1616544000002000000
FUNDING,BTCUSDT-PERP.BINANCE,2.17873514 USDT,,funding_settlement:1de52855-6c9c-436e-b437-9d98ab4c9e3e,1616572800000000000
FUNDING,BTCUSDT-PERP.BINANCE,3.52864176 USDT,,funding_settlement:0622ac0a-65db-426b-8b1d-b981e414bb70,1616601600000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.46633254 USDT,,funding_settlement:2110b8cf-8258-4622-ade8-d0aa210281b2,1616630400000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.23902320 USDT,,funding_settlement:fb832866-3038-4b94-94d1-2257876ccb1b,1616659200000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.20882253 USDT,,funding_settlement:52a908c7-37a8-45be-b96f-d7d9538fe847,1616688000000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.94656708 USDT,,funding_settlement:47fb419d-ae50-4e9e-8eed-8045eb33ac2a,1616716800008000000
FUNDING,BTCUSDT-PERP.BINANCE,1.26955831 USDT,,funding_settlement:9394ff9c-01b2-416f-aa23-3cece5a573c0,1616745600000000000
FUNDING,BTCUSDT-PERP.BINANCE,1.26330288 USDT,,funding_settlement:ae794451-10d4-4a05-af58-ce7055326656,1616774400012000000
FUNDING,BTCUSDT-PERP.BINANCE,1.30421124 USDT,,funding_settlement:c4b289a9-dcab-45aa-8820-65b90fb88633,1616803200018000000
