fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,78cba6da-e5a7-485d-8579-16892d0bfa07,O-20210208-000000-001-140731138773184-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,2b08b53c-4782-495d-ab63-e521239bd64d,O-20210215-000000-001-140731138773184-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,ae3bd9d0-713d-4a46-9437-d6c883f76d1e,O-20210222-000000-001-140731138773184-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,234b2841-c062-4b8b-9093-156db9c23d20,O-20210301-000000-001-140731138773184-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,5b485302-9cf8-4fb9-9d49-796620fa99f0,O-20210308-000000-001-140731138773184-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,03348ae1-5ddd-4009-ab34-801474ea8b3e,O-20210315-000000-001-140731138773184-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,76e88d0e-5a73-45c7-9195-ae7558dad2bb,O-20210322-000000-001-140731138773184-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,9a2b473f-17f7-4a93-bedd-373559259307,O-20210322-000100-001-140731138773184-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,dbb439f9-4a37-411f-8662-d139ffcb55e0,O-20210329-000000-001-140731138773184-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,e600eaea-6dd4-4eee-818d-bbe5e2948076,O-20210329-000100-001-140731138773184-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,30e30c40-5ad8-4b64-b214-d895e4634dcd,O-20210405-000000-001-140731138773184-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,58234.60000000,0.23293840 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,a3a4164a-c6a4-4500-8cbc-79d492a59ce2,O-20210412-000000-001-140731138773184-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,60090.19000000,0.18027057 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,eeaf9ea4-a441-43b2-b639-fcd987f52377,O-20210419-000000-001-140731138773184-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.244,56140.04000000,13.69816976 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
13,9c7d2593-6342-4be0-bbb1-bbefa4b651f3,O-20210419-000100-001-140731138773184-14,BINANCE-1-14,T-78190bb18f0ea15c-553732,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,56236.47000000,13.44051633 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
14,ac49b2f5-0e54-4516-ba5e-f6ca987a24a7,O-20210426-000000-001-140731138773184-15,BINANCE-1-15,T-06eea41d47eb061b-589625,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.070,49063.93000000,3.43447510 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
15,c60b85e6-6477-4b3e-adde-140f8d8b94e1,O-20210503-000000-001-140731138773184-16,BINANCE-1-16,T-a2573f3f94e11b73-625049,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.082,56630.34000000,4.64368788 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
16,07da73c9-6c54-4b57-946f-3636945075e1,O-20210510-000000-001-140731138773184-17,BINANCE-1-17,T-ce24f27a7af93303-660195,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.010,58292.54000000,0.58292540 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
17,47930504-8df2-4e38-a49c-6bce9ea19903,O-20210517-000000-001-140731138773184-18,BINANCE-1-18,T-2213e5468ee6d2cb-695778,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.112,46429.27000000,5.20007824 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
18,3dedaab8-0855-4552-8f5c-2342bf3cc1d4,O-20210524-000000-001-140731138773184-19,BINANCE-1-19,T-c3d455e8b7c4a20b-732402,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.225,34651.59000000,7.79660775 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
19,d32de0d7-d5df-4349-9382-a55ef45c6ca2,O-20210531-000000-001-140731138773184-20,BINANCE-1-20,T-e3cf944dd53a0b20-768686,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.031,35651.82000000,1.10520642 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
20,6995d5ab-1ded-41b7-ad11-a902856660ff,O-20210607-000000-001-140731138773184-21,BINANCE-1-21,T-0d30a68c30e2e9b1-804450,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35801.72000000,0.10740516 USDT,USDT,TAKER,1623024060000000000,1623024060000000000
21,e78fe0d3-e0a2-474b-8187-a9e2a219dd48,O-20210614-000000-001-140731138773184-22,BINANCE-1-22,T-c198ee754c308f13-840021,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.085,38993.66000000,3.31446110 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
22,a380f7f0-3e23-4825-b144-d103841012eb,O-20210621-000000-001-140731138773184-23,BINANCE-1-23,T-5b933fac1eb5fddd-875277,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.435,35588.65000000,15.48106275 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
23,703200e6-cb36-4774-a0b3-d0f4c500a42d,O-20210621-000100-001-140731138773184-24,BINANCE-1-24,T-8f8807bfe4e1d4b8-875282,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.519,35570.49000000,18.46108431 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
24,90fa81f3-11ef-4bed-a173-394b747bb832,O-20210628-000000-001-140731138773184-25,BINANCE-1-25,T-102ebecf4ba529a3-910953,BTCUSDT-PERP.BINANCE-DataActor-140731138773184,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.519,34687.70000000,18.00291630 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
