adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:1a5b8629-1712-4a94-9856-1062eec5b063,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:95f87a95-ffcc-4615-8801-d6dcd97b0c3e,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:42dbbbc0-ed44-49f7-9696-b0685ae921e9,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:5ebf7964-59e7-4174-8173-3b2482087fa9,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:1991fafb-33d0-4311-885a-a3700257fd06,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:11c93dc7-b506-44dc-a087-ea582ec4451c,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:563d75dc-3a03-451e-a3cd-5fbac26bb98d,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:5c647764-afa9-45a9-b048-d239b794a030,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:1dd92832-4ee5-4b4c-8a6c-41aff2840d8b,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:85477d35-4513-4c1d-9487-442a18720c86,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:93f99827-c0ef-4976-89ed-777c418db167,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:af7e8485-b131-4daa-8f55-f653d04b4348,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:6b5ec07d-3513-496e-96a1-7ac4d432260b,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:34143ae8-74eb-4eda-90bb-693209a888d1,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:25aed7f5-72bd-4058-8789-c2c3db22369f,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:d70a7e4b-6d84-41b3-a419-951597a1d798,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:0e12b505-04da-48db-bb89-f737762566d0,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:d22ff638-7b37-4665-b852-cea83f6f2066,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:a83ae37b-d21e-4bd1-b9b0-2633ede63166,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:279359e7-334d-460c-ac81-a2266655d06e,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:996e4e44-64f8-4253-a260-fb1bbab89a12,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:7aa56aea-2965-486c-802f-63c26f5eb842,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:81b31f37-a09e-4240-9c55-d662f6b101d9,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:8139f649-f407-4f67-ae38-72d3febeeb1a,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:4ca76df0-c634-4738-9e21-e5c17bb8453f,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:0cb764a8-2866-4acf-bc9c-6775268f0afc,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:612e5100-8ed2-48bd-8922-7c8924fcb180,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:e087298d-bdd6-4fa0-98d9-708db471cdff,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:27105ac1-87d1-4068-a5af-0dd698a75383,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:9e72a8ad-d2eb-4af2-987a-a0291c55d5f6,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:c23d7b66-b74c-4238-a236-20ca3a8ae982,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:ea6d49c0-5352-4372-883d-c124d3b5d962,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:e63f637c-00fd-416a-b4ac-b248a67ad457,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:71f69707-15ab-421a-991e-c3eb937ba0ab,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:f71f1123-81ee-4c40-9d5c-e8bef79edc93,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:b686e70b-01ce-404c-887e-d96778f3579c,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:071a94e7-ba61-462b-8fec-1dc6c6e99155,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:b647d29b-2c9f-405a-8017-248bd36370de,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:d7c06588-7559-45fd-accc-45c5f85d318d,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:a61936b9-9672-43ca-b688-5aa740b800bd,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:d51bc506-5dd8-4663-8e98-61ee6edb095d,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:f60f7a9f-840f-4c97-a888-1ed94697c4f3,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:71952217-a336-487d-976f-17badace04de,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:04ed7a77-b807-4aac-b827-c17694f55933,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:47cea757-2172-40a3-97c0-7c8eec3f9bd9,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:148c6caf-5384-43da-8131-4fecf920fec5,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:b9ce0bff-b13b-4a07-ac27-2282fe891ee6,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19888436 USDT,,funding_settlement:44ca39db-3fd4-40b4-8246-456eba214cca,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.36051227 USDT,,funding_settlement:565de671-d1fb-46d2-9047-d0f4ebc5ff50,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.55437329 USDT,,funding_settlement:345316fa-7e9b-40aa-8245-e1bbd5910b90,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.15619710 USDT,,funding_settlement:1d6741bb-5962-49d0-9292-fb849b34d7be,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.25388122 USDT,,funding_settlement:ebb78e25-38ec-42fa-bddc-2d0597ce25b6,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.24374331 USDT,,funding_settlement:d774ffd0-d25f-4a51-b860-34c8fcbd5bc4,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15390758 USDT,,funding_settlement:8bf5bce9-cf8d-43a3-84d9-3258bbd73e9c,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.10073684 USDT,,funding_settlement:e5fbe03d-529c-4b31-91dc-7b8678d6cd94,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16653492 USDT,,funding_settlement:a89fca5f-bc93-41d1-9d40-78aedc7f4bdf,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.42308039 USDT,,funding_settlement:f014a050-3ff1-4621-9b62-9287fe01b692,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.15373542 USDT,,funding_settlement:68ec57ce-2bc9-47bd-b36e-4276299ec42b,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14514721 USDT,,funding_settlement:b6a611b3-1bae-4d16-b496-bdec5d4a564b,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12988610 USDT,,funding_settlement:16d5fd3e-4d32-41ce-9f4f-fe8f165f46a0,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.08884296 USDT,,funding_settlement:16506c26-eaa0-4f2c-96ac-6a57d13db526,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01273398 USDT,,funding_settlement:45a1ac14-5e50-4606-a283-02dc34dcce7d,1614528000000000000
