fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,1db1e0a9-d316-4d0d-853b-6cd0b27f4336,O-20210208-000000-001-140736788569504-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.052,38849.26000000,2.02016152 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,acf1fbc8-ad6c-431d-9da4-b03b0c2982ce,O-20210215-000000-001-140736788569504-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.012,48655.20000000,0.58386240 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,bbbb02a9-2573-494d-87ba-fb2db59e1d8f,O-20210222-000000-001-140736788569504-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,9f2c6411-9993-4f25-aaa1-f02f0e891823,O-20210301-000000-001-140736788569504-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,45163.37000000,0.18065348 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,5a4bd59d-0c1b-46d9-b23a-4b5a8b4b091a,O-20210308-000000-001-140736788569504-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,50995.26000000,0.25497630 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,bfb5331c-5bfe-42c6-bed9-cf15d4c0d254,O-20210315-000000-001-140736788569504-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,59037.13000000,0.17711139 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,4f56241b-e18b-4a60-b35a-179332f52196,O-20210322-000000-001-140736788569504-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.043,57415.17000000,2.46885231 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,77a2fd54-f89c-455c-92f3-f9d2ace7cc51,O-20210322-000100-001-140736788569504-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.046,57449.36000000,2.64267056 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,0ecd6d1a-c609-4b95-915c-0cb2db354a75,O-20210329-000000-001-140736788569504-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.046,55805.09000000,2.56703414 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,c118a48a-f007-42f5-b15f-76797b962d40,O-20210329-000100-001-140736788569504-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.053,55857.04000000,2.96042312 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,83a6df51-f330-403d-a1f2-86e8a31c01cb,O-20210405-000000-001-140736788569504-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140736788569504,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
