adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:9ce1e5d9-05a1-4f27-be1a-97916d19e43b,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:ede0039e-902d-4dca-905b-a16f83b75a70,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:ef0d203c-499a-4af6-bf65-22435069a3fa,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:f752aa41-1e1d-40ef-ac8f-d916cc1d6109,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:264b2359-5983-4643-b30a-815fe29c4fbd,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:62c1768f-8233-4932-ac42-577c102fcb38,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:81476021-76f1-4adf-b5ce-923e4719cd05,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:2910d498-1f9f-498d-aa37-f367314d4ddf,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:3f290304-41f9-44da-877c-b20f9f06eee3,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:f461671a-be5f-4968-b76a-589118bedfe1,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:25b42d9a-c460-410e-9b13-f9d0fa31902c,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:44092812-73cc-469e-b9a6-5ef0ba0bbc2d,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:5fbc375d-46a0-4d82-9ddd-2b98d226fbfe,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:34d8e111-e7a4-453a-8ec7-d1fc45ecb287,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:ec8a76a2-4312-4dac-8225-ca006364cdde,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:45bee055-daf9-4016-a222-851e7257c91c,1613203200003000000
