fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,93c81e67-25a1-46d4-b880-1ce00c544625,O-20210208-000000-001-140725381710960-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.052,38849.26000000,2.02016152 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,692c93a9-aafe-468e-a000-bb6559fbf24b,O-20210215-000000-001-140725381710960-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.012,48655.20000000,0.58386240 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,413fc5e1-7456-4145-affe-a0fde42da71e,O-20210222-000000-001-140725381710960-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,b7b9c57f-0b23-4000-a160-ba91ca0df189,O-20210301-000000-001-140725381710960-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,45163.37000000,0.18065348 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,6eb46c18-62be-45ef-a744-a612a1921672,O-20210308-000000-001-140725381710960-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,50995.26000000,0.25497630 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,ee95e62f-fbe7-4098-9737-d7202e06627a,O-20210315-000000-001-140725381710960-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,59037.13000000,0.17711139 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,b5d2a05b-914a-496d-8647-12c1f8c376ea,O-20210322-000000-001-140725381710960-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.043,57415.17000000,2.46885231 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,be9c797b-a157-4ebb-842d-4a88cc25d5db,O-20210322-000100-001-140725381710960-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.046,57449.36000000,2.64267056 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,661cdc42-d9e3-4be9-ba03-d267f26dd2f4,O-20210329-000000-001-140725381710960-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.046,55805.09000000,2.56703414 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,7b035df8-ec26-4d42-a666-fe3616d73a01,O-20210329-000100-001-140725381710960-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140725381710960,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.053,55857.04000000,2.96042312 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
