adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:a107f7ab-0a8c-48b9-aaae-93a5865ae1fa,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:8378e5b2-871c-47a4-a1d4-19bdc55efd3b,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:4c8b6039-d5c3-4b3c-9b36-5bf9408bbf6f,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:00d2cda0-8bf1-4fba-82fe-0508754f789b,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:b3748df6-bf7d-4241-a603-f8d6281265e7,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:9123219f-ef33-4632-b7a0-74573424f4a8,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:73e3d8e5-0824-48e7-80f7-699c274b6ca2,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:00d894f7-454b-4a4a-94ea-84e4ea5c637b,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:1d221d2a-afac-4242-b758-44ffc66a63c4,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:bf787917-fa61-4d6a-941e-b343cc73f8dd,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:1aeda589-3b09-461d-a2f2-183777feaaa3,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:387fa34c-671f-4d2f-8586-18f3fafe835a,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:c47babbb-cbfe-4c4e-b8ad-243b191f7332,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:f61d2183-8b7c-422f-ba01-66e2326d99cc,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:360b2764-1638-4813-8d86-607f60634739,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:7eda3ae1-d396-4d6d-be48-987e3ac44727,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:2f1761b8-aa44-42ea-b96c-f592d1f91b03,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:c588e6b6-7161-4a6e-b227-74e641a6ef3b,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:78fc170a-e9c5-43f5-99e7-8dd4ff548762,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:4b9454d4-449b-4e0a-9f12-0d2b543a419e,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:ab308abb-39de-406a-9c08-bd4a53e81921,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:1de75d5e-da66-4863-9cd3-be75881ba41b,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:8a04f84b-c9d4-4ebf-a310-f0dbe298560e,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:8a5ad201-8658-4cb6-8ae9-61f421618bf4,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:b578e259-9c4c-4a1b-a550-fbf50f382677,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:71c05026-a82f-4938-a1a6-a19a6e4f3c08,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:1103089c-d58b-419b-8aec-ce5cd4f3de26,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:3ee77973-b96d-44db-a3e8-98eeb2bf3e26,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:b2bb0bdf-a20f-43e5-9749-de3294045f87,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:62a5277f-8b22-4e19-8d79-8d603509ada8,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21039489 USDT,,funding_settlement:5c3a5c1a-865a-47f6-85f3-ee4415995526,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60029557 USDT,,funding_settlement:a7459bf1-34d7-4148-848b-ceccdec664de,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.88387443 USDT,,funding_settlement:e310d3bf-9d1c-462c-af8f-7bbd42d6899d,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.75233488 USDT,,funding_settlement:c53fdc0e-9a8e-478d-82cc-5ae9bdd28354,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77862596 USDT,,funding_settlement:cdaff151-aaef-4a35-8583-b5eb3fc5dd21,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.50046089 USDT,,funding_settlement:cb3ebc10-9fbd-4f12-993d-e6dc35e4f8fc,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.57628501 USDT,,funding_settlement:edc32dea-8a00-427e-b0c7-8072f5654275,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75446328 USDT,,funding_settlement:34224cf4-b46d-4d9c-b8eb-34265386231c,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.24544934 USDT,,funding_settlement:d0e2fbbb-ea31-445a-b51f-4dd11e0b2269,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.22379924 USDT,,funding_settlement:0a5939c9-b7b5-47c8-8dc1-1d95511ede7b,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.88831699 USDT,,funding_settlement:58225060-5b9a-4b54-8f5b-25feb0a4d790,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69072241 USDT,,funding_settlement:54cc9262-0d5e-4bff-8379-a8681c09d020,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.12616766 USDT,,funding_settlement:e00acbfa-47a1-4792-82f1-33c22b29e2fc,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70127621 USDT,,funding_settlement:9466bd1a-5ad3-4c0c-a096-df9b0cb445b3,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.55349828 USDT,,funding_settlement:e5a43fe5-50fc-4f54-be14-506477cfce7c,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.60361288 USDT,,funding_settlement:ed3247fc-a6fe-4704-a91f-e9de96ce5f6f,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.26472910 USDT,,funding_settlement:91291725-6247-491b-8256-4f902aa0ac18,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20062963 USDT,,funding_settlement:e936fc26-6a15-4e9f-a18c-c56139d5fbe8,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.06441226 USDT,,funding_settlement:3779577f-8644-48f5-bd52-f854d5b3769d,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76216043 USDT,,funding_settlement:595a75d6-08e2-4be8-bbe2-3699a32ec37f,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.36083298 USDT,,funding_settlement:9827fd4f-1e74-4231-93d0-d9d6f9c5684f,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.37718012 USDT,,funding_settlement:15b05673-77a2-4895-b432-59b907cc238b,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71017745 USDT,,funding_settlement:c8cfe19d-cad9-47df-829c-a7d4919e2f71,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19310290 USDT,,funding_settlement:fc1150fa-3154-4df1-881c-666c489c666d,1614297600000000000
