fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,bd761b71-c6ec-46ce-8b19-2ee296880b62,O-20210208-000000-001-140724831724816-1,BINANCE-1-1,T-d1eb59afcb639be1-194431,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.053066,38828.93,2.06049600 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,d341bf37-65d6-44da-a42f-37190ce3dcbd,O-20210215-000000-001-140724831724816-2,BINANCE-1-2,T-c548b13be1158784-229447,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012049,48626.69,0.58590299 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,64368335-f7c6-4dc2-ab0b-8f63ac63baf0,O-20210222-000000-001-140724831724816-3,BINANCE-1-3,T-54ab2240262a4a50-264745,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000763,57462.56,0.04384393 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,463704df-87b6-4df2-8fa9-b870841fe5ff,O-20210301-000000-001-140724831724816-4,BINANCE-1-4,T-ac281f247fd7fda3-301335,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004997,45260.75,0.22616797 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,e77713c2-d939-449f-8bcf-aebcfc4e8774,O-20210308-000000-001-140724831724816-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.005887,50865.52,0.29944532 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,5ccdc0a3-2296-4c81-b1b0-44b105344603,O-20210315-000000-001-140724831724816-6,BINANCE-1-6,T-e4039ae4ef85d929-371895,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.003942,59240.26,0.23352510 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,7185df3b-efed-41c6-b4ff-e8e9fd809b8c,O-20210322-000000-001-140724831724816-7,BINANCE-1-7,T-e88f57f1af27578f-406907,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.044832,57386.15,2.57273588 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,e50da245-f557-4c27-938e-cac6d438f9ea,O-20210329-000000-001-140724831724816-8,BINANCE-1-8,T-3082ee7b3f2bdc71-441987,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.054464,55824.60,3.04043101 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
8,42515d53-4b6d-44a3-a0a4-1d0b75baf94d,O-20210405-000000-001-140724831724816-9,BINANCE-1-9,T-7bab3a5fc888d8ab-476348,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007156,58249.80,0.41683557 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
9,c0dceecc-cf69-4790-8a76-72573d9c04b7,O-20210412-000000-001-140724831724816-10,BINANCE-1-10,T-8306f8f8f7e67219-510506,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005647,60160.01,0.33972358 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
10,bf726deb-1ea4-48b1-b856-68ce7f6c6059,O-20210419-000000-001-140724831724816-11,BINANCE-1-11,T-7d19d7b10f0e7d93-544941,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067267,56234.79,3.78274562 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
11,7ef1c3f2-e97a-4382-a87a-a75d45ec63e5,O-20210621-000000-001-140724831724816-12,BINANCE-1-12,T-5b933fac1eb5fddd-861010,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.064894,35576.54,2.30870399 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
12,727dbd94-3ca5-4f0a-89b5-d6657c2604f1,O-20210628-000000-001-140724831724816-13,BINANCE-1-13,T-102ebecf4ba529a3-896934,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.064894,34579.36,2.24399299 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
13,60941e78-f72d-42e2-9dbe-fdc04dbb93e2,O-20210726-000000-001-140724831724816-14,BINANCE-1-14,T-396cf8ddf89be646-1035713,BTCUSDT.BINANCE-DataActor-140724831724816,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.110397,35325.99,3.89988332 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
