adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:acd33342-0058-43b4-ad19-a5348c62631c,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:af2a8db1-0815-414d-be71-035afb6c1f4f,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:70dbbe7a-7b61-47be-9db2-c570c5210d83,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:ba3dc75b-7fbf-4e13-84bb-1688896338eb,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:2db0d27c-a31b-482d-9189-f697ba249581,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:c524563b-b411-4ec8-b736-273008541eeb,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:4d16d547-f4a7-491c-9c1e-7ae79ba90d94,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:d4afc63c-a1a9-4453-9c53-916ddeac76d7,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:2af7d137-2c05-4b62-8da2-2101a0338cb5,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:ec1d672b-06e5-423d-8ade-03eae493c04b,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:59be47c9-df6a-46af-8210-abcc2aba6f70,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:0dbf8156-3369-43fd-807c-eed2efafc9e0,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:717f01c3-b03d-4fe7-80f1-53443f1986db,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:1dd14f6d-7593-4451-a2c0-cf3457d4b229,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:60367669-a632-4e06-99a3-f005af6f1c47,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:b989121e-61c3-4598-aac3-6e0a40a88936,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:875f2406-8b7d-4f1a-b717-defb49a0f118,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:1a9ef1f7-1b1c-4b0a-8714-bc7d8f911c79,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:2184b9bf-147e-494a-bd42-190d7847961f,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:5fd2da4c-3516-4532-880a-fbee0f7781c9,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:ad354a29-be80-423d-af69-84e46ef13d04,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:b398a209-9629-4fde-bfb0-8e71639ca91b,1613376000006000000
