fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,984ad629-7ec9-4bbd-b256-0fc1f5e2544c,O-20210208-000000-001-140724905969616-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.052,38849.26000000,2.02016152 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,7ce1778d-e509-41fe-b9f5-2c5af7b29531,O-20210215-000000-001-140724905969616-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.012,48655.20000000,0.58386240 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,9c270e91-8dd6-43de-a027-91278819823b,O-20210222-000000-001-140724905969616-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,32170ed7-fecf-4aeb-baa0-2f883fcfcadc,O-20210301-000000-001-140724905969616-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,45163.37000000,0.18065348 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,cbb49384-61a7-4877-a9fb-989b273d89cb,O-20210308-000000-001-140724905969616-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,50995.26000000,0.25497630 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,b59d5bc2-e1ed-4556-91cd-19d44ca50d94,O-20210315-000000-001-140724905969616-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,59037.13000000,0.17711139 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,32dce58a-62d4-4ee9-8ce8-b560d5079b8a,O-20210322-000000-001-140724905969616-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.043,57415.17000000,2.46885231 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,fb773dd3-200c-4c6d-a157-ebe1f47c4c81,O-20210322-000100-001-140724905969616-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.046,57449.36000000,2.64267056 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,578fbdbc-f633-4011-85fe-e79854323cf9,O-20210329-000000-001-140724905969616-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.046,55805.09000000,2.56703414 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,557a9f97-197f-4056-87e8-f99714805a5e,O-20210329-000100-001-140724905969616-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.053,55857.04000000,2.96042312 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,886deae5-f3d5-47e5-90fe-5445e9898f07,O-20210405-000000-001-140724905969616-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,bd5054c6-a63f-4b96-838a-c053323de4d6,O-20210412-000000-001-140724905969616-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,c1eb706e-2283-4dcf-884c-528cdc3fccc4,O-20210419-000000-001-140724905969616-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140724905969616,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.065,56140.04000000,3.64910260 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
