adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:d244fcf7-aa0c-4cba-ae7f-8d05854a9f98,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:a6f0f382-f361-42c7-aff8-f95659774688,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:6282e8bf-cdac-4d42-9621-63273ae10668,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:56b41919-a544-4f2f-bc4e-77c7c1b4a29b,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:3952cd8a-00e8-4601-a6e2-88101c52098f,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:ff15f805-c090-427d-9650-eea6aadd5169,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:553c1fa1-b1fa-485c-aca6-9edc329538a0,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:0771e2e8-61eb-41a4-8a42-4a60cbdabb77,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:494941d1-a16a-4ff5-abb3-d8507688b419,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:2de0515c-b29e-4dcc-8d1b-b8334d626b28,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:0cc3a87d-db17-45bd-b784-4631df257523,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:68e8efb5-ed78-4f04-b50b-ebd5248ee38f,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:bfc71ff2-5233-4c74-95df-e572eefe8a53,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:ac754916-e102-40d7-ac69-91c5380bd949,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:da43c6b0-f311-4c7d-a87a-6d4e70b31eaa,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:e632898d-a7dd-4447-a9be-e7a78e7ac2d5,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:032ac455-a563-42ff-b87a-c68e2f2a155c,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:d35ba42b-3332-4073-a1dc-f192c52fb856,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:8b31d09e-4a75-4e0b-88e5-d26bfa8eff7f,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:3c606030-f907-48c8-92e1-db1e7d20ce4d,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:ac1b2184-be1e-4edb-9d76-929b3498d8b3,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:ff883c58-1aed-4d6a-857a-b960dbaea6a2,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:90a19aa9-34db-4b3b-a996-489f35464170,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:5a58c205-380f-4cb9-940f-0738cbb54a7a,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:a5812cb1-63b8-43ed-a1a4-e818a68fb802,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:af02f4ba-45c3-413b-a4ab-edf1c3757cc9,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:0a19c559-7a42-4cce-9293-f88eef278ab3,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:ef870684-583a-4902-8df5-70c235a03cdc,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:c575f3a4-3bcb-46b4-8acc-6d4c468b8ad2,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:2aefb3ce-0b6e-4100-86d0-8e477acef1b5,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21039489 USDT,,funding_settlement:eec1bbd6-e31e-4831-be7d-a4aca335e685,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60029557 USDT,,funding_settlement:27b3f0d9-1e91-46fa-9695-400901808296,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.88387443 USDT,,funding_settlement:f0ac3642-265a-417a-bf88-3f6e142442f8,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.75233488 USDT,,funding_settlement:857569e9-f192-4fe7-8768-42cd37acdad3,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77862596 USDT,,funding_settlement:c4fa57bf-1a7f-41fa-84a9-41a5c6d8bbd7,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.50046089 USDT,,funding_settlement:87aed5bf-95ae-4ba1-b255-249255bc0848,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.57628501 USDT,,funding_settlement:8cec56c0-501e-4aed-9f1c-405eed4d11d4,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75446328 USDT,,funding_settlement:2bfcb651-5f82-43d9-802e-7f27d157bbab,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.24544934 USDT,,funding_settlement:c65c3f10-872e-457d-8b38-da31cf451a58,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.22379924 USDT,,funding_settlement:e827e514-b427-4218-8804-6af84a45b2b1,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.88831699 USDT,,funding_settlement:027d5d00-8021-48c9-ac72-1187a8c18871,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69072241 USDT,,funding_settlement:34f38f7a-623c-4272-8090-fdba2583ae05,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.12616766 USDT,,funding_settlement:bbfe3dda-4d54-4d60-89a8-f544eff0355a,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70127621 USDT,,funding_settlement:838063a5-0f07-424b-98b8-328c893d4e22,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.55349828 USDT,,funding_settlement:adf30f9e-3883-460f-8cce-4a35becb112f,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.60361288 USDT,,funding_settlement:d808e22d-feb9-44c4-adbd-899278081540,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.26472910 USDT,,funding_settlement:73ac946e-3312-4256-853b-d1f17ba1da2d,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20062963 USDT,,funding_settlement:68434182-f667-4949-99f7-f2af3864d427,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.06441226 USDT,,funding_settlement:0cf6f66b-b8a0-47fb-8a60-df1ec18d8121,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76216043 USDT,,funding_settlement:d6b47017-be06-447a-960e-29b9126a5822,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.36083298 USDT,,funding_settlement:54b8dbb7-f0a4-422d-9f96-967fb7a592fb,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.37718012 USDT,,funding_settlement:f9ee0680-3766-43e7-90f7-4a49cb649e46,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71017745 USDT,,funding_settlement:2266e722-4e2d-41f7-90e6-e6ea9973d54b,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19310290 USDT,,funding_settlement:17821b98-32a0-47ef-8f30-188e44b79dae,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18420494 USDT,,funding_settlement:81153f39-99dc-4dc3-a110-a0e0902829e7,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19521605 USDT,,funding_settlement:0f71b206-8d1a-471d-92c8-3e1f0bf05255,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.57284202 USDT,,funding_settlement:fe4c7b9f-c4cc-4487-886b-94a2ba5d59d5,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.86246185 USDT,,funding_settlement:d5cccde5-d0de-4773-ad00-d72d24497627,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19163688 USDT,,funding_settlement:8f27bc5b-eb95-423f-b00d-beeeae3d1f3c,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18908298 USDT,,funding_settlement:48bfbdd5-a4ec-47ad-aefb-f7d8e3dfd4a7,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18221454 USDT,,funding_settlement:b85786cd-96d0-449b-8ac9-acf62f964a64,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.67151875 USDT,,funding_settlement:cf974490-1d07-4425-91dd-845a30a8e491,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.31351640 USDT,,funding_settlement:c53cf2aa-d75e-4449-b191-c8854cb5830f,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20833852 USDT,,funding_settlement:17173180-dc22-4a11-8a29-889a96ef3ed0,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22129235 USDT,,funding_settlement:e17e1b45-a15a-47fd-9d35-fefc1cc60579,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22311260 USDT,,funding_settlement:7715f848-3c70-44cb-9f19-2e3d081bbcda,1614643200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21763526 USDT,,funding_settlement:2db3c08c-b5a0-48cc-b70c-98da03154ce2,1614672000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21907521 USDT,,funding_settlement:7c379bfa-0527-4281-9fd3-6c8f493423eb,1614700800004000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21799650 USDT,,funding_settlement:81373ccf-3e81-4079-bdbb-67bc1501bfd7,1614729600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22385581 USDT,,funding_settlement:44a3e591-1a08-4ad1-a469-4a2d0aec210d,1614758400016000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.02996196 USDT,,funding_settlement:24b7df36-c899-40d4-96fa-8e11105ca535,1614787200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22666792 USDT,,funding_settlement:6158c21e-3e85-4f2a-9f5f-5d6c1f208a70,1614816000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22364922 USDT,,funding_settlement:058453e2-5002-4623-b58b-8a87758c8e11,1614844800015000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22248572 USDT,,funding_settlement:c8d34e02-d067-48a7-854a-87dba8209798,1614873600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21767187 USDT,,funding_settlement:ae130a5b-780d-41b8-9024-ec15745147f6,1614902400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21344508 USDT,,funding_settlement:f2b0d502-3b55-4691-a914-48f7e8050ee9,1614931200002000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21556832 USDT,,funding_settlement:ad75b2ff-03e9-4b2f-8a1e-69ba1448e026,1614960000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21948732 USDT,,funding_settlement:45502060-4b03-4de8-9ea3-b8c298bb0634,1614988800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21978670 USDT,,funding_settlement:381b7db5-c131-4a9a-9ea6-28e64b02fece,1615017600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21270238 USDT,,funding_settlement:187629ad-c748-4765-9dc7-5e9aacfe8ea2,1615046400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21993098 USDT,,funding_settlement:54525a92-677f-4ac8-bd8e-58f419d3f910,1615075200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22534439 USDT,,funding_settlement:4f54ef6d-6072-46de-9aef-2a7f3059ac8a,1615104000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.40078911 USDT,,funding_settlement:6a73c8f5-a95a-45ff-a815-2869272ddee3,1615132800008000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22937418 USDT,,funding_settlement:10775ef6-edc1-483b-82e9-3c87d2bf8633,1615161600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19917783 USDT,,funding_settlement:cb050ecd-06e7-424e-b069-d6ea7f7e767e,1615190400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.50560692 USDT,,funding_settlement:d02f16e4-6393-4159-a84f-7ff4f7a1f5bc,1615219200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.51836659 USDT,,funding_settlement:eea5674d-db48-4e6d-9b92-8179aceae6d1,1615248000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.89959619 USDT,,funding_settlement:7a278484-0ce2-46aa-8247-6435d3d022b9,1615276800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.23510225 USDT,,funding_settlement:eb380c96-bd3b-4f8d-a8eb-7ae058e2c11e,1615305600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.53480233 USDT,,funding_settlement:6a6ab343-ba02-4304-ab47-dd4b83b5832a,1615334400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.05337294 USDT,,funding_settlement:7482b7a4-e7fb-4532-8465-aab61600c3c8,1615363200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28376914 USDT,,funding_settlement:bef7b9d0-ed80-4e43-ad1f-253e262ff7a1,1615392000008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.14605141 USDT,,funding_settlement:6fe5190e-1b64-4e4f-a54b-a97b306c08e6,1615420800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18897257 USDT,,funding_settlement:626908cd-1254-4bcc-ace8-2521bd9ebe57,1615449600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.92802241 USDT,,funding_settlement:3654bad6-eb59-4408-9001-4bb67f29d2d0,1615478400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.36073388 USDT,,funding_settlement:a47f3c7d-d3a0-4daf-be52-aaaf33c723bf,1615507200002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.52421509 USDT,,funding_settlement:ba8a683b-dfbc-4c1a-ae50-f3b24a16b500,1615536000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16769171 USDT,,funding_settlement:c1b48a24-8208-44ea-b4eb-494778c9eb60,1615564800011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.09668318 USDT,,funding_settlement:590e1d71-e6fc-4bd3-9aba-080840c5877d,1615593600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.39031597 USDT,,funding_settlement:2a1234e8-f8da-4c0c-8c76-bd4fce247a1e,1615622400002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.36444504 USDT,,funding_settlement:1b3b16a5-d23d-4ec1-8382-62b6f82f39c7,1615651200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.00465475 USDT,,funding_settlement:557fa288-00e1-4b5a-b2c2-25ecef24a435,1615680000011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.05027580 USDT,,funding_settlement:c5089957-f3a8-4606-a880-11f5c63d2acc,1615708800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75086390 USDT,,funding_settlement:6f46712b-c8ed-45b9-a0ca-02056ddc3eec,1615737600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93728781 USDT,,funding_settlement:5360f820-571b-4917-aeb7-4201c6d51b8c,1615766400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.61644515 USDT,,funding_settlement:7db33699-8c62-4163-8edd-16b49e2ad9e6,1615795200016000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.38158153 USDT,,funding_settlement:e4559d3e-b5d6-4be7-ab27-2017cc4c28ed,1615824000030000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.54033085 USDT,,funding_settlement:34d41edb-b75a-4a69-b6bd-ba64d5120ea5,1615852800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.85178545 USDT,,funding_settlement:49794dad-e0ce-4f2f-9a33-618fc44d4436,1615881600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.97739694 USDT,,funding_settlement:136dea7a-d00a-4a4b-98b5-ee8565173513,1615910400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.86608819 USDT,,funding_settlement:e338283f-521c-4cd9-b821-9b1fa7b35552,1615939200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.46195541 USDT,,funding_settlement:275965e0-dd7f-4fe2-a1c7-bd2a51b38afe,1615968000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.58069163 USDT,,funding_settlement:2cba67b2-6339-42dc-87f8-d59aae1cfc99,1615996800009000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76704104 USDT,,funding_settlement:43133b99-3c9d-4831-82e5-fa965768d78c,1616025600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.73473955 USDT,,funding_settlement:ea1e7613-46b3-417c-baa8-f24357d6a2ac,1616054400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.83365153 USDT,,funding_settlement:5eacb2c4-9756-45d4-af3b-83cef9203171,1616083200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.79410087 USDT,,funding_settlement:64a54fa6-4f92-4076-80ad-857f085761fe,1616112000011000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.32066440 USDT,,funding_settlement:06cab83a-2e2e-480e-800c-b9a29c14acc1,1616140800001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.84408194 USDT,,funding_settlement:b821fdb6-5cb9-4ff7-b9e9-fb25b8f42d47,1616169600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.23121670 USDT,,funding_settlement:25a922c3-00ac-40ab-a7fe-559936537d23,1616198400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.11765753 USDT,,funding_settlement:8e3436af-0640-4f2c-aab3-9a912ea41425,1616227200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.24736244 USDT,,funding_settlement:1ca12983-642e-49bf-bd56-37d764373fc9,1616256000007000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.78439444 USDT,,funding_settlement:b39f19ca-a530-4c4a-82ca-8282452d2797,1616284800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.03888311 USDT,,funding_settlement:5f9a2ca7-8945-428c-a2f6-8b756dae9fbc,1616313600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.24596391 USDT,,funding_settlement:32c893e3-55b3-4582-a2e4-bedecd95e019,1616342400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28164961 USDT,,funding_settlement:0f54cbb7-9e21-452a-9ba2-1cc83bc689c3,1616371200007000000
FUNDING,BTCUSDT-PERP.BINANCE,1.20795326 USDT,,funding_settlement:c0bb0e4c-9530-4aac-8683-3f4ce2901a34,1616400000001000000
FUNDING,BTCUSDT-PERP.BINANCE,1.28653493 USDT,,funding_settlement:f43ac9df-c005-421c-9d71-414700f7744f,1616428800000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.60258922 USDT,,funding_settlement:a4fa84a5-b1af-480a-9348-baf4b5657354,1616457600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.66365781 USDT,,funding_settlement:ada9e10b-2d12-4336-9f0d-f3c9d2b04677,1616486400010000000
FUNDING,BTCUSDT-PERP.BINANCE,1.07301540 USDT,,funding_settlement:85353863-fa9e-4fc3-b36e-2761c9d9842e,1616515200023000000
FUNDING,BTCUSDT-PERP.BINANCE,1.33753405 USDT,,funding_settlement:81934470-bd93-4c5c-8d9a-af3da6f6e1e6,1616544000002000000
FUNDING,BTCUSDT-PERP.BINANCE,0.42287686 USDT,,funding_settlement:51ac1e0d-76b5-471b-8b80-590a1d6acdcc,1616572800000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.68488405 USDT,,funding_settlement:24154c0b-3506-40eb-9d7e-b90c9a06ff97,1616601600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.28460463 USDT,,funding_settlement:9b27eaad-2549-41bb-b5ea-af10e44df6b5,1616630400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.24048552 USDT,,funding_settlement:15004c4a-edc4-4316-bfbb-2e75c50319d7,1616659200000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.23462378 USDT,,funding_settlement:c71748e9-9c0e-4abf-87e2-cab1c54ed9c2,1616688000000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.37781471 USDT,,funding_settlement:a340598d-0fbd-4034-b9fd-4bf24c06d0c7,1616716800008000000
FUNDING,BTCUSDT-PERP.BINANCE,0.24641216 USDT,,funding_settlement:90e6ec01-11d0-45cd-8001-90116b08ac06,1616745600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.24519803 USDT,,funding_settlement:df2a1a3f-95f8-4bc6-a2fb-0ffe285b2de0,1616774400012000000
FUNDING,BTCUSDT-PERP.BINANCE,0.25313805 USDT,,funding_settlement:31044c51-abe7-4b11-bf58-be7f088f1af4,1616803200018000000
FUNDING,BTCUSDT-PERP.BINANCE,0.25286116 USDT,,funding_settlement:01e886cf-750a-483c-87d6-53a0fc982c7f,1616832000000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.25291279 USDT,,funding_settlement:3541684a-48da-4286-a277-4aa2903d9173,1616860800001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.25694980 USDT,,funding_settlement:14155dd2-3b0b-48dc-bdc3-dd040cf1dbc6,1616889600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.25855215 USDT,,funding_settlement:23b90610-e1fc-4cea-9602-3f50282f646b,1616918400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.25928710 USDT,,funding_settlement:9ed6b744-d1ac-4569-a965-f7c21a5c7705,1616947200005000000
FUNDING,BTCUSDT-PERP.BINANCE,0.25664989 USDT,,funding_settlement:484ff9ab-6c1c-47f7-bf22-ccb11a750f7b,1616976000003000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.29643351 USDT,,funding_settlement:373ae09e-d190-48dc-b645-ffbf81ae867c,1617004800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.55618815 USDT,,funding_settlement:331a4e30-2e60-4ef9-a56a-119ad09b0366,1617033600000000000
