fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,078d7b5e-ccae-4c11-b771-9ae4a4d663ac,O-20210208-000000-001-140732194731280-1,BINANCE-1-1,T-d1eb59afcb639be1-194431,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.053066,38828.93,2.06049600 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,cb786444-b699-4418-84e0-e2a9aca4b827,O-20210215-000000-001-140732194731280-2,BINANCE-1-2,T-c548b13be1158784-229447,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012049,48626.69,0.58590299 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,c3d2cc60-2169-4b02-ac1e-e54e1d65d339,O-20210222-000000-001-140732194731280-3,BINANCE-1-3,T-54ab2240262a4a50-264745,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000763,57462.56,0.04384393 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,78839cd8-52d2-4754-979e-8761fcc28a0c,O-20210301-000000-001-140732194731280-4,BINANCE-1-4,T-ac281f247fd7fda3-301335,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004997,45260.75,0.22616797 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,ca1bd3f5-6cb9-476e-bd25-d4f9ef6e2750,O-20210308-000000-001-140732194731280-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.005887,50865.52,0.29944532 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,d0da1044-30c6-40fa-85d1-7a8810032bbb,O-20210315-000000-001-140732194731280-6,BINANCE-1-6,T-e4039ae4ef85d929-371895,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.003942,59240.26,0.23352510 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,cb64563c-918d-46fc-b58c-8021a5f6ad2f,O-20210322-000000-001-140732194731280-7,BINANCE-1-7,T-e88f57f1af27578f-406907,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.044832,57386.15,2.57273588 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,aacb2383-824f-4eb7-aacf-ccf63960e836,O-20210329-000000-001-140732194731280-8,BINANCE-1-8,T-3082ee7b3f2bdc71-441987,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.054464,55824.60,3.04043101 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
8,b4c27c4e-6e6a-4da1-bbcd-46f2ab4727bd,O-20210405-000000-001-140732194731280-9,BINANCE-1-9,T-7bab3a5fc888d8ab-476348,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007156,58249.80,0.41683557 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
9,c941ae78-cd80-449d-acdf-eab51c4da366,O-20210412-000000-001-140732194731280-10,BINANCE-1-10,T-8306f8f8f7e67219-510506,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005647,60160.01,0.33972358 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
10,36bd0648-5b8e-48eb-81c5-6ad4eead6a39,O-20210419-000000-001-140732194731280-11,BINANCE-1-11,T-7d19d7b10f0e7d93-544941,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067267,56234.79,3.78274562 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
11,18e66749-2899-4d6e-bcd6-e5494c9928b9,O-20210621-000000-001-140732194731280-12,BINANCE-1-12,T-5b933fac1eb5fddd-861010,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.064894,35576.54,2.30870399 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
12,6483e281-b92d-4034-82d9-f19dace51379,O-20210628-000000-001-140732194731280-13,BINANCE-1-13,T-102ebecf4ba529a3-896934,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.064894,34579.36,2.24399299 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
13,028bddad-57dd-4596-9b05-e6e91bedc3d4,O-20210726-000000-001-140732194731280-14,BINANCE-1-14,T-396cf8ddf89be646-1035713,BTCUSDT.BINANCE-DataActor-140732194731280,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.110397,35325.99,3.89988332 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
