fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,d84de4d6-4200-45fd-8e83-c508aa4d622c,O-20210208-000000-001-140724895517136-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,dd7b62f8-a414-4169-8ab8-b44059d331e3,O-20210215-000000-001-140724895517136-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,eb4c2e08-20e6-430d-b620-8aff89a62727,O-20210222-000000-001-140724895517136-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,e70db7f2-ae92-42d5-b5a4-d5c7e5e38913,O-20210301-000000-001-140724895517136-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,d6823dab-1475-4cb2-949b-3d1a0b3b2c3b,O-20210308-000000-001-140724895517136-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,ea4affcf-86b1-4dbe-82e3-92c15b6a2ff7,O-20210315-000000-001-140724895517136-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,8521869d-d163-472f-b173-04ea636e37fd,O-20210322-000000-001-140724895517136-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,957436dd-57c5-494e-8c23-81ac23c27418,O-20210322-000100-001-140724895517136-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,0c02b43b-2df0-48de-8f95-418e4d05562b,O-20210329-000000-001-140724895517136-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,86fee902-1bdb-4e71-876f-d8b4bece0ad1,O-20210329-000100-001-140724895517136-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140724895517136,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
