adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:f94f7e52-71b1-4ac3-a6d7-86efc2f05e6e,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:d2a82cff-811a-4c1c-8009-16cb09d04e3e,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:1eb8930c-84ad-4a54-b12c-e98c5877426c,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:1a3d866d-ef14-459c-8f91-f5b1d9b38645,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:d5580993-a88c-472f-a147-99d1c7d4c155,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:8bedc11c-3869-4752-837a-c3f19c1ad8eb,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:a1f33c08-a780-4ea1-826a-b530b5b9e9e7,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:c5b6ea82-8da3-422c-a5be-36525c186daf,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:b3ce597b-8e1d-4ce8-8682-0b528b429e61,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:b6415eb0-5495-4c55-9012-557b5a21bba7,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:c755be49-c462-4cc5-aa78-0813cf027a47,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:9a906df8-2ede-4629-9026-609ec7b29585,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:e3d835e0-9abb-443a-97a9-216f918eb06a,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:bfaeb7e3-1023-40ed-a24c-005b1487305e,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:d7463e65-4173-4248-b093-51fb1c057338,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:ab7a02f4-e08a-4220-be20-b1c8c18d9955,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:57870fc8-6c95-4ac3-bd88-4759e2e1f83f,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:8bab8bc7-1a66-46a3-a998-23b3983f1739,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:87767f00-6b27-4059-bb3a-65b28eab3809,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:42455cbe-4419-4106-bc0a-076ea08fffbb,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:ca659c90-c3a2-45fd-ac19-ed834b019db0,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:fe17c0dc-d1b1-47f5-ab8a-ce8168c21fb9,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:4f8d6867-f678-49ef-9595-3230d9ec3eed,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:25c664f4-57c3-4702-9026-648e5b6751de,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:ea96bb24-5ced-4a0d-b3e0-c98f56f9fe57,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:dc2fd119-0d92-4ec8-8b31-188e7b7158a8,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:2afc811b-ec4d-464d-8d6b-9e61ec37e627,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:0c0b53e5-6979-459b-a7df-e313d9bb0c9c,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:56d863c4-cf2f-43f0-af45-4519c51d5f8d,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:2708c7f3-ef42-4d5f-89fa-159a40562208,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:b924f0d8-525f-4e23-b770-5d6b9053267c,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:0224c4ed-a189-4016-9ae9-6b23c513b9f9,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:9eb75f9a-cc7d-425c-a1e7-284311cf4b3e,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:b350b2f0-d099-4452-8fb3-94b1931d6377,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:e8323013-4ca0-449e-b8e0-644943c30b0f,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:1d2805ce-20ad-42b9-a6ee-6f3f9f856373,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:3cd06b6d-263b-40b1-b715-35263529211b,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:ed4f91d5-1e4d-41a7-b659-d22e118b7efd,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:110eddbf-645d-4376-a70d-debd55849fb8,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:cab5165c-f31d-4ecb-956a-b5a63ea55400,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:7c7b60e4-c122-4d03-ac80-bd3123a456c4,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:999c0539-11b9-4f6f-90a2-0a0bff2db559,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:f15d4c7a-76db-4e44-94dc-e5b7d12107e1,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:8619803e-1159-4327-99e4-77f5b76a0367,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:d0f1ec55-adc3-4cad-b45c-c62d7b45521a,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:0cac4cf6-d2c1-4315-b707-a0e00c3e594e,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:bf8a69b2-b2df-482d-8337-4ba622c33a80,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19888436 USDT,,funding_settlement:fa72f407-743a-4e0a-985f-aa8bc7a88f52,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.36051227 USDT,,funding_settlement:b87a0fc4-9035-4548-b1cf-0fd6e5c89d9a,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.55437329 USDT,,funding_settlement:bb255930-89fc-4afa-911b-18fa10beea34,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.15619710 USDT,,funding_settlement:09f5be0c-e342-43fa-b6a7-bf31ed1a7fce,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.25388122 USDT,,funding_settlement:2d0108ca-6872-444d-a0e8-3b191162eecc,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.24374331 USDT,,funding_settlement:c44cbf1f-f1fe-41ad-9478-435d6e5d3456,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15390758 USDT,,funding_settlement:e3614ac7-55a5-4298-a58d-dce55da4076a,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.10073684 USDT,,funding_settlement:8c610a85-4309-4485-a98d-dd7dae9db466,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16653492 USDT,,funding_settlement:a7cdddfa-4978-4347-bff6-d8b243cb292b,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.42308039 USDT,,funding_settlement:02d4eb80-1654-4408-b1c9-979c07611fad,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.15373542 USDT,,funding_settlement:90b6fdbe-7388-47f8-9087-b54bb7277fe5,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14514721 USDT,,funding_settlement:d68cb367-437d-4a81-8244-d038db79bf81,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12988610 USDT,,funding_settlement:87e1d08d-e647-4f52-a1ef-5a176a19df91,1614470400021000000
