fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,8b023855-4678-4b0f-957f-2393c6827079,O-20210208-000000-001-140731396610656-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.052,38849.26000000,2.02016152 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,82ddb64d-a9d1-488d-8c40-c23af088ad80,O-20210215-000000-001-140731396610656-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.012,48655.20000000,0.58386240 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,9e81bbba-6c33-4fb6-a690-740296c2c298,O-20210222-000000-001-140731396610656-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,0c41288a-f92a-4f9e-8524-1ad73ac3bcb8,O-20210301-000000-001-140731396610656-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,45163.37000000,0.18065348 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,8f29278b-0119-4de7-8207-ea70f8795042,O-20210308-000000-001-140731396610656-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,50995.26000000,0.25497630 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,9be3eadd-23ea-44de-b687-28ed6b7f9f45,O-20210315-000000-001-140731396610656-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,59037.13000000,0.17711139 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,55ad6bc9-29ec-486c-827e-51ae180de4be,O-20210322-000000-001-140731396610656-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.043,57415.17000000,2.46885231 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,a730283b-9ed5-4b7b-8882-719352a83bbc,O-20210322-000100-001-140731396610656-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.046,57449.36000000,2.64267056 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,54a45d42-1ff3-4640-b6dd-b3fd7d59389d,O-20210329-000000-001-140731396610656-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.046,55805.09000000,2.56703414 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,43d29cf3-571f-4568-8631-4e576c41d1b6,O-20210329-000100-001-140731396610656-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.053,55857.04000000,2.96042312 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,1b1e0467-b64c-4603-8a03-02dd14b64e8c,O-20210405-000000-001-140731396610656-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,e00b6f17-a192-421e-8336-62978cb6f70c,O-20210412-000000-001-140731396610656-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,fb58f39d-46a5-49f1-86c4-b3afdcef5a0f,O-20210419-000000-001-140731396610656-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.065,56140.04000000,3.64910260 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
13,293fbc26-a602-4b35-aea7-06d47b387730,O-20210419-000100-001-140731396610656-14,BINANCE-1-14,T-78190bb18f0ea15c-553732,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.063,56236.47000000,3.54289761 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
14,9b653b15-d8e6-4961-9bea-56d0f1cc7410,O-20210426-000000-001-140731396610656-15,BINANCE-1-15,T-06eea41d47eb061b-589625,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.022,49063.93000000,1.07940646 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
15,c501ec94-2c31-414d-894c-caf5b46172b0,O-20210503-000000-001-140731396610656-16,BINANCE-1-16,T-a2573f3f94e11b73-625049,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.031,56630.34000000,1.75554054 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
16,9fa15bf2-dcb4-4e2c-823a-f1a4139dc5db,O-20210510-000000-001-140731396610656-17,BINANCE-1-17,T-ce24f27a7af93303-660195,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58292.54000000,0.40804778 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
17,3a019aa3-8c13-4368-b83c-63f332a90e46,O-20210517-000000-001-140731396610656-18,BINANCE-1-18,T-2213e5468ee6d2cb-695778,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,46429.27000000,0.32500489 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
18,f6eba62f-e5cb-43dc-b82a-bb574f1da361,O-20210524-000000-001-140731396610656-19,BINANCE-1-19,T-c3d455e8b7c4a20b-732402,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,34651.59000000,0.13860636 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
19,6db0f57b-d6c7-4419-b330-f0ba1d2b2f0a,O-20210531-000000-001-140731396610656-20,BINANCE-1-20,T-e3cf944dd53a0b20-768686,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35651.82000000,0.10695546 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
20,affb0013-f081-4ed6-9f78-93b65ca6a2ad,O-20210614-000000-001-140731396610656-21,BINANCE-1-21,T-c198ee754c308f13-840020,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,38993.66000000,0.27295562 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
21,f663035f-0de7-42b6-ba14-5025de5570a8,O-20210621-000000-001-140731396610656-22,BINANCE-1-22,T-5b933fac1eb5fddd-875276,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,35588.65000000,1.70825520 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
22,f25f0b93-3d0b-437d-8bc4-c8e70de72ef3,O-20210621-000100-001-140731396610656-23,BINANCE-1-23,T-8f8807bfe4e1d4b8-875281,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.068,35570.49000000,2.41879332 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
23,e29af759-4fa7-4ca9-afe4-59899a27e2d8,O-20210628-000000-001-140731396610656-24,BINANCE-1-24,T-102ebecf4ba529a3-910952,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.068,34687.70000000,2.35876360 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
24,c87496f9-f15a-4430-a0c2-c1facc6d2e32,O-20210628-000100-001-140731396610656-25,BINANCE-1-25,T-4808b99cf0348c4d-910956,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.065,34572.76000000,2.24722940 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
25,5fb4c97e-4dd0-46bb-a610-097926d2b938,O-20210712-000000-001-140731396610656-26,BINANCE-1-26,T-05e2f749c6e30f6f-981118,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.019,34253.80000000,0.65082220 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
26,b2b2436c-f83c-41bc-bd19-971fd746c1af,O-20210719-000000-001-140731396610656-27,BINANCE-1-27,T-708cdeea6d5089b6-1015758,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,31766.99000000,0.41297087 USDT,USDT,TAKER,1626652860000000000,1626652860000000000
27,8503b180-c8d6-412b-a0f8-ee4b7d8d85cd,O-20210726-000000-001-140731396610656-28,BINANCE-1-28,T-396cf8ddf89be646-1050483,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.097,35370.67000000,3.43095499 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
28,b8c743bc-ed49-4754-bf30-e118e455f5a9,O-20210726-000100-001-140731396610656-29,BINANCE-1-29,T-1a7c800947711f2d-1050488,BTCUSDT-PERP.BINANCE-DataActor-140731396610656,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.115,35304.00000000,4.05996000 USDT,USDT,TAKER,1627257720000000000,1627257720000000000
