adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:3cf1025f-52b8-41f7-99b1-a0fdc83f46cc,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:960a5f3c-f9f3-4b7e-a5b2-88e9b9458155,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:90d35af4-f42a-43ec-9ea0-8d001da51a92,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:c7b7a9ca-e9ad-4a1e-bba5-59661f614d1c,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:dce533ec-bacf-4d55-aa14-d2f34dc3f5ba,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:e3ffb604-f970-4490-9b79-877bbd134790,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:c1397fe1-d00e-4c6d-89b6-81142260afe9,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:3ef41310-ef13-4fb9-83bc-09f422c68b84,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:e3fd224c-0318-4e72-9d5b-4e5d8a94930a,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:e124d274-f96c-484e-9b21-c9f916649301,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:3fc1fa33-3260-4788-80ac-8d4e8a3f8f0f,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:99c016f1-c27b-4e7a-8089-d74aea9a1a87,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:4d8b3b9a-33ff-44c6-b997-9e9e24ebb0ab,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:444eb426-060d-4cbe-99ec-7e2aa3f0609b,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:3fc181fc-9b10-4134-85fe-398701c656fb,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:9c6c0fdf-2dc7-47bc-9b8c-95eae4437b50,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:0e55ef7e-b6b2-4237-b957-a9bd32ccc9b9,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:861d1fc4-6ab6-47ab-b582-651e3c0a85b7,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:f5cd0752-f8b2-4c1b-a8e5-5e4065b01bd8,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:01fc6ec8-d43d-496c-8424-c2997da7df64,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:20af0ca3-1a34-4a27-b4a6-2f9bf95d21ad,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:592d751b-0ccf-467b-b1de-4da35fd12862,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:e820130b-59eb-4dd3-b8ba-e7f641abda12,1613404800000000000
