event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,MARGIN,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612742460000000000,BINANCE-001,MARGIN,USDT,9997.97983848,50.50403800,9947.47580048,False
2,1612771200001000000,BINANCE-001,MARGIN,USDT,9996.79668095,50.50403800,9946.29264295,True
3,1612771200001000000,BINANCE-001,MARGIN,USDT,9996.79668095,50.50403800,9946.29264295,False
4,1612800000000000000,BINANCE-001,MARGIN,USDT,9991.12918346,50.50403800,9940.62514546,True
5,1612800000000000000,BINANCE-001,MARGIN,USDT,9991.12918346,50.50403800,9940.62514546,False
6,1612828800010000000,BINANCE-001,MARGIN,USDT,9987.96434055,50.50403800,9937.46030255,True
7,1612828800010000000,BINANCE-001,MARGIN,USDT,9987.96434055,50.50403800,9937.46030255,False
8,1612857600006000000,BINANCE-001,MARGIN,USDT,9983.34393278,50.50403800,9932.83989478,True
9,1612857600006000000,BINANCE-001,MARGIN,USDT,9983.34393278,50.50403800,9932.83989478,False
10,1612886400007000000,BINANCE-001,MARGIN,USDT,9979.41717300,50.50403800,9928.91313500,True
11,1612886400007000000,BINANCE-001,MARGIN,USDT,9979.41717300,50.50403800,9928.91313500,False
12,1612915200009000000,BINANCE-001,MARGIN,USDT,9976.41027440,50.50403800,9925.90623640,True
13,1612915200009000000,BINANCE-001,MARGIN,USDT,9976.41027440,50.50403800,9925.90623640,False
14,1612944000014000000,BINANCE-001,MARGIN,USDT,9972.15425428,50.50403800,9921.65021628,True
15,1612944000014000000,BINANCE-001,MARGIN,USDT,9972.15425428,50.50403800,9921.65021628,False
16,1612972800005000000,BINANCE-001,MARGIN,USDT,9969.56135103,50.50403800,9919.05731303,True
17,1612972800005000000,BINANCE-001,MARGIN,USDT,9969.56135103,50.50403800,9919.05731303,False
18,1613001600000000000,BINANCE-001,MARGIN,USDT,9967.77099826,50.50403800,9917.26696026,True
19,1613001600000000000,BINANCE-001,MARGIN,USDT,9967.77099826,50.50403800,9917.26696026,False
20,1613030400000000000,BINANCE-001,MARGIN,USDT,9965.83752005,50.50403800,9915.33348205,True
21,1613030400000000000,BINANCE-001,MARGIN,USDT,9965.83752005,50.50403800,9915.33348205,False
22,1613059200000000000,BINANCE-001,MARGIN,USDT,9961.48462213,50.50403800,9910.98058413,True
23,1613059200000000000,BINANCE-001,MARGIN,USDT,9961.48462213,50.50403800,9910.98058413,False
24,1613088000000000000,BINANCE-001,MARGIN,USDT,9958.26572069,50.50403800,9907.76168269,True
25,1613088000000000000,BINANCE-001,MARGIN,USDT,9958.26572069,50.50403800,9907.76168269,False
26,1613116800000000000,BINANCE-001,MARGIN,USDT,9955.16969809,50.50403800,9904.66566009,True
27,1613116800000000000,BINANCE-001,MARGIN,USDT,9955.16969809,50.50403800,9904.66566009,False
28,1613145600000000000,BINANCE-001,MARGIN,USDT,9952.58695456,50.50403800,9902.08291656,True
29,1613145600000000000,BINANCE-001,MARGIN,USDT,9952.58695456,50.50403800,9902.08291656,False
30,1613174400001000000,BINANCE-001,MARGIN,USDT,9949.13767880,50.50403800,9898.63364080,True
31,1613174400001000000,BINANCE-001,MARGIN,USDT,9949.13767880,50.50403800,9898.63364080,False
32,1613203200003000000,BINANCE-001,MARGIN,USDT,9945.67351998,50.50403800,9895.16948198,True
33,1613203200003000000,BINANCE-001,MARGIN,USDT,9945.67351998,50.50403800,9895.16948198,False
34,1613232000000000000,BINANCE-001,MARGIN,USDT,9943.81225473,50.50403800,9893.30821673,True
35,1613232000000000000,BINANCE-001,MARGIN,USDT,9943.81225473,50.50403800,9893.30821673,False
36,1613260800013000000,BINANCE-001,MARGIN,USDT,9941.72388003,50.50403800,9891.21984203,True
37,1613260800013000000,BINANCE-001,MARGIN,USDT,9941.72388003,50.50403800,9891.21984203,False
38,1613289600000000000,BINANCE-001,MARGIN,USDT,9938.01232419,50.50403800,9887.50828619,True
39,1613289600000000000,BINANCE-001,MARGIN,USDT,9938.01232419,50.50403800,9887.50828619,False
40,1613318400008000000,BINANCE-001,MARGIN,USDT,9934.23096675,50.50403800,9883.72692875,True
41,1613318400008000000,BINANCE-001,MARGIN,USDT,9934.23096675,50.50403800,9883.72692875,False
42,1613347200000000000,BINANCE-001,MARGIN,USDT,9931.24797920,50.50403800,9880.74394120,True
43,1613347200000000000,BINANCE-001,MARGIN,USDT,9931.24797920,50.50403800,9880.74394120,False
44,1613347260000000000,BINANCE-001,MARGIN,USDT,10048.33539680,38.84926000,10009.48613680,False
45,1613376000006000000,BINANCE-001,MARGIN,USDT,10047.56710171,38.84926000,10008.71784171,True
46,1613376000006000000,BINANCE-001,MARGIN,USDT,10047.56710171,38.84926000,10008.71784171,False
47,1613404800000000000,BINANCE-001,MARGIN,USDT,10046.25908192,38.84926000,10007.40982192,True
48,1613404800000000000,BINANCE-001,MARGIN,USDT,10046.25908192,38.84926000,10007.40982192,False
49,1613433600001000000,BINANCE-001,MARGIN,USDT,10044.34754199,38.84926000,10005.49828199,True
50,1613433600001000000,BINANCE-001,MARGIN,USDT,10044.34754199,38.84926000,10005.49828199,False
51,1613462400000000000,BINANCE-001,MARGIN,USDT,10041.91524741,38.84926000,10003.06598741,True
52,1613462400000000000,BINANCE-001,MARGIN,USDT,10041.91524741,38.84926000,10003.06598741,False
53,1613491200010000000,BINANCE-001,MARGIN,USDT,10039.13368191,38.84926000,10000.28442191,True
54,1613491200010000000,BINANCE-001,MARGIN,USDT,10039.13368191,38.84926000,10000.28442191,False
55,1613520000005000000,BINANCE-001,MARGIN,USDT,10037.08475724,38.84926000,9998.23549724,True
56,1613520000005000000,BINANCE-001,MARGIN,USDT,10037.08475724,38.84926000,9998.23549724,False
57,1613548800010000000,BINANCE-001,MARGIN,USDT,10035.17200758,38.84926000,9996.32274758,True
58,1613548800010000000,BINANCE-001,MARGIN,USDT,10035.17200758,38.84926000,9996.32274758,False
59,1613577600008000000,BINANCE-001,MARGIN,USDT,10032.15791043,38.84926000,9993.30865043,True
60,1613577600008000000,BINANCE-001,MARGIN,USDT,10032.15791043,38.84926000,9993.30865043,False
61,1613606400012000000,BINANCE-001,MARGIN,USDT,10029.39683644,38.84926000,9990.54757644,True
