adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:50b3b9a0-6d28-433b-b8b1-5c4829bf1ca0,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:59ab6b9b-b8ed-4e40-98be-396484935f50,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:c5038aab-e283-4013-8069-cc94ebdae8bf,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:524d67a6-495a-448a-9b43-0f3ec06c5c57,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:84b74d07-8929-4b57-a4ce-c017be17dcb7,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:57adb519-d676-4e9f-bbe1-b80a0bab7b46,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:18b086fc-8696-4902-81d5-12bc41d1036d,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:d58d5141-2d41-44cf-ba68-c6973d94c46b,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:38d13f57-1bcf-47e0-9c62-b8b604bee447,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:b437fc1d-c7c4-4068-bce7-85e18bd16eae,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:2c951670-e15f-4860-8fe7-60d0bdc6a243,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:9cb9c145-f996-49ca-93be-8663e61b52bd,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:08eb2119-63aa-4817-82ad-e53f151e0f55,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:8f222f6c-d17d-4cd5-92af-21a8d38a3756,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:9964b996-a1d6-48f0-a777-6c416e039fac,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:7f47312b-01bc-4abf-a475-c0e1baaa5c95,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:f905b7ee-5c43-4435-92be-454c34d8db1e,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:22a15cc2-e869-496f-8f27-5af43c5ab2bb,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:8325fd93-c79f-44a9-ad87-e1a3c9778b9f,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:b8be5384-9a0c-4b87-b787-9f3caddfd29a,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:62f5abd3-4ec6-4e10-b488-2eaf529b7a1b,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:a6227e90-0561-4bd2-ae29-8da54c5b00e3,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:aea4d5cf-02b6-4341-8a04-067cb12e9e98,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:861f3df9-b497-4331-9e94-2291945707e5,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:66804876-4f05-40f7-9885-66d7c8861c27,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:f3b70144-9e3e-4282-8fc8-b74b5fe2bd33,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:dc5dc237-8ef1-45aa-bf85-cb447cf9a6d5,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:ab2fc3b3-a4fa-432f-8e4b-e8cf1017cbcc,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:3eabb8ea-51d0-40f3-a0d1-89e9efd52086,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:9b4a2c15-5170-4ed3-b715-f8d416045de2,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21039489 USDT,,funding_settlement:620599bf-494c-4827-8bc7-9ce1ae00129a,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60029557 USDT,,funding_settlement:46a77cc3-e596-48fe-bb1f-0160776bbe68,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.88387443 USDT,,funding_settlement:b19f5f6c-a7cb-41f5-ab30-2475eab46096,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.75233488 USDT,,funding_settlement:f9226320-a1fc-4d43-93ed-b1b947b3edfa,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77862596 USDT,,funding_settlement:914f0023-a163-4430-a314-26fa91a1e34d,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.50046089 USDT,,funding_settlement:404ccec3-9af2-4df3-b7af-774330abbdd1,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.57628501 USDT,,funding_settlement:8699a1f2-525c-49ab-a046-c0fddb3fc136,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75446328 USDT,,funding_settlement:1f4a2fb6-f48d-4cef-87b6-6537458bb37c,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.24544934 USDT,,funding_settlement:3ad7f935-26ec-4a6e-bdd3-df7084aa2a66,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.22379924 USDT,,funding_settlement:1d50f5f3-7405-4125-b81c-c77fab5e326a,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.88831699 USDT,,funding_settlement:3342f6c4-e38e-4cd1-896e-560e1595ec38,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69072241 USDT,,funding_settlement:459c5ef6-2ee5-4b8f-ae15-8bc33062baab,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.12616766 USDT,,funding_settlement:1e031a78-ef91-4a47-8102-2be69889325c,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70127621 USDT,,funding_settlement:fdd693c0-a461-4103-a907-5029bfabbbd4,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.55349828 USDT,,funding_settlement:2f69b1ef-8ded-4d8e-a7c9-1fedbc073bfe,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.60361288 USDT,,funding_settlement:f60af5ac-0357-46e2-97e0-1ec01c2ce4fa,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.26472910 USDT,,funding_settlement:b46a90c2-ded3-4e00-b312-42259c00df22,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20062963 USDT,,funding_settlement:92499ef5-e01c-4b6e-b320-b3ddb8147ed9,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.06441226 USDT,,funding_settlement:6cb31a1c-9f76-4293-843b-0fe42d030e24,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76216043 USDT,,funding_settlement:e79aeba4-6b05-4fbc-b943-2362d3c12f8c,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.36083298 USDT,,funding_settlement:e4401aab-cce6-4523-8196-f73c706f5629,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.37718012 USDT,,funding_settlement:bafb61bb-fcc2-423f-bdc1-162a7fe35121,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71017745 USDT,,funding_settlement:f764909f-a47c-4508-95e4-257c89f44dfa,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19310290 USDT,,funding_settlement:1266447f-ddb5-4bd8-ab9f-b1e95cf3e09f,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18420494 USDT,,funding_settlement:dabbec3e-ed1b-4c6e-8aed-44bb16528984,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19521605 USDT,,funding_settlement:e9a75637-b34a-4cda-b62d-7fabb7fac209,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.57284202 USDT,,funding_settlement:c648097f-ddc5-4e6b-918d-78bd606c9119,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.86246185 USDT,,funding_settlement:2032ede1-a63c-4747-b0b9-933c8c8ba391,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19163688 USDT,,funding_settlement:7e958866-73ba-4ced-930e-21ccb9a357c0,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18908298 USDT,,funding_settlement:ed16eaa7-ddac-4264-a97b-3cf909508c7b,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18221454 USDT,,funding_settlement:84dfde7e-8303-4fd0-b8ab-0629ad9d1cb6,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.67151875 USDT,,funding_settlement:c5faea1a-aa6b-41c4-89e6-dbe1dd5037c1,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.31351640 USDT,,funding_settlement:e44565fc-c60f-426b-9308-9f0c1a9d95af,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20833852 USDT,,funding_settlement:c1d1ecd2-a4d0-4a78-8be3-b2313a7e06a4,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22129235 USDT,,funding_settlement:ccf95c91-5570-44b6-8873-8ad381f83514,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22311260 USDT,,funding_settlement:d783f433-9ed7-4551-bfe6-7677827962b5,1614643200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21763526 USDT,,funding_settlement:e3c303a1-cd36-4499-bc57-d9b6fde48fb9,1614672000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21907521 USDT,,funding_settlement:3a02b23e-f941-4062-9d0e-449d15167ced,1614700800004000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.21799650 USDT,,funding_settlement:dc3348b2-eb77-4b8d-96f5-926329922445,1614729600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22385581 USDT,,funding_settlement:59d31420-a5c7-4729-9597-ac4f5ee80152,1614758400016000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.02996196 USDT,,funding_settlement:864c6549-166e-420c-9225-74ebc58083c4,1614787200000000000
