adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:41427724-4814-4182-a65b-0abcd4052178,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:6e3a5b08-b5a3-4d01-a726-1b55f42a0cac,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:63b9a6d5-ff95-4cf7-a838-75b448513c92,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:e24e9044-e15f-452d-82be-c38509565b51,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:718b7ab5-e4e3-41c8-9471-f910216a4005,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:b7d97890-37fd-41dd-be5e-106c7782f05a,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:6f9a939c-2479-4c3b-89f5-67821fe09a81,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:d7f4e2fd-0efc-4cae-8dbd-ab6d25d38662,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:cf5b4623-5d9d-4e5e-aae9-9d6eca7d859a,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:e8080186-1de9-497c-ae0d-f2080266caf3,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:224888cb-c915-4e94-a55a-eb65683e41f8,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:9dfe787c-0669-4ba3-834f-55f565e42362,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:42f5b003-b495-4326-b384-d1da272e3d0b,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:d7f37cf5-00e6-437f-aab4-4aec4173da9c,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:9c00cec4-662f-48d4-8cf1-6fd6f639ae66,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:a06d4467-c7c4-423f-882d-51fcd0aa72e7,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:d35aeddc-462d-4a8c-94a5-945ac30ab0bd,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:2c46093b-7622-4041-9f46-ee36db3d76ec,1613260800013000000
