adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:3a7cc1f6-c191-4bad-9b6b-87506f956bfc,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:83118d0d-0355-44b9-925a-5d2c210807c4,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:2142d589-f962-464a-95ba-864cf06055fc,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:af30721d-c18f-472c-80fb-3c8a8f42d609,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:d87c2c91-abc6-4cba-8c30-06c172cfc712,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:19cca5f2-a5c1-48dd-a16f-2b2953acb1d6,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:54594e27-5fde-4cd2-9626-70a6b04adf46,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:233915b7-e255-4789-89ec-73c08a5d64e2,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:a63e1d81-57d9-467e-b34f-c6a08d0252f5,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:ba8aed17-cf97-42be-8fc6-cbe730abfc79,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:d0130773-17e3-4590-86d4-2a3e7c467546,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:b00ac652-b4ed-4591-a27f-79f96e366533,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:d94d8b6a-3bb4-4948-b663-c18b8a9d0b75,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:5ae588ce-3824-49eb-9ef6-e33aae3398e9,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:b1767947-f264-481b-9d37-affe98c8ab42,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:160ba44f-d8bc-4a5f-9dff-f96703bbb615,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:c70bd89f-e96d-43f3-b86a-4e6346064f0a,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:eaa78b25-424b-4b5a-aec4-d5f91bde4ef1,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:bee9bbb7-26ab-4319-848a-0c1f9381a06c,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:c98a50da-d7f8-41d4-8206-c1c2e93853e6,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:dde39638-0e65-43f0-8c1f-22346c5422c9,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:fe5c23f5-12f3-49a5-b3cd-c39933bccfc4,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:500cffc5-1659-4815-a66f-72b490df7642,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:05b90dec-9d56-4fc4-9c23-2856862f457b,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:c16ba040-d5cc-488f-92ab-f85bc132c393,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:48c40a2d-89ba-48dc-ac48-8f064c663848,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:27091949-721f-49fd-9e33-23c2cf60fcc6,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:276718d2-9fe1-49f3-b98c-ca0611650708,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:c9968714-8c67-48f9-a27b-d2f4a38d032f,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:b3c7ef5e-2808-43b9-84d1-e39796aee86c,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21039489 USDT,,funding_settlement:617aa16a-83af-4792-a4b6-667d7278e11f,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60029557 USDT,,funding_settlement:95146606-92f6-4745-8304-4c6683b44035,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.88387443 USDT,,funding_settlement:c28196bb-7721-493f-a16d-309628e5bed0,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.75233488 USDT,,funding_settlement:cb2c50dc-9c8c-4cdd-9f8e-dadddcce61cb,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77862596 USDT,,funding_settlement:281e7386-e9f4-440a-b363-3f0490cc5044,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.50046089 USDT,,funding_settlement:e700eeb7-594a-4c51-ae79-4e22e000973c,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.57628501 USDT,,funding_settlement:dff4d121-34c5-4cad-8bb6-8440797d5411,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75446328 USDT,,funding_settlement:2682fef9-b65b-4817-a080-473d2f209451,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.24544934 USDT,,funding_settlement:1967d574-f147-49b9-a933-25cfeeeb0f22,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.22379924 USDT,,funding_settlement:5722ee4a-25b7-4b46-b8c1-73e589bbff49,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.88831699 USDT,,funding_settlement:4f83153e-0082-4d2c-9437-62a521c68bb0,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69072241 USDT,,funding_settlement:76fb9516-06c2-45cb-bf0d-766ec030b8f8,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.12616766 USDT,,funding_settlement:cecd4643-8d1b-480f-a270-7aad68c896c4,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70127621 USDT,,funding_settlement:c0402fef-e16b-47e3-81bb-816e29d5ec1c,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.55349828 USDT,,funding_settlement:3005fa9d-13c2-472a-88ce-bfa15374f870,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.60361288 USDT,,funding_settlement:bbb68ed1-2207-4fef-a6e3-d69327805847,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.26472910 USDT,,funding_settlement:465a999a-ce88-49cb-a0c6-6f9b5ff3734d,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20062963 USDT,,funding_settlement:f1c722a6-9559-4bf1-bfaa-55851f758019,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.06441226 USDT,,funding_settlement:e0334263-2bc8-428a-8367-30a05a8c0ef7,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76216043 USDT,,funding_settlement:93df6478-7341-418e-8270-b8bf614254cf,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.36083298 USDT,,funding_settlement:ee0ced7b-64bb-485c-80ce-8640aa45d5d7,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.37718012 USDT,,funding_settlement:3a32b2cb-7881-4974-89c9-e6eefb5f83ff,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71017745 USDT,,funding_settlement:803f6ff3-29e4-4ecd-8113-db24680c963e,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19310290 USDT,,funding_settlement:f80c2fe9-2b3f-4f7c-9e87-e960219537ab,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18420494 USDT,,funding_settlement:4bb7f97e-2b18-4ab2-91a6-ae1d9da8b9d8,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19521605 USDT,,funding_settlement:8c544fae-1a7b-48fc-beea-efce3d0725f5,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.57284202 USDT,,funding_settlement:b26a5c54-1153-4953-8bcc-b21df6a4defb,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.86246185 USDT,,funding_settlement:2099d9cd-19b5-4c8d-9890-db946d0281f1,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.19163688 USDT,,funding_settlement:2f8ef046-798e-4dfb-a9aa-70dca272d222,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18908298 USDT,,funding_settlement:7a370244-bdd2-4563-8127-177617b212c1,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.18221454 USDT,,funding_settlement:9bd850f2-6146-4b0c-8907-4e53ad548baa,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.67151875 USDT,,funding_settlement:c960424a-b6b8-44e9-8838-589c5aedb44b,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.31351640 USDT,,funding_settlement:8992d418-7069-422a-a8aa-8d4f5622ebb3,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.20833852 USDT,,funding_settlement:2c0e8086-3026-41dc-b847-e30efb9c057a,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.22129235 USDT,,funding_settlement:d82093f8-a3b7-429c-bad9-09b9e0453098,1614614400001000000
