adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:71ccaf3b-8d09-424a-829c-a1e83e62031f,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:c0d7e464-6605-4de7-9826-807a5bfac4ea,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:6392379c-5e03-4d20-86c2-83cd3baa89ed,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:aa825c53-1c29-4292-98c0-4970ed08a701,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:63e230af-88a4-4e68-b19c-985f77ce240e,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:fe9761f1-98cd-4932-99ac-00805e84e9fe,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:10513013-81a2-463d-8c72-2c1425aeed92,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:6868a7bd-a2f5-401b-8cdd-55ebd58ed067,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:1bd736b4-f0d0-40c4-9cee-aad9f7ca49f2,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:caebb330-e346-4fc7-8bce-10996df51de4,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:cb12a9ca-14a3-4472-bc83-ba7e6818e268,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:3f7af016-859e-4dcf-aed1-fbdca9edb90b,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:4634678d-fbfa-495d-a75a-df352dfc48b1,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:f21f6a58-a800-41c6-bd14-b571af9dca40,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:04c56e9d-784e-4f70-9702-2d6972864c65,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:5985b08b-24a1-43f4-b08c-d9aaf17e34f0,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:bfaf9796-9c5e-4ed2-baed-9e2a1930705f,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:ecd97661-6f68-4111-b6a8-4a8c7e4670e9,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:902b4848-9c41-49e2-9160-1a890acfb96f,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:0b7fe50e-504b-411a-837f-130f654b7183,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:3f7cefd1-e4ed-430d-9baa-2c3e7c3ad7a9,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:c5d95e6b-bc94-4339-af29-17c20de82b98,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:028a8b07-c43d-45e3-8692-c1ad30a99faf,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:a2392331-7840-4b3c-b583-a51dde9bf222,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:8b1f8cd1-11e4-4b7e-98c9-cea6a2822299,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:f6c00fba-0742-4482-9617-dd882f9a00c1,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:4e992c49-0145-443e-ad3d-c226fcff4906,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:20ebcb3f-299c-4895-9a67-8dd2e6a3855a,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:3217de19-a628-4368-8c44-b546195ed218,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:ebd2e873-245e-4221-9434-2aa3a5037edf,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:60e05496-650b-4b8c-ae86-5096e41f16c4,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:251b9605-cd04-4500-9d45-dac99c87ad43,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:f2117d8b-00ef-4915-b420-0d49a8cf0010,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:406dd35b-d620-4f41-977b-0f42121cba96,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:c46ebd10-145a-44db-93f8-c3b1cd06d636,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:d724c119-ab1a-45ef-97fc-2f6e660d37c4,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:5032dc12-dcb2-4024-8a41-91e502333209,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:11cdeabf-2024-4c38-a457-d1f72948e731,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:76915a6d-a8aa-4866-9d5d-0645018ab1b2,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:0402c559-004d-4b12-ac94-bb61bd382ce0,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:64c70b31-ba77-4990-94e5-702484b16a42,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:de953a76-ae9d-4ea8-812b-a919761e4084,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:a423c63f-19b4-4beb-acfa-38c70ad4b819,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:cd30da0c-618f-4f7c-8a29-e6bd053d11fd,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:22cbfef1-c77a-4e57-b515-257427d69754,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:8c4da570-4356-4190-8131-ee6fc9be63a0,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:ea8dfee3-a22b-423c-8342-0fac50ee2174,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19888436 USDT,,funding_settlement:3deca660-55ad-457e-bec3-8f28c38dd877,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.36051227 USDT,,funding_settlement:edb22979-0034-4efe-85ea-1b323f8b1abe,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.55437329 USDT,,funding_settlement:8fdc369d-01e0-4f1e-95d1-5874882acc71,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.15619710 USDT,,funding_settlement:0dade793-9aeb-416c-8a55-9e1921557df4,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.25388122 USDT,,funding_settlement:ed36ac4a-1a4a-49ff-9c84-d3ff1cfb31d2,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.24374331 USDT,,funding_settlement:1e1bc6a8-4b11-47c3-bd6d-9e3dc66c0b09,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15390758 USDT,,funding_settlement:19ab132f-5f06-475d-9239-89c7942368da,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.10073684 USDT,,funding_settlement:2c38e965-8342-4f0a-8043-89f6121de4ad,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16653492 USDT,,funding_settlement:b653960a-3625-4bac-92e7-894eaceeef7f,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.42308039 USDT,,funding_settlement:7c1c48ca-0404-47e8-9016-03bd7a336b90,1614384000001000000
