fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,f6700ce6-49b5-42ea-a547-4de8f30e1d50,O-20210208-000000-001-140724231229344-1,BINANCE-1-1,T-d1eb59afcb639be1-194431,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.053066,38828.93,2.06049600 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,f99bbba3-2d91-4fe4-b151-24503e81118c,O-20210215-000000-001-140724231229344-2,BINANCE-1-2,T-c548b13be1158784-229447,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012049,48626.69,0.58590299 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,b9f68b74-9c91-4088-b413-6ceb4d48a1fc,O-20210222-000000-001-140724231229344-3,BINANCE-1-3,T-54ab2240262a4a50-264745,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000763,57462.56,0.04384393 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,a23d302e-8e40-412b-8bad-dbfce797cb39,O-20210301-000000-001-140724231229344-4,BINANCE-1-4,T-ac281f247fd7fda3-301335,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004997,45260.75,0.22616797 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,c889cc52-7de4-4448-8c08-0807a0973667,O-20210308-000000-001-140724231229344-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.005887,50865.52,0.29944532 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,fe9204f4-6920-4515-80a2-7448361d6c71,O-20210315-000000-001-140724231229344-6,BINANCE-1-6,T-e4039ae4ef85d929-371895,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.003942,59240.26,0.23352510 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,d6190775-170d-4b02-81cc-25a6ccd92d57,O-20210322-000000-001-140724231229344-7,BINANCE-1-7,T-e88f57f1af27578f-406907,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.044832,57386.15,2.57273588 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,b076c981-4076-484e-8aa9-5b5ad9872e9f,O-20210329-000000-001-140724231229344-8,BINANCE-1-8,T-3082ee7b3f2bdc71-441987,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.054464,55824.60,3.04043101 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
8,a4bd2ecc-3eb2-418d-94bc-a0a57a39a079,O-20210405-000000-001-140724231229344-9,BINANCE-1-9,T-7bab3a5fc888d8ab-476348,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007156,58249.80,0.41683557 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
9,e10f7078-09db-49e4-a8ae-b5731dbe3cb3,O-20210412-000000-001-140724231229344-10,BINANCE-1-10,T-8306f8f8f7e67219-510506,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005647,60160.01,0.33972358 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
10,628b21fb-eaad-4999-a26b-46b3a1503cf2,O-20210419-000000-001-140724231229344-11,BINANCE-1-11,T-7d19d7b10f0e7d93-544941,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067267,56234.79,3.78274562 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
11,43d12a25-f3d8-4e55-ad49-6cc054e0a693,O-20210621-000000-001-140724231229344-12,BINANCE-1-12,T-5b933fac1eb5fddd-861010,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.064894,35576.54,2.30870399 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
12,5b8323c4-a3d0-4c4c-a35b-1c75d0e4f514,O-20210628-000000-001-140724231229344-13,BINANCE-1-13,T-102ebecf4ba529a3-896934,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.064894,34579.36,2.24399299 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
13,a8704faf-959b-47ee-b34e-c7a9ff3156b5,O-20210726-000000-001-140724231229344-14,BINANCE-1-14,T-396cf8ddf89be646-1035713,BTCUSDT.BINANCE-DataActor-140724231229344,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.110397,35325.99,3.89988332 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
