fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,8c4fba32-54b3-430e-b25b-fd62e372c63a,O-20210208-000000-001-140731380021312-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,cf0a7995-afe0-4ec4-b232-39d02277ead0,O-20210215-000000-001-140731380021312-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,7670ef84-7745-4704-abee-aec8ac77f05d,O-20210222-000000-001-140731380021312-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,7c0d895f-b48d-4988-9cb0-1d312d10b8fd,O-20210301-000000-001-140731380021312-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,c032daba-9c57-4f5a-aa90-7684ac751d85,O-20210308-000000-001-140731380021312-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,28254ec8-539a-4123-b9e6-2e7d6caf9e07,O-20210315-000000-001-140731380021312-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,9192ed75-e1c5-427c-85f5-1fcdf9008dc5,O-20210322-000000-001-140731380021312-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,a7500da7-6a07-4ee9-bc7e-5ea8f9f18fa7,O-20210322-000100-001-140731380021312-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,390f6988-c395-450f-a4ab-44502f4c2edc,O-20210329-000000-001-140731380021312-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,74f47833-1c77-41e0-852f-c0399425b3ad,O-20210329-000100-001-140731380021312-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140731380021312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
