fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,8df8afed-9222-4b2c-9c7f-aed8e1972483,O-20210201-000000-001-140737100332768-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.301,33126.22000000,9.97099222 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,09297059-f0aa-4f32-abd8-98243a405f97,O-20210208-000000-001-140737100332768-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,ada1baee-bc3d-42d4-8ca2-00ea103a9794,O-20210215-000000-001-140737100332768-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,48655.20000000,0.38924160 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,31796c66-453e-40cd-8aaa-276cf069a833,O-20210222-000000-001-140737100332768-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,57487.42000000,0.34492452 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,ddcb9483-b245-4feb-abfb-a0273d9196fe,O-20210301-000000-001-140737100332768-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,adf39c1b-64c0-414a-9961-92b56414bd4d,O-20210308-000000-001-140737100332768-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,ad6088eb-db80-4c6b-99f6-61eaa0bd22fd,O-20210315-000000-001-140737100332768-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,59037.11000000,0.23614844 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,e55772e5-21dd-4906-b2af-23d8582ea22b,O-20210322-000000-001-140737100332768-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.276,57415.17000000,15.84658692 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,86a09ae8-f8a4-4f71-8fb8-4071e2e2134d,O-20210322-000100-001-140737100332768-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.274,57449.36000000,15.74112464 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,982d0294-d734-40e5-8f8e-0256f549be28,O-20210329-000000-001-140737100332768-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.274,55805.09000000,15.29059466 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,58644bab-4e8c-4c5c-baad-6a025564dc51,O-20210329-000100-001-140737100332768-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.291,55857.04000000,16.25439864 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,d5457087-e2df-4db1-92e1-3e9a0b5663ca,O-20210405-000000-001-140737100332768-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,58234.60000000,0.29117300 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,f7af68f4-0411-4cfe-83bc-30dac97301de,O-20210412-000000-001-140737100332768-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,60090.19000000,0.24036076 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,25e9e966-fa18-4ea5-9e8c-46e15cadfbc8,O-20210419-000000-001-140737100332768-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.282,56140.04000000,15.83149128 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
14,a4543808-61f0-42d1-ba93-a560460a129a,O-20210419-000100-001-140737100332768-15,BINANCE-1-15,T-78190bb18f0ea15c-553733,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.277,56236.47000000,15.57750219 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
15,d1638c16-e60b-4fe1-aa68-2800c1d0fa91,O-20210426-000000-001-140737100332768-16,BINANCE-1-16,T-06eea41d47eb061b-589626,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.080,49063.93000000,3.92511440 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
16,c014e057-2fbe-47d4-8907-33fd03ede074,O-20210503-000000-001-140737100332768-17,BINANCE-1-17,T-a2573f3f94e11b73-625050,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.094,56630.34000000,5.32325196 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
17,bc108001-dfc7-4556-bc37-86598a556177,O-20210510-000000-001-140737100332768-18,BINANCE-1-18,T-ce24f27a7af93303-660196,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.012,58292.54000000,0.69951048 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
18,06b35d6e-dca4-48b7-aebf-f8f967ed0d09,O-20210517-000000-001-140737100332768-19,BINANCE-1-19,T-2213e5468ee6d2cb-695779,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.130,46429.27000000,6.03580510 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
19,035bdf2e-a2b6-4f76-b6b9-c7f9f6119c5c,O-20210524-000000-001-140737100332768-20,BINANCE-1-20,T-c3d455e8b7c4a20b-732403,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.260,34651.59000000,9.00941340 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
20,3b0d3311-b948-4ab9-93b5-b07fa1014327,O-20210531-000000-001-140737100332768-21,BINANCE-1-21,T-e3cf944dd53a0b20-768687,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.035,35651.82000000,1.24781370 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
21,bdb5eeeb-f72d-4c80-9be5-3f8aa7c41e6d,O-20210607-000000-001-140737100332768-22,BINANCE-1-22,T-0d30a68c30e2e9b1-804451,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,35801.72000000,0.14320688 USDT,USDT,TAKER,1623024060000000000,1623024060000000000
22,a759dc85-2223-41df-9598-8d026045f3ca,O-20210614-000000-001-140737100332768-23,BINANCE-1-23,T-c198ee754c308f13-840022,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.099,38993.66000000,3.86037234 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
23,fd7ce01f-cb4e-482b-8e6e-165dd90f2509,O-20210621-000000-001-140737100332768-24,BINANCE-1-24,T-5b933fac1eb5fddd-875278,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.503,35588.65000000,17.90109095 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
24,f5431e95-0293-459a-9dee-5955fab23af4,O-20210621-000100-001-140737100332768-25,BINANCE-1-25,T-8f8807bfe4e1d4b8-875283,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.600,35570.49000000,21.34229400 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
25,d1ea83f4-58fc-4d0b-a5ca-3c3e7e9102ee,O-20210628-000000-001-140737100332768-26,BINANCE-1-26,T-102ebecf4ba529a3-910954,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.600,34687.70000000,20.81262000 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
26,fc62bd73-06af-4b8d-8c04-ddc75808f27f,O-20210628-000100-001-140737100332768-27,BINANCE-1-27,T-4808b99cf0348c4d-910958,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.601,34572.76000000,20.77822876 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
27,a73024be-5b88-4871-b39c-d5f256d5b0cb,O-20210705-000000-001-140737100332768-28,BINANCE-1-28,T-7e947ef2b4da6a48-946147,BTCUSDT-PERP.BINANCE-DataActor-140737100332768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.023,35280.17000000,0.81144391 USDT,USDT,TAKER,1625443260000000000,1625443260000000000
