fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,b43642ab-ac3a-4924-b544-e016f8760aa7,O-20210201-000000-001-140725651100848-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.058,33126.22000000,1.92132076 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,d08377ad-baf4-4bb9-9a29-d5f1430ed40a,O-20210208-000000-001-140725651100848-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,486eadc9-8a36-482b-b13e-964d13bc6cd1,O-20210215-000000-001-140725651100848-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,48655.20000000,0.63251760 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,4df1ac4a-c526-4150-a540-8373e7ce8ce7,O-20210222-000000-001-140725651100848-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,817f14e1-013d-42b6-a796-d5e2affb12f0,O-20210301-000000-001-140725651100848-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,45163.37000000,0.22581685 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,6fd921f9-9942-4aed-8f71-86db7171ec38,O-20210308-000000-001-140725651100848-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,50995.26000000,0.30597156 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,6370795d-1e11-4a91-b31b-a0a4dffa402d,O-20210315-000000-001-140725651100848-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,59037.13000000,0.23614852 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,5256e59d-6ed7-4bfd-bea0-ae39e3565ee2,O-20210322-000000-001-140725651100848-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.045,57415.17000000,2.58368265 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,03fbe32f-535a-4275-9546-9968663be251,O-20210322-000100-001-140725651100848-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.048,57449.36000000,2.75756928 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,1532f9ab-9e6b-454c-ac21-f3d1fa3f7ee9,O-20210329-000000-001-140725651100848-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140725651100848,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,55805.09000000,2.67864432 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
