adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:a1c21c4d-b37d-4e8b-b931-7d6c189a49c2,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:cb54b685-475c-474c-ab44-8fde42f1dba4,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:4b86c528-5380-4165-a55c-28fe92ba4c1f,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:ecfae9ab-b7d4-4aa5-bbd8-04f561c7e6b3,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:9dd5d84b-8eae-4232-a01a-5cbb73dc1629,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:d54cea1c-2d10-48d0-b296-cf518cbd42d6,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:3eac0f36-7f07-4089-b810-2ff2f6d47544,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:6b780b0f-afe8-41e7-9a15-83f83e241191,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:1df23c14-d161-447e-9ee5-cb4454331136,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:814af296-12d4-434a-a8d2-a0d6aeee7ea6,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:e490eef2-179b-4013-9b92-04ff4759b64a,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:f057e8af-dbf0-4f11-9d5b-0dbbebce31e9,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:0d5f26d5-22da-4c83-b425-6b950d7c3bb2,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:ca8d3df6-c7b6-4e34-9a1f-57d1ac8e1e94,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:ee14c5af-dc3d-4dd7-b8b6-df93ba21c152,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59562115 USDT,,funding_settlement:07b5f476-7229-4e16-8792-c566e6f08247,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.42766823 USDT,,funding_settlement:f873d315-6a15-48f3-87f6-4e76b1dbb1ff,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.54109220 USDT,,funding_settlement:059a2447-ebdc-433b-ab4e-6cfeb51ccbd7,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.47538330 USDT,,funding_settlement:4f747f11-3125-4770-9c77-b60f0d2578c4,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.33819676 USDT,,funding_settlement:6f4be161-1df0-49f8-9d55-bc3b09c77cc9,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33522261 USDT,,funding_settlement:2db115cd-5890-4e9d-a4f8-4f3013eadda2,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22866359 USDT,,funding_settlement:d04b4f9d-6bb1-4de2-a45a-508f7cb6b423,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.88547817 USDT,,funding_settlement:0156ee99-2484-4e12-8ae6-c6662c38b2bf,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.28656764 USDT,,funding_settlement:52b2591f-1f01-4dae-9910-4b46111634a5,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.79811576 USDT,,funding_settlement:1e8c4d1d-1365-4f7f-92f2-e55cd56c58a2,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.07778900 USDT,,funding_settlement:1181ffc7-1a16-42f9-bbca-f45128fb7829,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.12254854 USDT,,funding_settlement:ff72f6a3-b662-4f54-9ed7-da1167725805,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.41971320 USDT,,funding_settlement:38d7c21e-e1c1-45ba-aa81-1a86c724fd46,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69263030 USDT,,funding_settlement:301dd9e1-c6c7-4bfc-902a-f90fed580c5d,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.85921249 USDT,,funding_settlement:f4b7b345-670c-4849-ae31-d474925931db,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.00784276 USDT,,funding_settlement:7fcbe0a6-5bfd-418e-a5cc-4832da989576,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.52031707 USDT,,funding_settlement:446ebe6f-b090-47fd-8db6-ebfcdf44f25a,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.34270534 USDT,,funding_settlement:27943e9b-7dea-4ba2-bdcc-ae6579a55626,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21510040 USDT,,funding_settlement:63a1f036-ce08-443c-abaa-0e2bef8de1a1,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.68207982 USDT,,funding_settlement:06bf1920-1caf-483f-9d5e-ee6f097f2e07,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.58194021 USDT,,funding_settlement:352c83bf-c4b9-42d9-b9bd-6e883d2dd12a,1613174400001000000
