fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,3cb407a2-7b8e-4270-8d18-0c72585dd99a,O-20210201-000000-001-140721283352352-1,BINANCE-1-1,T-0047a8d2dd768bb1-158616,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.058407,33037.91,1.92964521 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,567bbe9c-d79d-4d87-aa21-1aceeff6a741,O-20210208-000000-001-140721283352352-2,BINANCE-1-2,T-d1eb59afcb639be1-194432,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.003520,38828.91,0.13667776 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,c211a71a-a0a1-47fa-8908-38540d9559b9,O-20210215-000000-001-140721283352352-3,BINANCE-1-3,T-c548b13be1158784-229448,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012482,48626.69,0.60695834 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,7fae7b5f-3dca-4c9e-a10d-7dc2775aa7a9,O-20210222-000000-001-140721283352352-4,BINANCE-1-4,T-54ab2240262a4a50-264746,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000790,57462.56,0.04539542 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,b63a176f-e40b-466d-93ac-5dcb793d6d4b,O-20210301-000000-001-140721283352352-5,BINANCE-1-5,T-ac281f247fd7fda3-301336,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005166,45260.75,0.23381703 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,e93bd370-c65a-4628-b89b-42693db0fa7c,O-20210308-000000-001-140721283352352-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-336566,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.006087,50865.52,0.30961842 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,d8fb1b38-94c2-494c-8279-6e5ac9597ac2,O-20210315-000000-001-140721283352352-7,BINANCE-1-7,T-e4039ae4ef85d929-371896,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004076,59240.26,0.24146330 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,bd7fc611-29fe-468a-808e-d5c71f62bf71,O-20210322-000000-001-140721283352352-8,BINANCE-1-8,T-e88f57f1af27578f-406908,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.046350,57386.15,2.65984805 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,84698a13-35fe-4b34-bde3-cc3308ee9e2a,O-20210329-000000-001-140721283352352-9,BINANCE-1-9,T-3082ee7b3f2bdc71-441988,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.056309,55824.60,3.14342740 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,4916ddf6-b89d-426d-b4f0-a4fa2545d149,O-20210405-000000-001-140721283352352-10,BINANCE-1-10,T-7bab3a5fc888d8ab-476349,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007398,58249.80,0.43093202 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
10,3c3cf364-a511-4415-8f88-afb0a053f5c8,O-20210412-000000-001-140721283352352-11,BINANCE-1-11,T-8306f8f8f7e67219-510507,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005838,60160.01,0.35121414 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
11,ca326912-3345-46d2-8c39-d61f6b5e004e,O-20210419-000000-001-140721283352352-12,BINANCE-1-12,T-7d19d7b10f0e7d93-544942,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.069545,56234.79,3.91084847 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
12,c1c3b7ea-dd47-4d7b-96b7-bda56964fd70,O-20210621-000000-001-140721283352352-13,BINANCE-1-13,T-5b933fac1eb5fddd-861011,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.067091,35576.54,2.38686565 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
13,f6dff70c-8667-45f7-9f2f-b1e43d34dad9,O-20210628-000000-001-140721283352352-14,BINANCE-1-14,T-102ebecf4ba529a3-896935,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067091,34579.36,2.31996384 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
14,287c8ae7-1799-4b4a-9d1e-e28f4aa24802,O-20210726-000000-001-140721283352352-15,BINANCE-1-15,T-396cf8ddf89be646-1035714,BTCUSDT.BINANCE-DataActor-140721283352352,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.114134,35325.99,4.03189654 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
