fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,16fe3f7f-0803-4fcb-b88f-9f994ac23f1f,O-20210201-000000-001-140728464673808-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.301,33126.22000000,9.97099222 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,fe5acc47-72ad-45a3-b43c-13eaa67ffbf6,O-20210208-000000-001-140728464673808-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,a0350b4f-3ba7-410f-a771-cd5507165c34,O-20210215-000000-001-140728464673808-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,48655.20000000,0.38924160 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,79b5d9c1-7f1c-4b7a-9bcb-9b301bba2805,O-20210222-000000-001-140728464673808-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,57487.42000000,0.34492452 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,236c451c-ccf5-4391-a912-f38c6673a432,O-20210301-000000-001-140728464673808-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,45ff34eb-c1e9-4baf-9c9b-1bc56a09bac9,O-20210308-000000-001-140728464673808-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,fb1a51c6-1c1d-4935-b0df-4e27cdea42e2,O-20210315-000000-001-140728464673808-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,59037.11000000,0.23614844 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,b6bc8129-2845-4e36-89d9-c3259f15eec6,O-20210322-000000-001-140728464673808-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.276,57415.17000000,15.84658692 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,598832df-0286-4706-a2d7-6710024c616f,O-20210322-000100-001-140728464673808-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.274,57449.36000000,15.74112464 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,f4862bfd-6e1e-4bb5-9aa9-a1a74deef47d,O-20210329-000000-001-140728464673808-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.274,55805.09000000,15.29059466 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,2722f4d5-2c5b-4e6b-840c-0bc7567240db,O-20210329-000100-001-140728464673808-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.291,55857.04000000,16.25439864 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,6f4514d6-c69c-40dc-803c-d9d4da32b1c5,O-20210405-000000-001-140728464673808-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,58234.60000000,0.29117300 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,4a0887d3-642a-419c-ab4b-69c9a434fecb,O-20210412-000000-001-140728464673808-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,60090.19000000,0.24036076 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,9fb7ee38-9895-45a8-b9c1-0bd9af6aa1dc,O-20210419-000000-001-140728464673808-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.282,56140.04000000,15.83149128 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
14,14fb5146-5aea-4296-8b8b-2fec6bef8f85,O-20210419-000100-001-140728464673808-15,BINANCE-1-15,T-78190bb18f0ea15c-553733,BTCUSDT-PERP.BINANCE-DataActor-140728464673808,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.277,56236.47000000,15.57750219 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
