fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,60310d6e-6f7a-4ac5-9fb1-329cf47e5872,O-20210201-000000-001-140724074716208-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.058,33126.22000000,1.92132076 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,298f843a-bfcb-49b8-961e-f9accd4a2c5e,O-20210208-000000-001-140724074716208-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,2fd4db13-90da-4b06-b404-6cb4c445a6a4,O-20210215-000000-001-140724074716208-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,48655.20000000,0.63251760 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,b626fde2-8b62-4c77-8af1-2ecb283f7cb0,O-20210222-000000-001-140724074716208-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,f74e308b-a123-4d01-b255-bbc75d29b8f2,O-20210301-000000-001-140724074716208-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,45163.37000000,0.22581685 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,9684accb-a440-48ca-9ad1-62fb25ca1df6,O-20210308-000000-001-140724074716208-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,50995.26000000,0.30597156 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,46a3e8cb-d7e5-4ed3-ade2-a35875d2dd0a,O-20210315-000000-001-140724074716208-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,59037.13000000,0.23614852 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,7ddb2dac-ebfe-4c23-ae25-3c548404d54d,O-20210322-000000-001-140724074716208-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.045,57415.17000000,2.58368265 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,394aacad-8d3e-4c47-b550-eeb5709e4efc,O-20210322-000100-001-140724074716208-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.048,57449.36000000,2.75756928 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,af6ff5a9-374b-46d4-8ff2-80d4a4368789,O-20210329-000000-001-140724074716208-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,55805.09000000,2.67864432 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,3fa7cbf8-38e3-4355-9b29-3a32b1c1264a,O-20210329-000100-001-140724074716208-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.055,55857.04000000,3.07213720 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,309966e3-717e-4082-ac41-cfe9ff9dbcbb,O-20210405-000000-001-140724074716208-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,4b40a8c3-2af9-4293-9a16-bc84fd35b8f2,O-20210412-000000-001-140724074716208-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,9bf919ac-0935-49cc-96b3-98fb04bc5157,O-20210419-000000-001-140724074716208-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140724074716208,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.067,56140.04000000,3.76138268 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
