adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:3e829fa2-e4f9-4338-ab32-a72af31b6720,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:965c1d34-31e7-4557-95fa-be20584c1146,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:09a2a09e-8f83-4287-91c7-029b939a93a9,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:3e3fe2c8-0f59-4ea6-8083-3efcfc8cc809,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:a4024b55-7266-451a-a3a9-e310e5e4f219,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:10425145-b78a-44f0-ac9e-7e57a6898683,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:d60669f9-88b6-4956-8d81-11444bf87caa,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:2921892f-87ec-44eb-a6d5-4c62a20efd4b,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:d1ab17c8-569e-453f-9b3f-dcf0da6e329e,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:6ee35ef4-15d4-49c8-b0ea-a384daeac950,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:47c1f4d7-f696-4767-b739-7ad2e73bbafd,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:aee7f275-7f8b-4730-8c07-1cd0f654ac51,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:849c1efe-8e3e-41df-9de5-d307a191c2f3,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:ba9463f4-8ebb-49bd-93da-d1d66d734383,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:c7b5564f-6817-44dc-ad64-860be69bc1d5,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59562115 USDT,,funding_settlement:e9d55e9f-4855-4817-921f-71af3c082f58,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.42766823 USDT,,funding_settlement:9a51275a-360b-41c5-be78-e301188285d1,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.54109220 USDT,,funding_settlement:ce119a9a-83e2-422d-856c-4544051cc75e,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.47538330 USDT,,funding_settlement:dbb6632b-eb87-4c47-8ba1-4fcda0e793cf,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.33819676 USDT,,funding_settlement:d0abe825-8210-423b-8a16-051ba010890d,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33522261 USDT,,funding_settlement:8cb4740c-002b-4bdc-b03e-e01b92305d7e,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22866359 USDT,,funding_settlement:cec4da49-6121-4189-a668-bb8bec4983ae,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.88547817 USDT,,funding_settlement:a7a337ad-a8ca-4da7-89d0-4db05fd8cbaf,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.28656764 USDT,,funding_settlement:36158ec6-8e59-487e-b60e-a2af478b7fdb,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.79811576 USDT,,funding_settlement:a5b6955a-aab3-4e73-8d8b-9652cb777bbf,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.07778900 USDT,,funding_settlement:0981e7f4-7d2c-4355-88f7-1dcc3efbbbdd,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.12254854 USDT,,funding_settlement:d6bdc7b7-411c-4363-9199-ac72409a8f1c,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.41971320 USDT,,funding_settlement:6103702c-32de-48b2-afb7-eda30cf793b4,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69263030 USDT,,funding_settlement:e29aa7a1-af72-404b-8ac6-05245721fbe8,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.85921249 USDT,,funding_settlement:56b9479d-372d-4f8f-aee5-366b68d8fc8f,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.00784276 USDT,,funding_settlement:2cf10b9b-7a9a-4f55-9537-99d496745c2e,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.52031707 USDT,,funding_settlement:eb560a89-8c42-4151-b02f-f10df1a6a903,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.34270534 USDT,,funding_settlement:80137576-1046-4573-bbe3-d0b2a008dcea,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21510040 USDT,,funding_settlement:3018af26-c0a2-4bc3-b2ff-6019f856e3c9,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.68207982 USDT,,funding_settlement:4a68274a-7d68-4f88-94ad-169a5a0ac305,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.58194021 USDT,,funding_settlement:9e0696fd-2b31-4acf-ae87-9fda6694f7a7,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.59739570 USDT,,funding_settlement:65605f18-ecd8-4da3-a43c-6c5f281de13d,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93285237 USDT,,funding_settlement:075f2d3f-3574-495f-8a8b-1340775fdca4,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.16869680 USDT,,funding_settlement:98c363b2-a527-42c9-a116-52f961a3060d,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.85430799 USDT,,funding_settlement:adb64b0e-1207-4c89-89e7-1f4cc02579c1,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92679426 USDT,,funding_settlement:287c2014-7517-471c-b760-cd9d34991239,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09771784 USDT,,funding_settlement:cda0a6a8-5509-492b-8a88-b683e54b04f9,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.78750246 USDT,,funding_settlement:f1bcf1c3-3597-4232-a9dd-5ee08d99f5b3,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.34072028 USDT,,funding_settlement:793d83b8-4943-40df-8101-becdf70dc3bf,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.95932843 USDT,,funding_settlement:2b70d5b9-fb34-4d2c-b6cd-f9c994c4c59f,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.49310194 USDT,,funding_settlement:6f6693a1-3929-4a1b-a67e-2523e8903993,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.85110463 USDT,,funding_settlement:3f71ed93-ca2a-42cc-bfad-f624370367f0,1613491200010000000
