adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:bc3cb75f-3066-4193-8506-a8e3af66e2a6,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:38435326-65ff-4df8-8f1e-f5cf60759362,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:f59d76c6-9382-4d89-996a-f8095e54dbac,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:f6e05ba1-bbdf-4b71-bcbd-62641b9e898a,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:3f11fd91-dadd-4642-9366-c5e392574174,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:c13baa55-6672-40b7-8f9f-b91bc84fa617,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:77ebf1ab-fbf0-444e-b925-8b84648e65f0,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:4fc65a5e-97b6-4f81-a53d-9a4fc9c738f6,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:f21296a7-61ca-47b0-ad5b-e7cb7992afc9,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:d284bd6f-14f6-448b-95ba-7e505138b63e,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:972b0384-f651-4503-9f49-7d9c329ef452,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:66b728ab-e782-49f9-aa26-59b6ead645c1,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.49152014 USDT,,funding_settlement:f4e8be69-2b0e-42a0-b12e-77e024c5e55e,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.33959303 USDT,,funding_settlement:a4bcc349-7ec8-418b-9462-7f4abcbbc0bb,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01232690 USDT,,funding_settlement:84102a80-7d5b-4e33-ab0d-c25a193e5365,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.28072357 USDT,,funding_settlement:871d4dac-4cc5-4434-8a28-1631c72b49d6,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.59876101 USDT,,funding_settlement:3f0b180b-37cd-4689-bf1d-9f73b21da717,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.37704745 USDT,,funding_settlement:b985a676-54e7-47fe-8bd3-a5f0c9996479,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.65673059 USDT,,funding_settlement:b340d385-d293-4694-8a9a-27d0fafc93cb,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.13443490 USDT,,funding_settlement:9e0f406e-6071-488d-8fd8-80a73d019ec2,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92934494 USDT,,funding_settlement:4562254c-facc-45e1-a170-99dd66fd0211,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.75764976 USDT,,funding_settlement:fe6269ad-6e1c-4a07-a8a4-a8b84037ec97,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-32.37012992 USDT,,funding_settlement:052175c5-afcd-4135-b9a6-de0b61343257,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.07612202 USDT,,funding_settlement:4fbea683-629e-4daf-800f-6fc7d9211b6e,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-26.38963666 USDT,,funding_settlement:52131bec-5f25-400a-835a-d739482513dc,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.42783949 USDT,,funding_settlement:f00a412e-3b9a-4e8d-ae96-f6a07d603977,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.17401700 USDT,,funding_settlement:4dbb8d0f-f656-4571-8982-b31e14e96416,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.30842259 USDT,,funding_settlement:3e2283ff-c988-49a3-bf2e-7492a4e651cf,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80946665 USDT,,funding_settlement:e4861f22-be6e-469c-b316-4213f734f3a2,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.22566868 USDT,,funding_settlement:8b57b392-b8ed-40ca-8988-753493db608d,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.04313517 USDT,,funding_settlement:8b811b4d-0319-41e8-80ed-259d1183ec2f,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.86174387 USDT,,funding_settlement:96bed4ce-5292-45e8-bfb5-816f920ae9a1,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.38487935 USDT,,funding_settlement:d0605b58-3eef-41b5-97de-cef27a04c2d7,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.68305218 USDT,,funding_settlement:37af31c2-15e2-4288-8452-b2ed542ff37e,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.75143901 USDT,,funding_settlement:7f25077e-cdb9-4d66-9e27-f36956b0a1ac,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.70067118 USDT,,funding_settlement:03692ff6-3766-4d41-adbc-087137d51012,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.78567633 USDT,,funding_settlement:e64afe1b-4adc-4f83-89f8-99ae85e85c41,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.63068805 USDT,,funding_settlement:ecce0f31-66dd-4922-afd2-059ceda4d610,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.92783241 USDT,,funding_settlement:405c933e-9665-44a8-bcd1-cc32facec051,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.19869393 USDT,,funding_settlement:2a642e94-63f4-4fdb-9834-3bfc535156bf,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.59736845 USDT,,funding_settlement:3b333d3b-debb-4f09-a707-287fa4e4eac9,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.03744810 USDT,,funding_settlement:86d71a16-1c14-4fdf-aba3-f145357899d0,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.55093201 USDT,,funding_settlement:47e3d5d7-974a-4fc8-a5c3-de2f286282ad,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.45044296 USDT,,funding_settlement:e14f4081-20d0-413f-877f-bc9e8295e8a0,1613404800000000000
