fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,5e85541a-90f1-4239-a71c-53115a57000f,O-20210201-000000-001-140721002908160-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.058,33126.22000000,1.92132076 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,21e096d3-37af-450b-899a-614167d83f40,O-20210208-000000-001-140721002908160-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,5956643f-86b0-48fb-bf61-8c9ce97bd6db,O-20210215-000000-001-140721002908160-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,48655.20000000,0.63251760 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,4b5f1250-271d-4840-9a84-dd240626b192,O-20210222-000000-001-140721002908160-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,e05974b1-b004-43dc-a1ae-bf4f0734b8f6,O-20210301-000000-001-140721002908160-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,45163.37000000,0.22581685 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,ab5b6f97-5a19-44a6-9996-ecc48301e3c6,O-20210308-000000-001-140721002908160-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,50995.26000000,0.30597156 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,165815b3-81f4-45df-b175-513ea4cb3c29,O-20210315-000000-001-140721002908160-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,59037.13000000,0.23614852 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,d8acef26-ff4a-43d7-a2ac-aa30db2ccb82,O-20210322-000000-001-140721002908160-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.045,57415.17000000,2.58368265 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,87ead619-b2bb-4547-a577-73a11fbe4c1d,O-20210322-000100-001-140721002908160-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.048,57449.36000000,2.75756928 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,a20b1ac6-5d56-41e7-bad0-7464fbc5d0db,O-20210329-000000-001-140721002908160-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,55805.09000000,2.67864432 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,369eb9cb-e88b-41d2-a897-09cc8d207a58,O-20210329-000100-001-140721002908160-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.055,55857.04000000,3.07213720 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,4a90fdc8-2ed6-4313-962b-2e712699c394,O-20210405-000000-001-140721002908160-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,d2e76b0f-fb59-45eb-a59c-716a36193506,O-20210412-000000-001-140721002908160-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,c70765b6-e7a0-44d3-8d7c-da175b11c261,O-20210419-000000-001-140721002908160-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.067,56140.04000000,3.76138268 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
14,e7e47861-a3d2-4448-88ad-85dc030fddd1,O-20210419-000100-001-140721002908160-15,BINANCE-1-15,T-78190bb18f0ea15c-553733,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.065,56236.47000000,3.65537055 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
15,17456b9a-4025-4c5a-9b89-79118ed89b51,O-20210426-000000-001-140721002908160-16,BINANCE-1-16,T-06eea41d47eb061b-589626,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.023,49063.93000000,1.12847039 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
16,b4d112f5-f9c0-446b-82c9-34831e43f717,O-20210503-000000-001-140721002908160-17,BINANCE-1-17,T-a2573f3f94e11b73-625050,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.032,56630.34000000,1.81217088 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
17,bfb8b206-4b65-4bcd-91ad-2a5639b12979,O-20210510-000000-001-140721002908160-18,BINANCE-1-18,T-ce24f27a7af93303-660196,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.008,58292.54000000,0.46634032 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
18,686086ea-3179-4066-8b74-24158d97e104,O-20210517-000000-001-140721002908160-19,BINANCE-1-19,T-2213e5468ee6d2cb-695779,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,46429.27000000,0.37143416 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
19,a89eadf8-325f-45ef-962f-4c07f702fbcf,O-20210524-000000-001-140721002908160-20,BINANCE-1-20,T-c3d455e8b7c4a20b-732403,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,34651.59000000,0.13860636 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
20,252716ab-9042-4a1f-9c1a-bfb9f15e0b5a,O-20210531-000000-001-140721002908160-21,BINANCE-1-21,T-e3cf944dd53a0b20-768687,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35651.82000000,0.10695546 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
21,e8ca381d-9597-4190-9e1b-eab6f9fa3a9e,O-20210614-000000-001-140721002908160-22,BINANCE-1-22,T-c198ee754c308f13-840021,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.008,38993.66000000,0.31194928 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
22,6e4e5617-8a97-40ee-b184-f9d337c9bbe8,O-20210621-000000-001-140721002908160-23,BINANCE-1-23,T-5b933fac1eb5fddd-875277,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.049,35588.65000000,1.74384385 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
23,dbadd3b0-9ffc-4c03-9c12-dbb495b87b77,O-20210621-000100-001-140721002908160-24,BINANCE-1-24,T-8f8807bfe4e1d4b8-875282,BTCUSDT-PERP.BINANCE-DataActor-140721002908160,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.070,35570.49000000,2.48993430 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
