adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:a3a113fa-148e-400e-8c89-b31e15726cf4,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:81a6e0e4-6b9c-4c3a-b232-522468b1a5ce,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:5a25ba4f-fca9-4abf-ad3b-fb495050f338,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:17bde8a4-1aed-40b6-944f-d0d1b48e3b53,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:a819042c-a650-4054-8b94-89c48725d049,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:5322f929-d007-494d-95ee-4da3aa3664da,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:e1afc9ca-1cd5-493a-8c03-58b7b59e8ecc,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:c63356a1-3cba-40b6-a031-2c759e38e383,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:798dd03f-bf20-4e1b-b299-f25d36900f05,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:95a73b74-fd0a-4712-86af-705a531355c6,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:d554f420-f2b5-42cd-84cb-addbb74eb319,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:b99e18c3-73c5-4984-be23-ef00d97397a1,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:74f08c51-2248-4482-b88c-210ea4da9621,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:86e65223-b056-4083-a098-e5267fabdaa7,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:cf612c70-6211-4330-93e9-bbe04e1df102,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59562115 USDT,,funding_settlement:72221748-9c9d-453f-8582-2d9ac7f495a6,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.42766823 USDT,,funding_settlement:40d59195-16df-40f9-b78f-b36018cad9e9,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.54109220 USDT,,funding_settlement:acdb8efa-484c-4ada-a2dd-d8a515b123af,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.47538330 USDT,,funding_settlement:5ea67343-c547-4ffc-8db5-a7036afe7820,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.33819676 USDT,,funding_settlement:3af70d3a-5378-44b2-aea1-108dfc8a879d,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33522261 USDT,,funding_settlement:4bf92be5-b98e-4104-baae-fe036b908902,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22866359 USDT,,funding_settlement:b674da08-a16c-4501-8e65-568fec07fc85,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.88547817 USDT,,funding_settlement:e79367f6-6beb-447d-b34c-9c395b8d080a,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.28656764 USDT,,funding_settlement:41f4fec3-b843-4479-be40-b32f403b5de9,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.79811576 USDT,,funding_settlement:47d2dab5-f0dd-4261-b899-dc92ddd1c75a,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.07778900 USDT,,funding_settlement:ecd6fe9e-022b-48ab-81de-28ecaf05432e,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.12254854 USDT,,funding_settlement:667bb72e-6110-4bf2-aea7-ee70204b8e33,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.41971320 USDT,,funding_settlement:49355410-c9c7-4b5e-96dc-6cc48f8a9576,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.69263030 USDT,,funding_settlement:9b55f2c6-c3d3-4a80-9af6-c5fea827d0cb,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.85921249 USDT,,funding_settlement:3e57a092-5453-4ad3-87b6-3c4e13f685a6,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.00784276 USDT,,funding_settlement:8c9af478-9181-4e43-b0d9-8cfc6d2dce8a,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.52031707 USDT,,funding_settlement:0420bbad-659b-4ab2-9cd3-aa75a1cb5559,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.34270534 USDT,,funding_settlement:ff48a106-dab3-4fa6-aab3-c5ac90320954,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21510040 USDT,,funding_settlement:2196908c-1d84-4ba6-898a-c9f02d731193,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.68207982 USDT,,funding_settlement:d0b7c986-455d-42ed-9a5e-ad5f178bcd49,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.58194021 USDT,,funding_settlement:d5862821-ce2e-402b-a33f-77d51d5595cc,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.59739570 USDT,,funding_settlement:3dc1372d-45df-499a-95c1-c14585ce6208,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93285237 USDT,,funding_settlement:f4edad95-8ea0-461e-a296-a4165358d8ed,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.16869680 USDT,,funding_settlement:b2a63a2f-61f3-421f-b148-3ffcfbe2c073,1613260800013000000
