fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,78b9ebeb-50e4-49b1-893e-622787a03978,O-20210201-000000-001-140735629235696-1,BINANCE-1-1,T-0047a8d2dd768bb1-158616,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.058407,33037.91,1.92964521 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,22ece12c-0885-4e28-84d9-794ac6177403,O-20210208-000000-001-140735629235696-2,BINANCE-1-2,T-d1eb59afcb639be1-194432,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.003520,38828.91,0.13667776 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,87489bbb-f200-447c-b939-b6a1a6bf1cd5,O-20210215-000000-001-140735629235696-3,BINANCE-1-3,T-c548b13be1158784-229448,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012482,48626.69,0.60695834 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,890aef48-b647-4fb4-b795-1d5cdaa92cc6,O-20210222-000000-001-140735629235696-4,BINANCE-1-4,T-54ab2240262a4a50-264746,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000790,57462.56,0.04539542 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,af9e4c67-8c9d-4d8c-a78d-11c5d19db72e,O-20210301-000000-001-140735629235696-5,BINANCE-1-5,T-ac281f247fd7fda3-301336,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005166,45260.75,0.23381703 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,36957b37-dec5-4ed2-b1e4-f6aa47e03161,O-20210308-000000-001-140735629235696-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-336566,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.006087,50865.52,0.30961842 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,a4357047-ee1e-42d9-901d-4adc69ad7cf2,O-20210315-000000-001-140735629235696-7,BINANCE-1-7,T-e4039ae4ef85d929-371896,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004076,59240.26,0.24146330 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,a7b8c478-6e4f-41e8-b153-f4d2fabbf20f,O-20210322-000000-001-140735629235696-8,BINANCE-1-8,T-e88f57f1af27578f-406908,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.046350,57386.15,2.65984805 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,f52f8282-338b-4517-9cc0-3733e921e99b,O-20210329-000000-001-140735629235696-9,BINANCE-1-9,T-3082ee7b3f2bdc71-441988,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.056309,55824.60,3.14342740 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,366a494c-a32d-4172-ace0-02c4d06fc7d3,O-20210405-000000-001-140735629235696-10,BINANCE-1-10,T-7bab3a5fc888d8ab-476349,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007398,58249.80,0.43093202 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
10,01f370ee-e59e-4f5a-a8d8-ee12c69b33b5,O-20210412-000000-001-140735629235696-11,BINANCE-1-11,T-8306f8f8f7e67219-510507,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005838,60160.01,0.35121414 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
11,7ff7fa8b-9b6a-4fe7-8f8c-031b285fd1e7,O-20210419-000000-001-140735629235696-12,BINANCE-1-12,T-7d19d7b10f0e7d93-544942,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.069545,56234.79,3.91084847 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
12,69348798-7fdd-4d41-bfb2-1b0eb9a9364a,O-20210621-000000-001-140735629235696-13,BINANCE-1-13,T-5b933fac1eb5fddd-861011,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.067091,35576.54,2.38686565 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
13,316e79fa-1b01-48c5-9748-a4825dad5051,O-20210628-000000-001-140735629235696-14,BINANCE-1-14,T-102ebecf4ba529a3-896935,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067091,34579.36,2.31996384 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
14,861da410-9074-4244-a458-3262a07da427,O-20210726-000000-001-140735629235696-15,BINANCE-1-15,T-396cf8ddf89be646-1035714,BTCUSDT.BINANCE-DataActor-140735629235696,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.114134,35325.99,4.03189654 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
