event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,MARGIN,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612224060000000000,BINANCE-001,MARGIN,USDT,9996.64539200,83.86520000,9912.78019200,False
2,1612252800006000000,BINANCE-001,MARGIN,USDT,9998.16283242,83.86520000,9914.29763242,True
3,1612252800006000000,BINANCE-001,MARGIN,USDT,9998.16283242,83.86520000,9914.29763242,False
4,1612281600000000000,BINANCE-001,MARGIN,USDT,10002.40872236,83.86520000,9918.54352236,True
5,1612281600000000000,BINANCE-001,MARGIN,USDT,10002.40872236,83.86520000,9918.54352236,False
6,1612310400009000000,BINANCE-001,MARGIN,USDT,10005.15415721,83.86520000,9921.28895721,True
7,1612310400009000000,BINANCE-001,MARGIN,USDT,10005.15415721,83.86520000,9921.28895721,False
8,1612310460000000000,BINANCE-001,MARGIN,USDT,9805.80475021,0.00000000,9805.80475021,False
9,1612310520000000000,BINANCE-001,MARGIN,USDT,9802.25302321,88.79317500,9713.45984821,False
10,1612339200006000000,BINANCE-001,MARGIN,USDT,9799.31639279,88.79317500,9710.52321779,True
11,1612339200006000000,BINANCE-001,MARGIN,USDT,9799.31639279,88.79317500,9710.52321779,False
12,1612368000006000000,BINANCE-001,MARGIN,USDT,9796.53874894,88.79317500,9707.74557394,True
13,1612368000006000000,BINANCE-001,MARGIN,USDT,9796.53874894,88.79317500,9707.74557394,False
14,1612396800005000000,BINANCE-001,MARGIN,USDT,9795.44448607,88.79317500,9706.65131107,True
15,1612396800005000000,BINANCE-001,MARGIN,USDT,9795.44448607,88.79317500,9706.65131107,False
16,1612425600000000000,BINANCE-001,MARGIN,USDT,9792.63097594,88.79317500,9703.83780094,True
17,1612425600000000000,BINANCE-001,MARGIN,USDT,9792.63097594,88.79317500,9703.83780094,False
18,1612454400011000000,BINANCE-001,MARGIN,USDT,9790.36398889,88.79317500,9701.57081389,True
19,1612454400011000000,BINANCE-001,MARGIN,USDT,9790.36398889,88.79317500,9701.57081389,False
20,1612483200009000000,BINANCE-001,MARGIN,USDT,9788.26888135,88.79317500,9699.47570635,True
21,1612483200009000000,BINANCE-001,MARGIN,USDT,9788.26888135,88.79317500,9699.47570635,False
22,1612512000004000000,BINANCE-001,MARGIN,USDT,9785.44777831,88.79317500,9696.65460331,True
23,1612512000004000000,BINANCE-001,MARGIN,USDT,9785.44777831,88.79317500,9696.65460331,False
24,1612540800000000000,BINANCE-001,MARGIN,USDT,9781.68047166,88.79317500,9692.88729666,True
25,1612540800000000000,BINANCE-001,MARGIN,USDT,9781.68047166,88.79317500,9692.88729666,False
26,1612569600008000000,BINANCE-001,MARGIN,USDT,9780.34747269,88.79317500,9691.55429769,True
27,1612569600008000000,BINANCE-001,MARGIN,USDT,9780.34747269,88.79317500,9691.55429769,False
28,1612598400009000000,BINANCE-001,MARGIN,USDT,9777.59640174,88.79317500,9688.80322674,True
29,1612598400009000000,BINANCE-001,MARGIN,USDT,9777.59640174,88.79317500,9688.80322674,False
30,1612627200000000000,BINANCE-001,MARGIN,USDT,9773.41076685,88.79317500,9684.61759185,True
31,1612627200000000000,BINANCE-001,MARGIN,USDT,9773.41076685,88.79317500,9684.61759185,False
32,1612656000000000000,BINANCE-001,MARGIN,USDT,9767.30543547,88.79317500,9678.51226047,True
33,1612656000000000000,BINANCE-001,MARGIN,USDT,9767.30543547,88.79317500,9678.51226047,False
34,1612684800005000000,BINANCE-001,MARGIN,USDT,9764.76167115,88.79317500,9675.96849615,True
35,1612684800005000000,BINANCE-001,MARGIN,USDT,9764.76167115,88.79317500,9675.96849615,False
36,1612713600001000000,BINANCE-001,MARGIN,USDT,9760.73029743,88.79317500,9671.93712243,True
37,1612713600001000000,BINANCE-001,MARGIN,USDT,9760.73029743,88.79317500,9671.93712243,False
38,1612742400000000000,BINANCE-001,MARGIN,USDT,9758.42818948,88.79317500,9669.63501448,True
39,1612742400000000000,BINANCE-001,MARGIN,USDT,9758.42818948,88.79317500,9669.63501448,False
40,1612771200001000000,BINANCE-001,MARGIN,USDT,9756.15288653,88.79317500,9667.35971153,True
41,1612771200001000000,BINANCE-001,MARGIN,USDT,9756.15288653,88.79317500,9667.35971153,False
42,1612800000000000000,BINANCE-001,MARGIN,USDT,9745.25385289,88.79317500,9656.46067789,True
43,1612800000000000000,BINANCE-001,MARGIN,USDT,9745.25385289,88.79317500,9656.46067789,False
44,1612828800010000000,BINANCE-001,MARGIN,USDT,9739.16761652,88.79317500,9650.37444152,True
45,1612828800010000000,BINANCE-001,MARGIN,USDT,9739.16761652,88.79317500,9650.37444152,False
46,1612857600006000000,BINANCE-001,MARGIN,USDT,9730.28221697,88.79317500,9641.48904197,True
47,1612857600006000000,BINANCE-001,MARGIN,USDT,9730.28221697,88.79317500,9641.48904197,False
48,1612886400007000000,BINANCE-001,MARGIN,USDT,9722.73075586,88.79317500,9633.93758086,True
49,1612886400007000000,BINANCE-001,MARGIN,USDT,9722.73075586,88.79317500,9633.93758086,False
50,1612915200009000000,BINANCE-001,MARGIN,USDT,9716.94825855,88.79317500,9628.15508355,True
51,1612915200009000000,BINANCE-001,MARGIN,USDT,9716.94825855,88.79317500,9628.15508355,False
52,1612944000014000000,BINANCE-001,MARGIN,USDT,9708.76360448,88.79317500,9619.97042948,True
53,1612944000014000000,BINANCE-001,MARGIN,USDT,9708.76360448,88.79317500,9619.97042948,False
54,1612972800005000000,BINANCE-001,MARGIN,USDT,9703.77725207,88.79317500,9614.98407707,True
55,1612972800005000000,BINANCE-001,MARGIN,USDT,9703.77725207,88.79317500,9614.98407707,False
56,1613001600000000000,BINANCE-001,MARGIN,USDT,9700.33426598,88.79317500,9611.54109098,True
57,1613001600000000000,BINANCE-001,MARGIN,USDT,9700.33426598,88.79317500,9611.54109098,False
58,1613030400000000000,BINANCE-001,MARGIN,USDT,9696.61603865,88.79317500,9607.82286365,True
