fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,6a427800-57fc-4cfb-8dd7-1616d98d0c06,O-20210202-000000-001-140735689238800-1,BINANCE-1-1,T-26fe7ac87a4e1d02-166726,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,33546.08000000,3.35460800 USDT,USDT,TAKER,1612224060000000000,1612224060000000000
1,e5814f70-945c-49c3-aba2-c5c8d170122d,O-20210203-000000-001-140735689238800-2,BINANCE-1-2,T-5987e40c0fec23ca-171817,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,35504.07000000,3.55040700 USDT,USDT,TAKER,1612310460000000000,1612310460000000000
2,fa0cf55c-b07a-48c7-b57a-4535404fd61e,O-20210203-000100-001-140735689238800-3,BINANCE-1-3,T-dfd490810981b4e2-171822,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,35517.27000000,3.55172700 USDT,USDT,TAKER,1612310520000000000,1612310520000000000
3,d6ca54e1-8800-4e77-8f2c-6d69e13bec26,O-20210226-000000-001-140735689238800-4,BINANCE-1-4,T-3eb79e284fb134e6-289252,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,47089.36000000,4.70893600 USDT,USDT,TAKER,1614297660000000000,1614297660000000000
4,4d4f37ec-51c8-4874-ad38-b9b3a5639e9b,O-20210226-000100-001-140735689238800-5,BINANCE-1-5,T-2cf86f8ca1927b69-289256,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,46949.84000000,4.69498400 USDT,USDT,TAKER,1614297720000000000,1614297720000000000
5,1305dc4e-d846-4a00-945a-de554694843b,O-20210304-000000-001-140735689238800-6,BINANCE-1-6,T-461bc445bc14828c-320036,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,50373.76000000,5.03737600 USDT,USDT,TAKER,1614816060000000000,1614816060000000000
6,7bd6ae6e-feda-4255-9b23-18460b5d1609,O-20210304-000100-001-140735689238800-7,BINANCE-1-7,T-52cd0f44ace9e9ae-320040,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,50131.44000000,5.01314400 USDT,USDT,TAKER,1614816120000000000,1614816120000000000
7,de727149-bf2f-4396-acd4-cd1f0589e65d,O-20210305-000000-001-140735689238800-8,BINANCE-1-8,T-fde6042030eef3ee-325174,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,48385.76000000,4.83857600 USDT,USDT,TAKER,1614902460000000000,1614902460000000000
8,80cf1340-1bda-43e8-9816-91aebd196eb2,O-20210305-000100-001-140735689238800-9,BINANCE-1-9,T-e0822a795f93b0f7-325178,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,48369.99000000,4.83699900 USDT,USDT,TAKER,1614902520000000000,1614902520000000000
9,cfac6ec5-f78e-4a34-b594-2f9ce6c6b9aa,O-20210308-000000-001-140735689238800-10,BINANCE-1-10,T-a8bbecfbcc0fb8dc-340319,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,50995.28000000,5.09952800 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
10,69e904a5-56cd-4369-b3df-b64d8bd232ba,O-20210308-000100-001-140735689238800-11,BINANCE-1-11,T-8392af35897a3c50-340324,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,50888.96000000,5.08889600 USDT,USDT,TAKER,1615161720000000000,1615161720000000000
11,9f9e7739-e89c-4434-982e-ef4b7c5d527f,O-20210323-000000-001-140735689238800-12,BINANCE-1-12,T-eb4e7562ec9c5294-416447,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,54129.55000000,5.41295500 USDT,USDT,TAKER,1616457660000000000,1616457660000000000
12,6ae11575-b02b-4dd1-862a-6f7df3c22ce9,O-20210323-000100-001-140735689238800-13,BINANCE-1-13,T-8fd9b29bedb136ca-416451,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,54259.01000000,5.42590100 USDT,USDT,TAKER,1616457720000000000,1616457720000000000
13,89a7c978-2d14-49ee-ba08-01998dcc0c68,O-20210330-000000-001-140735689238800-14,BINANCE-1-14,T-10e54d611db200b2-452525,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,57677.65000000,5.76776500 USDT,USDT,TAKER,1617062460000000000,1617062460000000000
14,54e3e7c9-5e8e-4d8f-8dee-dae64425814b,O-20210330-000100-001-140735689238800-15,BINANCE-1-15,T-e848c853ce0f6038-452530,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,57694.86000000,5.76948600 USDT,USDT,TAKER,1617062520000000000,1617062520000000000
15,cb135621-30bd-40c0-a48e-6e078729393e,O-20210408-000000-001-140735689238800-16,BINANCE-1-16,T-ffe92bb306950130-498158,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,56018.17000000,5.60181700 USDT,USDT,TAKER,1617840060000000000,1617840060000000000
16,d21f46dd-6b1f-4d57-9eb3-d5ce4148c7ab,O-20210408-000100-001-140735689238800-17,BINANCE-1-17,T-8c1e37e110b93c6e-498163,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,56014.40000000,5.60144000 USDT,USDT,TAKER,1617840120000000000,1617840120000000000
17,4d87cbfe-7561-44a7-9b33-1d2a5b60efff,O-20210409-000000-001-140735689238800-18,BINANCE-1-18,T-2ef28b5046567a5a-503172,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,58122.27000000,5.81222700 USDT,USDT,TAKER,1617926460000000000,1617926460000000000
18,7a798e5b-be44-4e49-8f9b-f308e0f696a5,O-20210409-000100-001-140735689238800-19,BINANCE-1-19,T-c07b5ea0bf83f4c5-503177,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,58170.01000000,5.81700100 USDT,USDT,TAKER,1617926520000000000,1617926520000000000
19,85c19a77-d638-4043-a8ed-1557f110dcf2,O-20210419-000000-001-140735689238800-20,BINANCE-1-20,T-7d19d7b10f0e7d93-553735,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,56140.04000000,5.61400400 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
20,1b1c48b9-0ef3-4249-9e39-2743dbfecf78,O-20210419-000100-001-140735689238800-21,BINANCE-1-21,T-78190bb18f0ea15c-553739,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,56236.47000000,5.62364700 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
21,ad0b36fd-a920-4d4c-80b0-4bc308061a06,O-20210501-000000-001-140735689238800-22,BINANCE-1-22,T-24b312314ce74fbb-615041,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,57684.17000000,5.76841700 USDT,USDT,TAKER,1619827260000000000,1619827260000000000
22,0dec8a72-351d-4b24-a418-f68e9432fe68,O-20210501-000100-001-140735689238800-23,BINANCE-1-23,T-0d0beac82240ce6d-615046,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,57532.00000000,5.75320000 USDT,USDT,TAKER,1619827320000000000,1619827320000000000
23,f84495c8-648c-4d79-aa73-aec03a7329f8,O-20210505-000000-001-140735689238800-24,BINANCE-1-24,T-6029e125553f948f-635136,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,53263.31000000,5.32633100 USDT,USDT,TAKER,1620172860000000000,1620172860000000000
24,9f048df5-217b-4d88-8822-c4d750344fce,O-20210505-000100-001-140735689238800-25,BINANCE-1-25,T-752e1a1cbd80ae40-635140,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,53161.23000000,5.31612300 USDT,USDT,TAKER,1620172920000000000,1620172920000000000
25,0e0c977b-87f8-4277-b238-067772e5884c,O-20210506-000000-001-140735689238800-26,BINANCE-1-26,T-464dc58ac72819d1-640152,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,57497.78000000,5.74977800 USDT,USDT,TAKER,1620259260000000000,1620259260000000000
26,19874d8e-0f4b-45f2-aea1-9be98581624f,O-20210506-000100-001-140735689238800-27,BINANCE-1-27,T-18f3114db7278150-640157,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,57526.02000000,5.75260200 USDT,USDT,TAKER,1620259320000000000,1620259320000000000
27,b9739cd1-58de-4d27-8b02-85b11bfb268a,O-20210513-000000-001-140735689238800-28,BINANCE-1-28,T-74bd01b7a7b95623-675345,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,49595.75000000,4.95957500 USDT,USDT,TAKER,1620864060000000000,1620864060000000000
28,f9cb14ad-5233-49ea-b6f6-d9e06d501a1b,O-20210513-000100-001-140735689238800-29,BINANCE-1-29,T-a2963f90bfb0205c-675350,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,49355.91000000,4.93559100 USDT,USDT,TAKER,1620864120000000000,1620864120000000000
29,6c508d09-a05d-421a-946e-4d347bfb14a1,O-20210604-000000-001-140735689238800-30,BINANCE-1-30,T-0c91e73fcbcc0e5a-789158,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,39247.41000000,3.92474100 USDT,USDT,TAKER,1622764860000000000,1622764860000000000
30,b5200dec-d358-4522-9c4f-ce186547eb02,O-20210604-000100-001-140735689238800-31,BINANCE-1-31,T-ef886fa351c29a29-789162,BTCUSDT-PERP.BINANCE-DataActor-140735689238800,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,39195.25000000,3.91952500 USDT,USDT,TAKER,1622764920000000000,1622764920000000000
