adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,1.51744042 USDT,,funding_settlement:c1bb334f-61fb-4f5c-8d6d-2e3cbed25531,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,4.24588994 USDT,,funding_settlement:cdcb4eaa-b06c-4ffb-8d53-691c0c2e952f,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,2.74543485 USDT,,funding_settlement:45920966-9ae5-4784-ad78-76bc1be8e90d,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.93663042 USDT,,funding_settlement:65e63bd6-082f-435a-8c9f-3b6f785a49d9,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77764385 USDT,,funding_settlement:dfe81d68-8ff2-44c1-ad93-0cbeb9fd3285,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.09426287 USDT,,funding_settlement:768d3969-eae2-46ec-b376-89cec213f812,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.81351013 USDT,,funding_settlement:6fc0cc02-2a77-42db-9ff3-a0a032d74ed0,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.26698705 USDT,,funding_settlement:4a26c484-8feb-41ee-b859-f8ea1f9cd5e0,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.09510754 USDT,,funding_settlement:46761ee5-537e-4693-bcd8-8843a3fc7060,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.82110304 USDT,,funding_settlement:cd52c08f-626b-416d-a60e-13a18437d304,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.76730665 USDT,,funding_settlement:fe875fa0-2b66-4313-981d-e88f668d1c22,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33299897 USDT,,funding_settlement:d27060e1-dc96-46f3-9aad-a17211ef537d,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75107095 USDT,,funding_settlement:a4a31d84-6e3c-42f6-999e-7a2f795d0c7c,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.18563489 USDT,,funding_settlement:60ecd898-100a-4f88-8ac6-0310992bda84,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.10533138 USDT,,funding_settlement:8ce6c4cc-ae77-484f-a7e2-72bf564a6302,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.54376432 USDT,,funding_settlement:42655aed-4627-44b4-8433-f9c056fcbd29,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.03137372 USDT,,funding_settlement:f5334f8b-34ee-4823-84be-afe6f12bbfd1,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.30210795 USDT,,funding_settlement:6709e60c-5c71-4659-9d4d-d839b7a0a1d8,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.27530295 USDT,,funding_settlement:71f0d5dc-7a5e-48f3-8b57-ff5a3a802377,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.89903364 USDT,,funding_settlement:8aa09413-c8ee-40f2-8d69-b8ac6008f0ce,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.08623637 USDT,,funding_settlement:e8d9f18f-773b-4933-9f92-fef810e80526,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.88539955 USDT,,funding_settlement:7bf91a26-35ea-4fc6-aeff-592c2380bc51,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.55146111 USDT,,funding_settlement:3127eac9-b1bc-4bf4-806a-90d7aa0de7d2,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.78249731 USDT,,funding_settlement:8b3f102f-4946-4475-b6b7-f7756ebb5e38,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.18465407 USDT,,funding_settlement:67ed9998-caa4-4320-903e-b3d5fdf84774,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.98635241 USDT,,funding_settlement:a37575ae-a521-4716-b14b-efcb69a9bf16,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44298609 USDT,,funding_settlement:b3771781-18ac-4296-8b8a-e93ba4574307,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71822733 USDT,,funding_settlement:ff463293-a75f-458a-a531-e24c1877fc12,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.37095753 USDT,,funding_settlement:4dbda9cf-c411-42f0-a9f4-5b9dca9b421d,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.19019507 USDT,,funding_settlement:61d8c65a-4654-4f5a-a769-b35ec8296905,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.95388962 USDT,,funding_settlement:36feadc1-cb73-4514-b572-c07bdb460f39,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.96681448 USDT,,funding_settlement:bf400446-e4f2-4c39-8684-1596a0d23cad,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.63322262 USDT,,funding_settlement:4f1f5d5c-9652-4139-9d28-dfc3de95389a,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.66184388 USDT,,funding_settlement:54b51383-7de7-48df-9d17-c778aa47e2db,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.57935624 USDT,,funding_settlement:45b17ea8-4f1c-413d-82a1-fd6a197d5e74,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01610519 USDT,,funding_settlement:a47f5efe-42e1-4f77-8f1e-e29361ea66ac,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.13760738 USDT,,funding_settlement:433ac36f-3bfb-4747-a3e4-ef2acdef80ca,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.27184123 USDT,,funding_settlement:ca94a4eb-c48e-490f-8208-398f7bdee9b9,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.73651451 USDT,,funding_settlement:0a65183b-a1c3-4b6f-9672-b295ec2ef97f,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.92073772 USDT,,funding_settlement:466f3e56-1817-43dd-9d83-74c123ead80c,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.27004947 USDT,,funding_settlement:1b03b532-0be1-4095-8c7b-a9430b6bc6c9,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.77884983 USDT,,funding_settlement:3cdd2ceb-5377-49cb-82de-8188131358e6,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.08073645 USDT,,funding_settlement:e37749b8-319a-42f4-bc4d-f56316be804e,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.95391374 USDT,,funding_settlement:e37a0d7d-c8e5-47c1-bf90-0ea2d6902eb1,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.12231168 USDT,,funding_settlement:6c6a18d9-218f-4efd-865d-ce36aaaa7fb1,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.78187415 USDT,,funding_settlement:a34373de-b95b-42f0-a912-e2497b7f64a5,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.53524288 USDT,,funding_settlement:c4ec66c4-f5e2-4125-a8b2-26943be49dca,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.90268498 USDT,,funding_settlement:000c9efa-376f-4ed7-a619-c354ae6d6fb7,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.02598722 USDT,,funding_settlement:d90cc912-8b10-4b89-987f-816ffa996d17,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.50073894 USDT,,funding_settlement:3d9efe70-82db-44a9-af75-f68d823c0799,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.70968606 USDT,,funding_settlement:cb045da4-e66b-4d31-a119-c8d90878d87d,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.38083720 USDT,,funding_settlement:7832a8ba-3a1c-49aa-b0f2-bfe725041828,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.94656491 USDT,,funding_settlement:795f9449-bc33-42c6-8c20-3a91e536f003,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.75115222 USDT,,funding_settlement:01342b95-b087-4161-b413-0c8f067db97f,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.44071252 USDT,,funding_settlement:3e85539b-1f01-4cfd-8643-d78b54e3f1da,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.88615821 USDT,,funding_settlement:b69c763b-9caf-4f3c-98a6-8a62676e82ed,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.61362334 USDT,,funding_settlement:b1dea926-222f-48c4-adac-c0bcb9e1aab3,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.55949810 USDT,,funding_settlement:972b2646-8040-40fa-a5d3-bc1b8ef7b14c,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.22079248 USDT,,funding_settlement:64d77a6c-0847-4f06-a2a6-a8ee2bb56bd1,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.72680603 USDT,,funding_settlement:10f87eca-a297-4759-add5-49b17f3f1904,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.18577478 USDT,,funding_settlement:a4b9f40c-60b7-4407-8fd1-ab78bffcfcad,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.14945416 USDT,,funding_settlement:fd4cd018-0fc6-46d7-863f-d398ca68522f,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.34999580 USDT,,funding_settlement:b8cdf6fb-ef46-434e-87cc-6ec679a1ed11,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.47222653 USDT,,funding_settlement:685f0a21-2209-4f4b-837e-55c7f874f141,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.64568073 USDT,,funding_settlement:98e984f1-5a1e-4850-8d9f-5f5371e7823d,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.48934056 USDT,,funding_settlement:c41656ca-85f2-4651-a3ff-d3a83a75aea1,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59612746 USDT,,funding_settlement:1a13ab79-98df-4303-9dcc-808f140ff2bf,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.85892787 USDT,,funding_settlement:a7875e29-709c-4faa-83be-198295091275,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88008045 USDT,,funding_settlement:64ca1565-0aaa-42e0-9c75-a04376c6015c,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.91995152 USDT,,funding_settlement:475e5746-878b-43b0-9d4d-7253870ad81f,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.73214013 USDT,,funding_settlement:ff404d53-8e90-4a4b-9b00-eac2d429c508,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.47098269 USDT,,funding_settlement:9d9af6bd-b54f-43a2-8078-558a1f664953,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.44928034 USDT,,funding_settlement:f13d29a7-5efe-47c0-a196-5792c0735961,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,0.47613670 USDT,,funding_settlement:cc56a334-e502-4b59-ab46-c09ee0efd18f,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,1.39717567 USDT,,funding_settlement:70b01904-a815-40b7-98da-fa55571de640,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,2.10356548 USDT,,funding_settlement:f8041448-3d51-45b6-af91-13514d8c4eac,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.46740702 USDT,,funding_settlement:92aac9f0-72b8-4a11-9e47-8eaedb843afb,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.46117800 USDT,,funding_settlement:4c514aae-2ce9-4e18-98bb-7ef31642ab6b,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,0.44442570 USDT,,funding_settlement:c7030131-0fdc-4882-81c3-a251e9c911a2,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,1.63785060 USDT,,funding_settlement:c5f34f01-1a28-455a-aa4b-7a57e6985cf8,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.76467416 USDT,,funding_settlement:e4e1e46b-b533-4596-8ffd-fbed2e8a5a7f,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.46297450 USDT,,funding_settlement:afbed4c0-a35a-47f5-826b-2d9d777b9290,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,0.49176077 USDT,,funding_settlement:acad9881-cfc6-407e-81b1-8cfa4c261438,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,0.49580579 USDT,,funding_settlement:2fa66703-0d6a-45b4-a45d-26c622eac4ba,1614643200000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.48363390 USDT,,funding_settlement:01f2b1d8-ff2d-44a8-89da-263d10fff33c,1614672000000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.48683380 USDT,,funding_settlement:cf71a1d7-a8ab-4563-90e8-393246a89235,1614700800004000000
FUNDING,BTCUSDT-PERP.BINANCE,0.48443667 USDT,,funding_settlement:e5d9fef7-5d20-494c-90c7-2ece9d16a3d2,1614729600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.49745735 USDT,,funding_settlement:4e3d4cf0-6a33-4827-a095-487a1c888b5b,1614758400016000000
FUNDING,BTCUSDT-PERP.BINANCE,2.28880435 USDT,,funding_settlement:8d69ebdf-8f77-4fd3-9ff2-01bbc95809ba,1614787200000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.50370650 USDT,,funding_settlement:0887e917-db6d-461a-a315-e1448a74b866,1614816000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.49699826 USDT,,funding_settlement:d4f98ccd-fabb-46f6-bc9a-a71d874fb3f8,1614844800015000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.49441270 USDT,,funding_settlement:3b1ff7f3-b090-4679-b717-f4fdc6f67b7b,1614873600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.48371528 USDT,,funding_settlement:17dedcbf-0c0a-4224-a539-b48e0faf8e13,1614902400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.47432239 USDT,,funding_settlement:bc4f7543-4965-48a1-8642-3549b560eb54,1614931200002000000
FUNDING,BTCUSDT-PERP.BINANCE,0.47904070 USDT,,funding_settlement:841fa5f2-0803-4418-85b5-9ba7825d7065,1614960000008000000
FUNDING,BTCUSDT-PERP.BINANCE,0.48774960 USDT,,funding_settlement:139516cc-2411-4184-b2fc-ebf9dd5c665d,1614988800000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.48841490 USDT,,funding_settlement:84c6d910-66dc-4879-9968-eb4adcbca2f3,1615017600000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.47267195 USDT,,funding_settlement:7566bf10-a043-4e11-868d-72c11327f92c,1615046400000000000
FUNDING,BTCUSDT-PERP.BINANCE,0.48873550 USDT,,funding_settlement:fdfe4c12-23cd-41b6-b6cf-5576f6915791,1615075200006000000
FUNDING,BTCUSDT-PERP.BINANCE,0.50076532 USDT,,funding_settlement:1c481740-aff9-4a2b-9289-d5a072fad53e,1615104000005000000
FUNDING,BTCUSDT-PERP.BINANCE,0.89064247 USDT,,funding_settlement:84d683db-3d96-4ff4-93c2-19fa02fa9e61,1615132800008000000
