fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,e2556f83-a227-448e-9633-569d38f0a21b,O-20210203-000000-001-140720794723840-1,BINANCE-1-1,T-5987e40c0fec23ca-168815,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35481.78,3.54817800 USDT,USDT,TAKER,1612310460000000000,1612310460000000000
1,4200cabd-2bbc-404e-ae53-86efc42b74c7,O-20210226-000000-001-140720794723840-2,BINANCE-1-2,T-3eb79e284fb134e6-285615,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,46914.07,4.69140700 USDT,USDT,TAKER,1614297660000000000,1614297660000000000
2,26066c38-09a5-4cdd-b1a3-9678dd63d7b5,O-20210304-000000-001-140720794723840-3,BINANCE-1-3,T-461bc445bc14828c-316598,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50112.68,5.01126800 USDT,USDT,TAKER,1614816060000000000,1614816060000000000
3,a3229f4a-74cf-4d25-a31a-f42591794868,O-20210305-000000-001-140720794723840-4,BINANCE-1-4,T-fde6042030eef3ee-321694,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,48341.23,4.83412300 USDT,USDT,TAKER,1614902460000000000,1614902460000000000
4,6e5a53ea-4cfd-4ab1-a597-e88691e11094,O-20210308-000000-001-140720794723840-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50865.54,5.08655400 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,7f2bbb61-6984-423f-aa06-d6762373f515,O-20210323-000000-001-140720794723840-6,BINANCE-1-6,T-eb4e7562ec9c5294-411986,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,54202.71,5.42027100 USDT,USDT,TAKER,1616457660000000000,1616457660000000000
6,5d299f65-e394-452c-8914-0113db609c41,O-20210330-000000-001-140720794723840-7,BINANCE-1-7,T-10e54d611db200b2-446890,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57638.16,5.76381600 USDT,USDT,TAKER,1617062460000000000,1617062460000000000
7,04c7f3bd-91dd-4e75-8192-82e3d98b8be9,O-20210408-000000-001-140720794723840-8,BINANCE-1-8,T-ffe92bb306950130-491088,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,55950.00,5.59500000 USDT,USDT,TAKER,1617840060000000000,1617840060000000000
8,bb56a771-6283-494f-9fbc-5ac39885c12f,O-20210409-000000-001-140720794723840-9,BINANCE-1-9,T-2ef28b5046567a5a-496009,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,58116.80,5.81168000 USDT,USDT,TAKER,1617926460000000000,1617926460000000000
9,5fa2cb86-6258-41fc-8282-6cf4d5b777d6,O-20210419-000000-001-140720794723840-10,BINANCE-1-10,T-7d19d7b10f0e7d93-544940,BTCUSDT.BINANCE-DataActor-140720794723840,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,56234.79,5.62347900 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
