client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210203-000000-001-140720794723840-1,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1612310400000000000,1612310460000000000
O-20210226-000000-001-140720794723840-2,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1614297600000000000,1614297660000000000
O-20210304-000000-001-140720794723840-3,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1614816000000000000,1614816060000000000
O-20210305-000000-001-140720794723840-4,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1614902400000000000,1614902460000000000
O-20210308-000000-001-140720794723840-5,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1615161600000000000,1615161660000000000
O-20210323-000000-001-140720794723840-6,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1616457600000000000,1616457660000000000
O-20210330-000000-001-140720794723840-7,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1617062400000000000,1617062460000000000
O-20210408-000000-001-140720794723840-8,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1617840000000000000,1617840060000000000
O-20210409-000000-001-140720794723840-9,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1617926400000000000,1617926460000000000
O-20210419-000000-001-140720794723840-10,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1618790400000000000,1618790460000000000
O-20210501-000000-001-140720794723840-11,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1619827200000000000,1619827260000000000
O-20210505-000000-001-140720794723840-12,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1620172800000000000,1620172860000000000
O-20210506-000000-001-140720794723840-13,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1620259200000000000,1620259260000000000
O-20210513-000000-001-140720794723840-14,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1620864000000000000,1620864060000000000
O-20210604-000000-001-140720794723840-15,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1622764800000000000,1622764860000000000
O-20210605-000000-001-140720794723840-16,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1622851200000000000,1622851260000000000
O-20210610-000000-001-140720794723840-17,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1623283200000000000,1623283260000000000
O-20210613-000000-001-140720794723840-18,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1623542400000000000,1623542460000000000
O-20210614-000000-001-140720794723840-19,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1623628800000000000,1623628860000000000
O-20210619-000000-001-140720794723840-20,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1624060800000000000,1624060860000000000
O-20210630-000000-001-140720794723840-21,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1625011200000000000,1625011260000000000
O-20210701-000000-001-140720794723840-22,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1625097600000000000,1625097660000000000
O-20210705-000000-001-140720794723840-23,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1625443200000000000,1625443260000000000
O-20210706-000000-001-140720794723840-24,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1625529600000000000,1625529660000000000
O-20210712-000000-001-140720794723840-25,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1626048000000000000,1626048060000000000
O-20210713-000000-001-140720794723840-26,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1626134400000000000,1626134460000000000
O-20210724-000000-001-140720794723840-27,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.100000,0.100000,0.000000,FILLED,1627084800000000000,1627084860000000000
