event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612310460000000000,BINANCE-001,CASH,USDT,6448.27382200,0.00000000,6448.27382200,False
1,1612310460000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
2,1614297660000000000,BINANCE-001,CASH,USDT,11134.98941500,0.00000000,11134.98941500,False
2,1614297660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
3,1614816060000000000,BINANCE-001,CASH,USDT,6118.71014700,0.00000000,6118.71014700,False
3,1614816060000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
4,1614902460000000000,BINANCE-001,CASH,USDT,10947.99902400,0.00000000,10947.99902400,False
4,1614902460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
5,1615161660000000000,BINANCE-001,CASH,USDT,5856.35847000,0.00000000,5856.35847000,False
5,1615161660000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
6,1616457660000000000,BINANCE-001,CASH,USDT,11271.20919900,0.00000000,11271.20919900,False
6,1616457660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
7,1617062460000000000,BINANCE-001,CASH,USDT,5501.62938300,0.00000000,5501.62938300,False
7,1617062460000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
8,1617840060000000000,BINANCE-001,CASH,USDT,11091.03438300,0.00000000,11091.03438300,False
8,1617840060000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
9,1617926460000000000,BINANCE-001,CASH,USDT,5273.54270300,0.00000000,5273.54270300,False
9,1617926460000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
10,1618790460000000000,BINANCE-001,CASH,USDT,10891.39822400,0.00000000,10891.39822400,False
10,1618790460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
11,1619827260000000000,BINANCE-001,CASH,USDT,5131.13671700,0.00000000,5131.13671700,False
11,1619827260000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
12,1620172860000000000,BINANCE-001,CASH,USDT,10436.48605700,0.00000000,10436.48605700,False
12,1620172860000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
13,1620259260000000000,BINANCE-001,CASH,USDT,4686.19050600,0.00000000,4686.19050600,False
13,1620259260000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
14,1620864060000000000,BINANCE-001,CASH,USDT,9617.38937100,0.00000000,9617.38937100,False
14,1620864060000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
15,1622764860000000000,BINANCE-001,CASH,USDT,5692.81171400,0.00000000,5692.81171400,False
15,1622764860000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
16,1622851260000000000,BINANCE-001,CASH,USDT,9375.75508400,0.00000000,9375.75508400,False
16,1622851260000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
17,1623283260000000000,BINANCE-001,CASH,USDT,5635.93700200,0.00000000,5635.93700200,False
17,1623283260000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
18,1623542460000000000,BINANCE-001,CASH,USDT,9192.03234700,0.00000000,9192.03234700,False
18,1623542460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
19,1623628860000000000,BINANCE-001,CASH,USDT,5275.34357100,0.00000000,5275.34357100,False
19,1623628860000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
20,1624060860000000000,BINANCE-001,CASH,USDT,8847.76657200,0.00000000,8847.76657200,False
20,1624060860000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
21,1625011260000000000,BINANCE-001,CASH,USDT,5251.76916700,0.00000000,5251.76916700,False
21,1625011260000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
22,1625097660000000000,BINANCE-001,CASH,USDT,8746.31712100,0.00000000,8746.31712100,False
22,1625097660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
23,1625443260000000000,BINANCE-001,CASH,USDT,5231.55987500,0.00000000,5231.55987500,False
23,1625443260000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
24,1625529660000000000,BINANCE-001,CASH,USDT,8594.67839000,0.00000000,8594.67839000,False
24,1625529660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
25,1626048060000000000,BINANCE-001,CASH,USDT,5168.18932400,0.00000000,5168.18932400,False
25,1626048060000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
26,1626134460000000000,BINANCE-001,CASH,USDT,8473.90629800,0.00000000,8473.90629800,False
26,1626134460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
27,1627084860000000000,BINANCE-001,CASH,USDT,5102.02979000,0.00000000,5102.02979000,False
27,1627084860000000000,BINANCE-001,CASH,BTC,0.10000000,0.00000000,0.10000000,False
