fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,d7a6fa73-dca1-42d4-889c-f5fc0837c07e,O-20210203-000000-001-140727187314480-1,BINANCE-1-1,T-5987e40c0fec23ca-168815,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35481.78,3.54817800 USDT,USDT,TAKER,1612310460000000000,1612310460000000000
1,b94277c8-cd3d-4beb-9f0a-0ae0eb1128a9,O-20210226-000000-001-140727187314480-2,BINANCE-1-2,T-3eb79e284fb134e6-285615,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,46914.07,4.69140700 USDT,USDT,TAKER,1614297660000000000,1614297660000000000
2,5acb37c2-e118-479a-bb1f-23273d5635df,O-20210304-000000-001-140727187314480-3,BINANCE-1-3,T-461bc445bc14828c-316598,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50112.68,5.01126800 USDT,USDT,TAKER,1614816060000000000,1614816060000000000
3,6b366d97-b587-48cf-a258-dc74ab8cbe5e,O-20210305-000000-001-140727187314480-4,BINANCE-1-4,T-fde6042030eef3ee-321694,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,48341.23,4.83412300 USDT,USDT,TAKER,1614902460000000000,1614902460000000000
4,6db29705-c2de-414d-9ba9-7c7812243c34,O-20210308-000000-001-140727187314480-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50865.54,5.08655400 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,d3034ce3-1f08-4437-a517-4a494fcf1287,O-20210323-000000-001-140727187314480-6,BINANCE-1-6,T-eb4e7562ec9c5294-411986,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,54202.71,5.42027100 USDT,USDT,TAKER,1616457660000000000,1616457660000000000
6,2e6c54ee-8bd6-4927-b00f-d1e9593a1d81,O-20210330-000000-001-140727187314480-7,BINANCE-1-7,T-10e54d611db200b2-446890,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57638.16,5.76381600 USDT,USDT,TAKER,1617062460000000000,1617062460000000000
7,a7e2e6d5-95db-445f-9958-68cc6aa302df,O-20210408-000000-001-140727187314480-8,BINANCE-1-8,T-ffe92bb306950130-491088,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,55950.00,5.59500000 USDT,USDT,TAKER,1617840060000000000,1617840060000000000
8,c7f7638f-33c6-44ea-9ba8-0521e290ea4b,O-20210409-000000-001-140727187314480-9,BINANCE-1-9,T-2ef28b5046567a5a-496009,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,58116.80,5.81168000 USDT,USDT,TAKER,1617926460000000000,1617926460000000000
9,14090452-be88-419d-8684-dac63c6c2ebf,O-20210419-000000-001-140727187314480-10,BINANCE-1-10,T-7d19d7b10f0e7d93-544940,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,56234.79,5.62347900 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
10,bf4fa758-0ef4-4664-ade7-770b2779d188,O-20210501-000000-001-140727187314480-11,BINANCE-1-11,T-24b312314ce74fbb-602639,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57545.07,5.75450700 USDT,USDT,TAKER,1619827260000000000,1619827260000000000
11,1d55fd08-994f-499f-8915-429a214dd53d,O-20210505-000000-001-140727187314480-12,BINANCE-1-12,T-6029e125553f948f-622154,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,53106.60,5.31066000 USDT,USDT,TAKER,1620172860000000000,1620172860000000000
12,01c35262-3d74-47d3-8e68-367cc9674045,O-20210506-000000-001-140727187314480-13,BINANCE-1-13,T-464dc58ac72819d1-627070,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57445.51,5.74455100 USDT,USDT,TAKER,1620259260000000000,1620259260000000000
13,b5c10ed1-bed0-4589-a4bb-86a5d40e088b,O-20210513-000000-001-140727187314480-14,BINANCE-1-14,T-74bd01b7a7b95623-661814,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,49361.35,4.93613500 USDT,USDT,TAKER,1620864060000000000,1620864060000000000
14,785d672a-a7b1-4824-8046-63aed0df655f,O-20210604-000000-001-140727187314480-15,BINANCE-1-15,T-0c91e73fcbcc0e5a-775395,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,39206.57,3.92065700 USDT,USDT,TAKER,1622764860000000000,1622764860000000000
15,69d3cc90-aa8c-4c48-af60-c5f6db2a05df,O-20210605-000000-001-140727187314480-16,BINANCE-1-16,T-8ae6ce7cac635a4b-780457,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,36866.30,3.68663000 USDT,USDT,TAKER,1622851260000000000,1622851260000000000
16,c9e8b29d-5622-405a-8253-f77c7267ed88,O-20210610-000000-001-140727187314480-17,BINANCE-1-17,T-17f9f509a17c5e7b-805831,BTCUSDT.BINANCE-DataActor-140727187314480,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,37360.82,3.73608200 USDT,USDT,TAKER,1623283260000000000,1623283260000000000
