client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210203-000000-001-140724411335728-1,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612310400000000000,1612310460000000000
O-20210204-000000-001-140724411335728-2,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612396800000000000,1612396860000000000
O-20210205-000000-001-140724411335728-3,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612483200000000000,1612483260000000000
O-20210206-000000-001-140724411335728-4,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612569600000000000,1612569660000000000
O-20210207-000000-001-140724411335728-5,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612656000000000000,1612656060000000000
O-20210208-000000-001-140724411335728-6,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612742400000000000,1612742460000000000
O-20210209-000000-001-140724411335728-7,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612828800000000000,1612828860000000000
O-20210210-000000-001-140724411335728-8,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1612915200000000000,1612915260000000000
O-20210211-000000-001-140724411335728-9,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613001600000000000,1613001660000000000
O-20210212-000000-001-140724411335728-10,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613088000000000000,1613088060000000000
O-20210213-000000-001-140724411335728-11,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613174400000000000,1613174460000000000
O-20210214-000000-001-140724411335728-12,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613260800000000000,1613260860000000000
O-20210215-000000-001-140724411335728-13,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613347200000000000,1613347260000000000
O-20210216-000000-001-140724411335728-14,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613433600000000000,1613433660000000000
O-20210217-000000-001-140724411335728-15,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613520000000000000,1613520060000000000
O-20210218-000000-001-140724411335728-16,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613606400000000000,1613606460000000000
O-20210219-000000-001-140724411335728-17,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613692800000000000,1613692860000000000
O-20210220-000000-001-140724411335728-18,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613779200000000000,1613779260000000000
O-20210221-000000-001-140724411335728-19,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613865600000000000,1613865660000000000
O-20210222-000000-001-140724411335728-20,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1613952000000000000,1613952060000000000
O-20210223-000000-001-140724411335728-21,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1614038400000000000,1614038460000000000
O-20210224-000000-001-140724411335728-22,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1614124800000000000,1614124860000000000
O-20210225-000000-001-140724411335728-23,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1614211200000000000,1614211260000000000
O-20210304-000000-001-140724411335728-24,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1614816000000000000,1614816060000000000
O-20210308-000000-001-140724411335728-25,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615161600000000000,1615161660000000000
O-20210309-000000-001-140724411335728-26,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615248000000000000,1615248060000000000
O-20210310-000000-001-140724411335728-27,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615334400000000000,1615334460000000000
O-20210311-000000-001-140724411335728-28,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615420800000000000,1615420860000000000
O-20210312-000000-001-140724411335728-29,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615507200000000000,1615507260000000000
O-20210313-000000-001-140724411335728-30,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615593600000000000,1615593660000000000
O-20210314-000000-001-140724411335728-31,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615680000000000000,1615680060000000000
O-20210315-000000-001-140724411335728-32,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615766400000000000,1615766460000000000
O-20210316-000000-001-140724411335728-33,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615852800000000000,1615852860000000000
O-20210317-000000-001-140724411335728-34,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1615939200000000000,1615939260000000000
O-20210318-000000-001-140724411335728-35,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1616025600000000000,1616025660000000000
O-20210319-000000-001-140724411335728-36,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1616112000000000000,1616112060000000000
O-20210320-000000-001-140724411335728-37,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.10000,0.00000,0.10000,REJECTED,1616198400000000000,1616198460000000000
