fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,8c69e949-6299-47ec-8f18-7a258eb6fdd5,O-20210201-000000-001-140726541808768-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.301,33126.22000000,9.97099222 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,6b0457cb-0460-4d59-8401-08ace01b4d3a,O-20210208-000000-001-140726541808768-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,241735cc-6461-4b3a-8f45-da0c7c2e19e3,O-20210215-000000-001-140726541808768-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,48655.20000000,0.38924160 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,e8b12eaf-b872-4a54-87c0-57cf598494c9,O-20210222-000000-001-140726541808768-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,57487.42000000,0.34492452 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,0b9142fc-0a57-4fc6-8462-eeddcea52c31,O-20210301-000000-001-140726541808768-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,94b24c35-126f-4f2a-a3fc-f7e19497d76c,O-20210308-000000-001-140726541808768-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,c2d717c5-2913-4f46-89d5-0364c8ced4bb,O-20210315-000000-001-140726541808768-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,59037.11000000,0.23614844 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,f134f83d-2745-4b5f-b2e3-af37b9f64298,O-20210322-000000-001-140726541808768-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.276,57415.17000000,15.84658692 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,5b94ba3c-6f2d-4ff0-874e-954c276b9eeb,O-20210322-000100-001-140726541808768-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.274,57449.36000000,15.74112464 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,5f8f44ee-6414-4f22-a996-d70aa986225c,O-20210329-000000-001-140726541808768-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.274,55805.09000000,15.29059466 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,60fb0f96-9540-4af0-9f74-acbf298bcb15,O-20210329-000100-001-140726541808768-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.291,55857.04000000,16.25439864 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,d382eed7-098a-430d-b75c-fe43b98e9fa4,O-20210405-000000-001-140726541808768-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,58234.60000000,0.29117300 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,30771d15-7986-4ab8-ba09-be4db81dbb47,O-20210412-000000-001-140726541808768-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140726541808768,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,60090.19000000,0.24036076 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
