fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,a715d619-05bc-4377-a345-e7245b833fa7,O-20210201-000000-001-140723955059296-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.058,33126.22000000,1.92132076 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,f878c1a6-f3da-41c8-ae5d-e6acc2ec9f7e,O-20210208-000000-001-140723955059296-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,8d410e4e-2c93-4b7b-9600-c03928d88d07,O-20210215-000000-001-140723955059296-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,48655.20000000,0.63251760 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,719bada1-eece-49e1-bd98-3005972a8e75,O-20210222-000000-001-140723955059296-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,5076bf44-323b-4793-9a0d-95c09589bb60,O-20210301-000000-001-140723955059296-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,45163.37000000,0.22581685 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,3afecc24-8c29-4266-bd09-cee66106af84,O-20210308-000000-001-140723955059296-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,50995.26000000,0.30597156 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,07abdcd1-b24b-49d7-a3fa-9a78c9d47a7d,O-20210315-000000-001-140723955059296-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,59037.13000000,0.23614852 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,ed4003cb-eabe-4f83-b487-8d044c03a9d3,O-20210322-000000-001-140723955059296-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.045,57415.17000000,2.58368265 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,8d9f7b8b-f6c2-490b-8a9d-eb829c0bcf80,O-20210322-000100-001-140723955059296-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.048,57449.36000000,2.75756928 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,fbe948e2-02c4-42b0-83fb-b9114f43fd45,O-20210329-000000-001-140723955059296-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,55805.09000000,2.67864432 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,c0101e58-b392-4f36-8ac2-9dbc6ae2bebd,O-20210329-000100-001-140723955059296-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.055,55857.04000000,3.07213720 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,2ab40ea1-0bfb-4519-a22e-01c74f661110,O-20210405-000000-001-140723955059296-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140723955059296,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
