event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612137660000000000,BINANCE-001,CASH,USDT,16.67452872,0.00000000,16.67452872,False
1,1612137660000000000,BINANCE-001,CASH,BTC,0.30187600,0.00000000,0.30187600,False
2,1616371260000000000,BINANCE-001,CASH,USDT,17322.85244470,0.00000000,17322.85244470,False
2,1616371260000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
3,1616976060000000000,BINANCE-001,CASH,USDT,17322.85244470,0.00000000,17322.85244470,False
3,1616976060000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
4,1617580860000000000,BINANCE-001,CASH,USDT,3.90395286,0.00000000,3.90395286,False
4,1617580860000000000,BINANCE-001,CASH,BTC,0.29702500,0.00000000,0.29702500,False
5,1618185660000000000,BINANCE-001,CASH,USDT,36.47806073,0.00000000,36.47806073,False
5,1618185660000000000,BINANCE-001,CASH,BTC,0.29648300,0.00000000,0.29648300,False
6,1618790460000000000,BINANCE-001,CASH,USDT,36.47806073,0.00000000,36.47806073,False
6,1618790460000000000,BINANCE-001,CASH,BTC,0.29648300,0.00000000,0.29648300,False
7,1624233660000000000,BINANCE-001,CASH,USDT,0.04686551,0.00000000,0.04686551,False
7,1624233660000000000,BINANCE-001,CASH,BTC,0.29750600,0.00000000,0.29750600,False
8,1624838460000000000,BINANCE-001,CASH,USDT,35.38617610,0.00000000,35.38617610,False
8,1624838460000000000,BINANCE-001,CASH,BTC,0.29648300,0.00000000,0.29648300,False
9,1627257660000000000,BINANCE-001,CASH,USDT,0.06022143,0.00000000,0.06022143,False
9,1627257660000000000,BINANCE-001,CASH,BTC,0.29748200,0.00000000,0.29748200,False
