row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627257660000000000,BTCUSDT.BINANCE,LONG,0.000999,0.000999,35325.990000000005,-0.03529066 USDT
PositionOpened,0,1612137660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.301876,0.301876,,
PositionClosed,1,1616371260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,2,1616976060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.310259,0.310259,,
PositionChanged,3,1617580860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.607284,0.607284,,
PositionChanged,4,1618185660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.606742,0.606742,,
PositionClosed,5,1618790460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,6,1624233660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.001023,0.001023,,
PositionClosed,7,1624838460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,8,1627257660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.000999,0.000999,,
