event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612137660000000000,BINANCE-001,CASH,USDT,8073.58421329,0.00000000,8073.58421329,False
1,1612137660000000000,BINANCE-001,CASH,BTC,0.05825100,0.00000000,0.05825100,False
2,1612742460000000000,BINANCE-001,CASH,USDT,8206.36266086,0.00000000,8206.36266086,False
2,1612742460000000000,BINANCE-001,CASH,BTC,0.05482800,0.00000000,0.05482800,False
3,1613347260000000000,BINANCE-001,CASH,USDT,8812.17968840,0.00000000,8812.17968840,False
3,1613347260000000000,BINANCE-001,CASH,BTC,0.04235700,0.00000000,0.04235700,False
4,1613952060000000000,BINANCE-001,CASH,USDT,8766.85391062,0.00000000,8766.85391062,False
4,1613952060000000000,BINANCE-001,CASH,BTC,0.04314500,0.00000000,0.04314500,False
5,1614556860000000000,BINANCE-001,CASH,USDT,8532.34999898,0.00000000,8532.34999898,False
5,1614556860000000000,BINANCE-001,CASH,BTC,0.04832100,0.00000000,0.04832100,False
6,1615161660000000000,BINANCE-001,CASH,USDT,8842.06531804,0.00000000,8842.06531804,False
6,1615161660000000000,BINANCE-001,CASH,BTC,0.04222600,0.00000000,0.04222600,False
7,1615766460000000000,BINANCE-001,CASH,USDT,8599.64896098,0.00000000,8599.64896098,False
7,1615766460000000000,BINANCE-001,CASH,BTC,0.04631400,0.00000000,0.04631400,False
8,1616371260000000000,BINANCE-001,CASH,USDT,11254.77332993,0.00000000,11254.77332993,False
8,1616371260000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
9,1616976060000000000,BINANCE-001,CASH,USDT,8109.26422920,0.00000000,8109.26422920,False
9,1616976060000000000,BINANCE-001,CASH,BTC,0.05629000,0.00000000,0.05629000,False
10,1617580860000000000,BINANCE-001,CASH,USDT,7680.81667927,0.00000000,7680.81667927,False
10,1617580860000000000,BINANCE-001,CASH,BTC,0.06363800,0.00000000,0.06363800,False
11,1618185660000000000,BINANCE-001,CASH,USDT,7329.13088641,0.00000000,7329.13088641,False
11,1618185660000000000,BINANCE-001,CASH,BTC,0.06947800,0.00000000,0.06947800,False
12,1618790460000000000,BINANCE-001,CASH,USDT,11232.30454529,0.00000000,11232.30454529,False
12,1618790460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
13,1624233660000000000,BINANCE-001,CASH,USDT,8847.39671272,0.00000000,8847.39671272,False
13,1624233660000000000,BINANCE-001,CASH,BTC,0.06696900,0.00000000,0.06696900,False
14,1624838460000000000,BINANCE-001,CASH,USDT,11160.82612740,0.00000000,11160.82612740,False
14,1624838460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
15,1627257660000000000,BINANCE-001,CASH,USDT,7135.78897352,0.00000000,7135.78897352,False
15,1627257660000000000,BINANCE-001,CASH,BTC,0.11382600,0.00000000,0.11382600,False
