fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,6f0e3161-e197-48b5-a0d9-96f6ad59c701,O-20210201-000000-001-140737346387648-1,BINANCE-1-1,T-0047a8d2dd768bb1-158616,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.058251,33037.91,1.92449130 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,8f181c28-1d5c-412a-9cb8-cfe613c2875e,O-20210208-000000-001-140737346387648-2,BINANCE-1-2,T-d1eb59afcb639be1-194432,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.003423,38828.91,0.13291136 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,7bed501e-47dd-4eeb-9cfa-36a1e5026d14,O-20210215-000000-001-140737346387648-3,BINANCE-1-3,T-c548b13be1158784-229448,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012471,48626.69,0.60642345 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,33ae8a56-50be-4c2a-8fda-c3bb17a88bff,O-20210222-000000-001-140737346387648-4,BINANCE-1-4,T-54ab2240262a4a50-264746,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000788,57462.56,0.04528050 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,93a264f1-349f-4bb3-b4bc-93a2d62ac1d6,O-20210301-000000-001-140737346387648-5,BINANCE-1-5,T-ac281f247fd7fda3-301336,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005176,45260.75,0.23426964 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,2f2c45f9-2dc3-45a7-8377-13419569951f,O-20210308-000000-001-140737346387648-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-336566,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.006095,50865.52,0.31002534 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,377170a9-ab61-4257-b598-b77d7a4a7f31,O-20210315-000000-001-140737346387648-7,BINANCE-1-7,T-e4039ae4ef85d929-371896,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004088,59240.26,0.24217418 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,2a6e821f-fa38-4ab4-868f-5d295ca70ebc,O-20210322-000000-001-140737346387648-8,BINANCE-1-8,T-e88f57f1af27578f-406908,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.046314,57386.15,2.65778215 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,e1298c82-fb53-46f9-ac93-0352834e7abf,O-20210329-000000-001-140737346387648-9,BINANCE-1-9,T-3082ee7b3f2bdc71-441988,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.056290,55824.60,3.14236673 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,a590a4af-5114-4be9-87b4-ef2691188965,O-20210405-000000-001-140737346387648-10,BINANCE-1-10,T-7bab3a5fc888d8ab-476349,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007348,58249.80,0.42801953 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
10,45707e34-7ecc-45f1-a2c6-30d23edd986b,O-20210412-000000-001-140737346387648-11,BINANCE-1-11,T-8306f8f8f7e67219-510507,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005840,60160.01,0.35133446 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
11,73e535b2-54d2-4474-be33-1345b460eacf,O-20210419-000000-001-140737346387648-12,BINANCE-1-12,T-7d19d7b10f0e7d93-544942,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.069478,56234.79,3.90708074 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
12,4366aabc-838a-4a35-bd69-f14efd2b2f3b,O-20210621-000000-001-140737346387648-13,BINANCE-1-13,T-5b933fac1eb5fddd-861011,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.066969,35576.54,2.38252531 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
13,d4335eae-d76e-4219-a4d8-3dac625dff72,O-20210628-000000-001-140737346387648-14,BINANCE-1-14,T-102ebecf4ba529a3-896935,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.066969,34579.36,2.31574516 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
14,63d53c2a-c721-4536-a6dc-f8c17426205c,O-20210726-000000-001-140737346387648-15,BINANCE-1-15,T-396cf8ddf89be646-1035714,BTCUSDT.BINANCE-DataActor-140737346387648,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.113826,35325.99,4.02101614 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
