fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,dba9ab96-a18c-4f36-9c54-4641e29c2313,O-20210208-000000-001-140735454741920-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,168e621b-e0d6-4a0e-ab0d-731e79d90af7,O-20210215-000000-001-140735454741920-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,1a2b92f4-9ffe-4443-948e-e0ecc494724d,O-20210222-000000-001-140735454741920-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,c84d3310-c806-4404-8898-c398a497645d,O-20210301-000000-001-140735454741920-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,2eaaf258-242b-4321-a808-83b04d6f1471,O-20210308-000000-001-140735454741920-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,e4550740-c80f-4547-9872-e5370c31c33e,O-20210315-000000-001-140735454741920-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,0e43369b-67e0-4d92-bbd3-62b517429b07,O-20210322-000000-001-140735454741920-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,37f6a59e-1e7d-437d-afa2-8b25a53a2e27,O-20210322-000100-001-140735454741920-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,f510004d-ef7f-405d-aae6-00aa4b20f0ae,O-20210329-000000-001-140735454741920-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,93d07ac6-6cf6-440c-b510-71631cd6c7ec,O-20210329-000100-001-140735454741920-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,ed36970e-6ddb-41b0-b6de-b1235c2152db,O-20210405-000000-001-140735454741920-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,58234.60000000,0.23293840 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,8b8c5018-819b-4d5c-b34d-f3b81dbcd136,O-20210412-000000-001-140735454741920-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,60090.19000000,0.18027057 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,05a52499-406d-40ad-b75b-3fd9c9dde6a6,O-20210419-000000-001-140735454741920-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.244,56140.04000000,13.69816976 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
13,892fcb3f-a081-4be5-86c8-33642414812e,O-20210419-000100-001-140735454741920-14,BINANCE-1-14,T-78190bb18f0ea15c-553732,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,56236.47000000,13.44051633 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
14,cd036a49-5042-4d95-adb5-29c7ca61aace,O-20210426-000000-001-140735454741920-15,BINANCE-1-15,T-06eea41d47eb061b-589625,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.070,49063.93000000,3.43447510 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
15,39c39523-e38f-43f0-a16a-c6228bc66ad4,O-20210503-000000-001-140735454741920-16,BINANCE-1-16,T-a2573f3f94e11b73-625049,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.082,56630.34000000,4.64368788 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
16,9f45eabe-d89d-45e0-89d9-bcfaf5e0c9f5,O-20210510-000000-001-140735454741920-17,BINANCE-1-17,T-ce24f27a7af93303-660195,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.010,58292.54000000,0.58292540 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
17,653806bd-8beb-4818-b17c-9052720d598f,O-20210517-000000-001-140735454741920-18,BINANCE-1-18,T-2213e5468ee6d2cb-695778,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.112,46429.27000000,5.20007824 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
18,078a229e-851f-4901-9b1b-b070cce21fb9,O-20210524-000000-001-140735454741920-19,BINANCE-1-19,T-c3d455e8b7c4a20b-732402,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.225,34651.59000000,7.79660775 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
19,ebd2c3f5-ae82-4714-a42a-705210483bc8,O-20210531-000000-001-140735454741920-20,BINANCE-1-20,T-e3cf944dd53a0b20-768686,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.031,35651.82000000,1.10520642 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
20,3f838f17-9a14-4c30-bf0f-d8873938785a,O-20210607-000000-001-140735454741920-21,BINANCE-1-21,T-0d30a68c30e2e9b1-804450,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35801.72000000,0.10740516 USDT,USDT,TAKER,1623024060000000000,1623024060000000000
21,5dab5e08-ed96-44c8-a3fd-6f6e43308695,O-20210614-000000-001-140735454741920-22,BINANCE-1-22,T-c198ee754c308f13-840021,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.085,38993.66000000,3.31446110 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
22,fd632872-803c-45b0-b982-8fe55c88e4f3,O-20210621-000000-001-140735454741920-23,BINANCE-1-23,T-5b933fac1eb5fddd-875277,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.435,35588.65000000,15.48106275 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
23,3a1484d0-5537-4b0f-bda1-cd22d720cea1,O-20210621-000100-001-140735454741920-24,BINANCE-1-24,T-8f8807bfe4e1d4b8-875282,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.519,35570.49000000,18.46108431 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
24,7bb88eda-d3ac-4237-91eb-f0e2e8987649,O-20210628-000000-001-140735454741920-25,BINANCE-1-25,T-102ebecf4ba529a3-910953,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.519,34687.70000000,18.00291630 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
25,c23d5a9b-54c9-405b-8156-0e59f9cdfdf8,O-20210628-000100-001-140735454741920-26,BINANCE-1-26,T-4808b99cf0348c4d-910957,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.519,34572.76000000,17.94326244 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
26,09042b35-341c-4023-9c40-7564471d3993,O-20210705-000000-001-140735454741920-27,BINANCE-1-27,T-7e947ef2b4da6a48-946146,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.019,35280.17000000,0.67032323 USDT,USDT,TAKER,1625443260000000000,1625443260000000000
27,d64f9254-504c-4385-bdaa-4e550a215709,O-20210712-000000-001-140735454741920-28,BINANCE-1-28,T-05e2f749c6e30f6f-981120,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.029,34253.80000000,0.99336020 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
28,d1ecfcd1-cf57-4e44-a024-ad3c64cea61d,O-20210719-000000-001-140735454741920-29,BINANCE-1-29,T-708cdeea6d5089b6-1015760,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.084,31766.99000000,2.66842716 USDT,USDT,TAKER,1626652860000000000,1626652860000000000
29,8150a0be-6910-4fcf-b26d-8bea8a75d19c,O-20210726-000000-001-140735454741920-30,BINANCE-1-30,T-396cf8ddf89be646-1050485,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.613,35370.67000000,21.68222071 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
30,7cbf18d4-4ee4-4295-aa58-791bf78b775a,O-20210726-000100-001-140735454741920-31,BINANCE-1-31,T-1a7c800947711f2d-1050490,BTCUSDT-PERP.BINANCE-DataActor-140735454741920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.486,35304.00000000,17.15774400 USDT,USDT,TAKER,1627257720000000000,1627257720000000000
