adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:bd161113-0de1-419b-8add-5e89df0e2c0f,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:a48ee88e-5059-446a-a885-8c41839785ad,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:7ebfe606-3db5-497a-8c88-b4eb61f48f52,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:1dce3f1f-9616-4637-9eed-06292ba11607,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:5f03821a-cd4d-4f2d-ab00-65fffff8386e,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:0285ef74-3103-4289-b886-8316f312e41d,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:9e89aba3-713e-44e5-86cf-e1a73ec8bd03,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:0586b9ab-cbd7-4314-a7f1-a0356985717f,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:7325a332-81f8-4b7e-be49-649bf714c511,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:60289607-fbbe-4ad2-9aba-5e97e7499671,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:05d54ec7-ee7e-4641-956d-4b913d255b17,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:7dab32f5-51cf-41e5-98aa-843d401c97bf,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:772e11ae-ca3d-4910-a5d2-048b77ff6380,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:83f9bb6b-7af6-482a-bf45-f2ce546cd419,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:117cb2b9-5161-4f92-a0c7-dbf6a43002b9,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:1e89ad53-a42c-440e-a935-a421e540893e,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:ebd1ad7c-78f6-4c3c-bd00-a3b43086af8c,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:8caa3f37-1349-419c-a349-55491e7b4b41,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:b98d62a4-35bf-4a17-b71f-b5cd49725a2f,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:9cfa17d7-6314-4c97-b788-0c21f2e29f28,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:15f8a495-5ad7-49c0-98bb-97b589587cd0,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:b89095b1-25bc-4ec4-987e-d01ee4ced580,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:75cc1c2d-74f0-479c-8949-c3e3e463e3d9,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:92a1cc7f-15f2-463f-87ea-01cee47aa9b3,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:e8830dbc-90f0-4f3f-bf7a-1f6dba07a95f,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:63610e03-efa5-4107-824d-c7f551ed6f1f,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:7be79caf-89f5-4446-b6bb-08fbe14c534b,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:73f3e47e-2ad1-4328-826c-0d108e1d3851,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:f26cb3a0-8bce-4d27-a792-b5958999dac7,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:fbc51b35-2d39-4bdf-88c7-3c90eb99e05b,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:6f41b78a-06f8-4584-ac41-64a210758449,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:3172540c-d226-4cf4-a7ce-4ab700c767b4,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:9b03a1fe-ed9a-4077-b26d-8e8a25626410,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:dbd4fc6e-e307-4280-b976-83e5fc519749,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:9c662c3b-cd59-4be0-9301-b33ab8ac2fa3,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:9958d8ef-39c6-417f-ab89-7a3bd7830c51,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:6adc3ad2-e3f3-44e5-ae42-bb28121c0657,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:47552f6e-1482-4727-914c-a317a7e57ae5,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:0447fbda-3033-4663-a3bb-ce679d285bbb,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:f9184871-0be1-43d4-ab92-747bcbe1f2ee,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:9c0aa464-2b34-42ca-9e9d-0fbf95833667,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:5ff6194f-39a9-4f9f-accc-298eeba232c9,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:47e7065e-c131-41e5-ab16-f0247406b6cf,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:92c309ba-1e56-4488-894c-ad996e2b47d4,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:5b77ad41-b2c6-4ec1-839b-afc1545eff67,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:ba669488-57b8-459d-a941-12aba600916d,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:6207b6df-bf9f-4d3c-b20c-f391cdc7e169,1614096000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19888436 USDT,,funding_settlement:e2aa684f-c8a0-4a16-a9ef-5663a4e24ed7,1614124800012000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.36051227 USDT,,funding_settlement:790ae209-1feb-4d42-b056-a6a4c7bd5213,1614153600016000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.55437329 USDT,,funding_settlement:8989e182-36d2-481d-8a0b-eb2519bfb8f2,1614182400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.15619710 USDT,,funding_settlement:eef4b044-b873-4be8-9304-236beeb5c372,1614211200007000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.25388122 USDT,,funding_settlement:0e548ee0-b073-40ca-ac34-62881b318d79,1614240000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.24374331 USDT,,funding_settlement:9bdeaafc-f221-4765-9f64-dc45d6e64f92,1614268800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.15390758 USDT,,funding_settlement:fe1c0180-5f87-4784-bac7-b2415112863a,1614297600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.10073684 USDT,,funding_settlement:8cf29f7c-f6ac-4e09-a28a-f2583a4f066d,1614326400025000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.16653492 USDT,,funding_settlement:b3eea06c-a90c-458a-a8e9-549a7c6d9bfb,1614355200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.42308039 USDT,,funding_settlement:65a1f561-9c3a-47de-af17-588c171457c8,1614384000001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.15373542 USDT,,funding_settlement:d9159fe6-d38f-4a0f-b33b-139ce8d01939,1614412800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.14514721 USDT,,funding_settlement:1ab68aa1-1434-4b65-b078-9dd07c1bab43,1614441600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12988610 USDT,,funding_settlement:22116460-39d1-442e-84a5-be207079ea01,1614470400021000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.08884296 USDT,,funding_settlement:51f4a218-b8ee-443e-8a05-07f01e87edb8,1614499200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01273398 USDT,,funding_settlement:170a10da-744d-48de-ae17-56aa518df2b4,1614528000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.87345168 USDT,,funding_settlement:c7e2d71a-47ab-46d7-9639-21a6a0e065ea,1614556800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.12502804 USDT,,funding_settlement:93a7d4a3-e6a6-4412-ba27-323bb30d46f1,1614585600003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.19497868 USDT,,funding_settlement:c9e75718-1480-4426-90e5-cc546fd37891,1614614400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.20480806 USDT,,funding_settlement:27ff1b82-ac92-4efb-ab74-038d1cde20bf,1614643200000000000
