adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:78fab741-d4da-40a5-8d57-b4c133c187d4,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:afaaf33c-d2d4-43e2-a816-45872805e2a8,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:e7d5023f-d96d-4692-85d5-bbeee054bea4,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:d5a42ea5-f8ea-4e8a-a0a3-8b977bbf7d8f,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:a475dac9-7b78-4ff0-86c0-aa41830c0ba7,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:31b99e93-e488-472c-9a22-5da0afac9201,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:de761023-f06e-4c2a-b70d-39471992b9a0,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:4bbdd7fa-29b8-4ac6-bd63-520a04b0d8a6,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:759035e1-9457-4406-b467-9357e274af3f,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:7ac71bc8-ac47-40d5-8bec-9bdbf4bccd20,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:2e54b4eb-70b6-456e-9655-351cb7586d5e,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:ca5bcec8-f980-4280-a90d-e1e2986efbbb,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:9ba849c1-a74f-4230-9e5c-18b8dd264a44,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:d79dec3b-0e86-446d-a394-dd13b8af79be,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:dfaaba06-6f8e-4bf1-8258-2f440bd76da8,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:769e7575-f704-48d6-98a3-78d2d69c90dc,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:df6d6460-d243-4485-8ad8-3eae8a6509be,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:d952317c-154c-41f5-a23c-2ed4be890813,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:1f4c8d88-630d-4c18-9d82-4e98e5e16277,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:907609f1-ea08-40d4-b296-2c308c5d4493,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:a299bd0f-8681-4c9d-baa4-047b61c4e658,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:229defb1-4256-4a14-b4b1-43474353753d,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:b4dcd6e2-91be-4024-9377-8ded11545afb,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:1000122c-8bf9-4856-9b7e-c7b2263dcf6a,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:adca08dc-ce78-4442-bf4f-aa09ab9b1eac,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:28152d62-30db-4982-afa6-92ea23a8dcb9,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:6281e451-50cf-4a9c-bf9d-8d48cab3d301,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:e14705c9-e00b-4c7d-9ef4-d07fe3de58bc,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:06b0225a-1403-47e2-8627-66d0a5468e7a,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:911f7e0f-a17e-440d-a37c-c5e7b417682e,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:d30ecbb6-30b7-470b-becb-f2e462951e54,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:7d4ef105-ed15-4b60-ae6b-d536783d9ea5,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:0461a0b7-ca53-4d5c-a9af-fe31745ed084,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:a53d537e-0898-4187-9ecc-c15d00d83810,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:7a924890-1d4b-46fc-87b2-3405d909ab28,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:4f031a09-99bc-4e5f-bd7b-794a5bb38376,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:a96c2091-54f8-474b-ab01-559cb2fbc24b,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:ead78492-f359-4de6-adcd-bf4b5d53caa2,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:8d351e46-012b-4cb3-a08c-1c2a5e9e48ba,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:49383954-1505-4348-a11f-8e18a4c1a2a8,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:7360ac79-556b-4574-907f-3105018fbbb8,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:b1cd8c1f-4ed0-4ed2-9284-4ceb05968db6,1613952000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.70514822 USDT,,funding_settlement:65c750d5-9fb0-450d-b2a2-877037ba7ce4,1613980800002000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.16616270 USDT,,funding_settlement:09d65ffc-2f74-4efa-ac36-f861f9c52471,1614009600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.30748970 USDT,,funding_settlement:8bc5aaf7-b334-4b86-8e21-66d59271916e,1614038400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.60695501 USDT,,funding_settlement:a7e88c7b-8fed-4c3c-ac14-10a88e8c2d34,1614067200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.58191780 USDT,,funding_settlement:c6375d70-4720-4939-a770-f7e3931bca21,1614096000000000000
