row_type,event_index,ts_event,instrument_id,position_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627747200003000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.486,0.486,35304.0,-40.90670714 USDT
PositionOpened,0,1612742460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.257,0.257,38849.26,-9.98425982 USDT
PositionChanged,1,1613347260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.250,0.250,38849.26,-271.49264758 USDT
PositionChanged,2,1613952060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.245,0.245,38849.26,-491.36167997 USDT
PositionChanged,3,1614556860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.243,0.243,38849.26,-552.20714873 USDT
PositionChanged,4,1615161660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.242,0.242,38849.26,-570.39626952 USDT
PositionChanged,5,1615766460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.239,0.239,38849.26,-698.40687745 USDT
PositionClosed,6,1616371260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,FLAT,0,0.000,38849.26,3622.19952528 USDT
PositionOpened,7,1616371320000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.237,0.237,57449.36,-13.61549832 USDT
PositionClosed,8,1616976060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,FLAT,0,0.000,57449.36,417.97139995 USDT
PositionOpened,9,1616976120000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.251,0.251,55857.04,-14.02011704 USDT
PositionChanged,10,1617580860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.247,0.247,55857.04,-204.67542146 USDT
PositionChanged,11,1618185660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.244,0.244,55857.04,-383.32916836 USDT
PositionClosed,12,1618790460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,FLAT,0,0.000,55857.04,-595.07644928 USDT
PositionOpened,13,1618790520000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.239,0.239,56236.47,-13.44051633 USDT
PositionChanged,14,1619395260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.309,0.309,54611.62275080907,21.62829334 USDT
PositionChanged,15,1620000060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.227,0.227,54611.62275080907,-89.73022246 USDT
PositionChanged,16,1620604860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.217,0.217,54611.62275080907,4.59464755 USDT
PositionChanged,17,1621209660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.329,0.329,51826.14096329959,78.00696445 USDT
PositionChanged,18,1621814460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.554,0.554,44850.917196616545,100.70017974 USDT
PositionChanged,19,1622419260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.523,0.523,44850.917196616545,422.65398016 USDT
PositionChanged,20,1623024060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.520,0.520,44850.917196616545,492.35112958 USDT
PositionChanged,21,1623628860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.435,0.435,44850.917196616545,998.61762012 USDT
PositionClosed,22,1624233660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,FLAT,0,0.000,35588.65,5030.04377663 USDT
PositionOpened,23,1624233720000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.519,0.519,35570.49,-18.46108431 USDT
PositionClosed,24,1624838460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,FLAT,0,0.000,35570.49,-461.96256917 USDT
PositionOpened,25,1624838520000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.519,0.519,34572.76,-17.94326244 USDT
PositionChanged,26,1625443260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.500,0.500,34572.76,-16.04622513 USDT
PositionChanged,27,1626048060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.529,0.529,34555.27448015123,-27.33714152 USDT
PositionChanged,28,1626652860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,SHORT,-0.613,0.613,34173.19308319739,-21.10652071 USDT
PositionClosed,29,1627257660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,FLAT,0,0.000,34173.19308319739,-838.68186586 USDT
PositionOpened,30,1627257720000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140722853784416,LONG,0.486,0.486,35304.0,-17.15774400 USDT
