fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,7c41189a-b57c-4e2f-99ea-7e028fb3b084,O-20210208-000000-001-140734764578576-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,5a61df27-c387-423c-947d-2b9959ff64e9,O-20210215-000000-001-140734764578576-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,5700ba9e-694a-40e0-9e6e-7f6f2a2028f4,O-20210222-000000-001-140734764578576-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,8a779c5e-a766-44b3-8e76-ca5fa76925f1,O-20210301-000000-001-140734764578576-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,6301a537-03f1-4638-a988-a75388ecbc52,O-20210308-000000-001-140734764578576-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,851f416c-82a8-4988-b6d2-d9ca57301349,O-20210315-000000-001-140734764578576-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,93ea95a7-fcfa-4acf-98d8-b9511096456b,O-20210322-000000-001-140734764578576-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,401e974f-e7b2-45fa-a1cb-fc5640618b50,O-20210322-000100-001-140734764578576-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,79a350a8-3ab6-4376-9a2e-dbf323b8b342,O-20210329-000000-001-140734764578576-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,9aa2b1ad-891f-4020-982f-795ab53217ad,O-20210329-000100-001-140734764578576-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140734764578576,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
