adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:1c0e9e86-972a-402c-85c8-6fb9139fb926,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:28ab58ff-efdd-4912-8522-b9b984ef08c1,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:9f5298d7-a702-4d47-b985-86b86924070c,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:c2fced02-4805-45a4-9a04-0d58662b1c68,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:2c1d84b4-4af7-4280-a6fd-4d39c039761d,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:0818caf3-223d-409b-a66b-5f189433811b,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:7b6c5759-15c2-44d7-9ee8-acc465c1a215,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:1fb5bf7b-99be-4eff-b409-7e862b2c7592,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:a6456681-d451-4f9e-8bff-a79401b1f63b,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:33ef7489-1ac0-4d70-b515-6d9126d96214,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:03f9c3b9-84a9-44e1-8786-ce83e6222bab,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:8665d08d-6cb4-46fd-85e3-3cce0f46c53b,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:c7cc928d-41a2-44b1-8e80-87887fc94791,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:090d9f56-6532-4031-8d70-e8f78a5fc644,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:6d127858-2b9d-4427-90e8-ae1836710032,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:85a802d4-0ef1-4084-9535-3bc9f7b0df60,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:9cef5c10-c6fe-43c2-aad9-81678167d833,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:30a20f16-9a2c-4afa-ae3b-e1093ac50f0d,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:740d86b6-61ea-4974-8497-1a5ec00406fa,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:6ea03f7a-7a22-4352-a8e1-5a69455213cf,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:448e5468-b976-4c3b-8e9b-d5ad9451e8bc,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:2c999ac7-870d-44cb-86e0-86d3c00cf474,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:42f70447-97d6-4a68-8caf-2c148fcfaa43,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:887f3228-0b8a-45e8-b9a1-995eeb24872c,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:54da1e7d-0e3a-47f9-ae4d-b3a74fc71547,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:ab1a030c-276f-46de-92cc-417172896960,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:4b7101a8-f5d2-4e82-8651-074388e40def,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:fe3d3fbe-8140-4b7d-8dc2-058e06cddce6,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:1a4f94e3-2715-4987-86ac-e30e92b129b0,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:e9bd49d8-b7b7-4b3d-a50c-afff257b288e,1613606400012000000
