adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:372556d3-acbf-44ca-a2cc-4b622bc36b77,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:bb146da9-ff62-4df8-b72f-af405d7cdf44,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:575a72fe-05ab-4cb3-9357-45ec3ac75e76,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:9f0039e3-388d-4100-8e54-936510bfa337,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:e28259ee-7232-4801-8771-563f0e96cdbe,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:18e6d53b-d66f-4a63-b4dd-414a4d4dbcac,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:eb38a707-a877-474f-af6c-1537a564a043,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:b6f970f8-b181-41b8-a260-07da90216a00,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:ec4810e9-d081-428b-b39a-decb895c22ad,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:b1f1153e-b4aa-477a-91ec-91958ad38fb6,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:73849645-cb69-4f35-8bd5-d3ac56b1168a,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:1152498d-8b18-4f23-86de-d573d7da1966,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:25a134c2-22d6-4e88-b03f-5d70293737f3,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:21c54d44-e968-4a9e-b938-280c0763ed63,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:d826d614-fadf-4213-ad88-0b4d27460ff5,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:e564a3e4-5c3c-44dd-8224-9e949308b2b3,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:1b26a486-f6d2-49e1-99af-51a13c5f1a28,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:ebc3cc7e-0ac2-4fc7-8133-65659f6f22bb,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:84bc5128-3765-40a5-b212-2462c8414b29,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:edd33ecc-1268-462b-9b8b-72135edc1ba5,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:cd171c3c-2e6d-4bcf-b4ee-592476bb1a87,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:b401b4f1-e7d8-413a-901f-27a3e25d9731,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:9df83b24-9a77-4caf-b1f9-24e76a35c708,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:6edb398a-ea24-4fdb-9d7e-a88c05cbd887,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:6c97ebf4-78e7-45e8-ba8c-a9fc2c85e1ec,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:7f8863ea-0f1f-4cbd-a1f2-18b4f6c015c0,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:0865cb89-2cf7-42c0-857b-e596aefcb51a,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:1a681300-ac1f-448a-a0aa-b166e1739752,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:25749969-f412-4d44-acc9-d5eac72394a7,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:79027dfb-827a-49a5-87e1-75e626d38f59,1613606400012000000
