row_type,event_index,ts_event,instrument_id,position_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627747200003000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.115,0.115,35304.0,-9.67957063 USDT
PositionOpened,0,1612742460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.052,0.052,38849.26,-2.02016152 USDT
PositionChanged,1,1613347260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.040,0.040,38849.26,48.33539680 USDT
PositionChanged,2,1613952060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.041,0.041,39303.84975609757,-1.76567389 USDT
PositionChanged,3,1614556860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.045,0.045,39824.696,-14.22680168 USDT
PositionChanged,4,1615161660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.040,0.040,39824.696,35.76287062 USDT
PositionChanged,5,1615766460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.043,0.043,41165.09837209302,4.44575152 USDT
PositionClosed,6,1616371260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,FLAT,0,0.000,41165.09837209302,682.21229699 USDT
PositionOpened,7,1616371320000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.046,0.046,57449.36,-2.64267056 USDT
PositionClosed,8,1616976060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,FLAT,0,0.000,57449.36,81.12525065 USDT
PositionOpened,9,1616976120000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.053,0.053,55857.04,-2.96042312 USDT
PositionChanged,10,1617580860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.060,0.060,56134.42433333333,-45.58491053 USDT
PositionChanged,11,1618185660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.065,0.065,56438.71553846153,-92.32412911 USDT
PositionClosed,12,1618790460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,FLAT,0,0.000,56438.71553846153,-186.54112627 USDT
PositionOpened,13,1618790520000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.063,0.063,56236.47,-3.54289761 USDT
PositionChanged,14,1619395260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.085,0.085,54380.04788235295,5.52709736 USDT
PositionChanged,15,1620000060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.054,0.054,54380.04788235295,-49.80724363 USDT
PositionChanged,16,1620604860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.047,0.047,54380.04788235295,-46.26918442 USDT
PositionChanged,17,1621209660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.054,0.054,53349.39149019609,-29.56754152 USDT
PositionChanged,18,1621814460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.058,0.058,52059.88793914809,-24.70173924 USDT
PositionChanged,19,1622419260000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.055,0.055,52059.88793914809,28.38201748 USDT
PositionChanged,20,1623628860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.048,0.048,52059.88793914809,125.29756158 USDT
PositionClosed,21,1624233660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,FLAT,0,0.000,35588.65,916.17518139 USDT
PositionOpened,22,1624233720000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.068,0.068,35570.49,-2.41879332 USDT
PositionClosed,23,1624838460000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,FLAT,0,0.000,35570.49,-60.52688771 USDT
PositionOpened,24,1624838520000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.065,0.065,34572.76,-2.24722940 USDT
PositionChanged,25,1626048060000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.084,0.084,34500.614285714284,-2.23185958 USDT
PositionChanged,26,1626652860000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,SHORT,-0.097,0.097,34134.25226804124,-1.23174907 USDT
PositionClosed,27,1627257660000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,FLAT,0,0.000,34134.25226804124,-134.38063697 USDT
PositionOpened,28,1627257720000000000,BTCUSDT-PERP.BINANCE,BTCUSDT-PERP.BINANCE-DataActor-140727657501248,LONG,0.115,0.115,35304.0,-4.05996000 USDT
