fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,898e9330-6dbb-4314-acd7-9c187d1cec19,O-20210208-000000-001-140722762882528-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,67f60495-f4fe-4857-a8f0-fa341157f8b1,O-20210215-000000-001-140722762882528-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,692b0233-746d-42d0-97f4-31a6abf00f06,O-20210222-000000-001-140722762882528-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,d90c5462-9a5a-4eb9-a620-ae627183e8e1,O-20210301-000000-001-140722762882528-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,7af22009-5ed9-4d6b-aa12-c7f57fb7d88b,O-20210308-000000-001-140722762882528-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,bf102bc1-2bb9-4d85-a170-2899ecfccd9f,O-20210315-000000-001-140722762882528-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,753e6958-d6c4-4606-9aea-6fdab5a235ce,O-20210322-000000-001-140722762882528-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,2ab059f5-6206-40cd-b7eb-68c77c72f7c2,O-20210322-000100-001-140722762882528-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,060bffa0-a68f-42c8-ab2e-2fb4a4558a94,O-20210329-000000-001-140722762882528-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,cc1192c6-4ad9-4707-9a4d-d4d19b2a8060,O-20210329-000100-001-140722762882528-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140722762882528,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
