fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,06295e5b-0242-49ac-8bf6-cc80e4ab3e56,O-20210208-000000-001-140720581331632-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,8988c8d2-3e53-417c-bd30-2d2413b24e7e,O-20210215-000000-001-140720581331632-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,ee25989d-7cd3-42d3-805d-1e6ad9697a44,O-20210222-000000-001-140720581331632-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,3504d06c-b4a4-40c6-9167-f631cacc94ae,O-20210301-000000-001-140720581331632-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,9f03c7f3-e8f6-4727-835c-d93d3f565715,O-20210308-000000-001-140720581331632-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,fb7e22b8-0679-445a-ac9a-27b1862b9fb2,O-20210315-000000-001-140720581331632-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,145f88be-6263-4d71-93cc-9a40295bf1f3,O-20210322-000000-001-140720581331632-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,91413b16-11f7-4a51-8be0-6426ce918261,O-20210322-000100-001-140720581331632-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,362a0a1d-25cc-410d-a625-a322633b11f4,O-20210329-000000-001-140720581331632-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,47022349-7136-46fa-aa96-7fa6d97c6921,O-20210329-000100-001-140720581331632-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,246bcca9-02ad-4913-8305-e48d890b3d21,O-20210405-000000-001-140720581331632-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,58234.60000000,0.23293840 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,8ed08204-e379-49e1-a8ff-462cf84a4cff,O-20210412-000000-001-140720581331632-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,60090.19000000,0.18027057 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,5a13b399-966c-4b5b-abbc-6362cb1671e4,O-20210419-000000-001-140720581331632-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.244,56140.04000000,13.69816976 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
13,5acff921-381a-41b7-bc89-2a5f6e76fb6e,O-20210419-000100-001-140720581331632-14,BINANCE-1-14,T-78190bb18f0ea15c-553732,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,56236.47000000,13.44051633 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
14,a55ac454-2a4d-40a8-835b-d71c7a7591c6,O-20210426-000000-001-140720581331632-15,BINANCE-1-15,T-06eea41d47eb061b-589625,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.070,49063.93000000,3.43447510 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
15,bf0c1fe3-70fd-40f2-b78f-756f67cfd31e,O-20210503-000000-001-140720581331632-16,BINANCE-1-16,T-a2573f3f94e11b73-625049,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.082,56630.34000000,4.64368788 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
16,9a31a855-9966-4738-a0de-1973d0d4d764,O-20210510-000000-001-140720581331632-17,BINANCE-1-17,T-ce24f27a7af93303-660195,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.010,58292.54000000,0.58292540 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
17,bb6171bb-75e9-4ba9-a91b-d3008219df9d,O-20210517-000000-001-140720581331632-18,BINANCE-1-18,T-2213e5468ee6d2cb-695778,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.112,46429.27000000,5.20007824 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
18,8084cfb0-6527-427d-908b-c69530481744,O-20210524-000000-001-140720581331632-19,BINANCE-1-19,T-c3d455e8b7c4a20b-732402,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.225,34651.59000000,7.79660775 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
19,28710093-c2c7-4467-a520-eeb6049c550d,O-20210531-000000-001-140720581331632-20,BINANCE-1-20,T-e3cf944dd53a0b20-768686,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.031,35651.82000000,1.10520642 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
20,7c489213-7054-43cd-b116-90c3456c99e8,O-20210607-000000-001-140720581331632-21,BINANCE-1-21,T-0d30a68c30e2e9b1-804450,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35801.72000000,0.10740516 USDT,USDT,TAKER,1623024060000000000,1623024060000000000
21,f0eac057-3e7d-4da0-8144-b1e5e60fb5e1,O-20210614-000000-001-140720581331632-22,BINANCE-1-22,T-c198ee754c308f13-840021,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.085,38993.66000000,3.31446110 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
22,f0d32177-7c38-435d-9adb-119f31051195,O-20210621-000000-001-140720581331632-23,BINANCE-1-23,T-5b933fac1eb5fddd-875277,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.435,35588.65000000,15.48106275 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
23,b996e260-924b-414e-8d98-9718d7ba8de3,O-20210621-000100-001-140720581331632-24,BINANCE-1-24,T-8f8807bfe4e1d4b8-875282,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.519,35570.49000000,18.46108431 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
24,833ab448-8a66-4207-8613-c5b2e3a605a9,O-20210628-000000-001-140720581331632-25,BINANCE-1-25,T-102ebecf4ba529a3-910953,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.519,34687.70000000,18.00291630 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
25,01f01468-25f7-46d6-b38b-e9762ed5f5ec,O-20210628-000100-001-140720581331632-26,BINANCE-1-26,T-4808b99cf0348c4d-910957,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.519,34572.76000000,17.94326244 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
26,ec7c9ed8-a7e4-45b6-973e-3a7eb3aa9d3f,O-20210705-000000-001-140720581331632-27,BINANCE-1-27,T-7e947ef2b4da6a48-946146,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.019,35280.17000000,0.67032323 USDT,USDT,TAKER,1625443260000000000,1625443260000000000
27,213fa50e-4ea8-43f7-a4c3-5ee95373a14f,O-20210712-000000-001-140720581331632-28,BINANCE-1-28,T-05e2f749c6e30f6f-981120,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.029,34253.80000000,0.99336020 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
28,13df7644-2d17-4470-9df4-504ff73d9326,O-20210719-000000-001-140720581331632-29,BINANCE-1-29,T-708cdeea6d5089b6-1015760,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.084,31766.99000000,2.66842716 USDT,USDT,TAKER,1626652860000000000,1626652860000000000
29,70632911-7592-4c03-bfe0-790be7fcd37a,O-20210726-000000-001-140720581331632-30,BINANCE-1-30,T-396cf8ddf89be646-1050485,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.613,35370.67000000,21.68222071 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
30,cca05100-1bf3-469a-8c68-6d973dffbee3,O-20210726-000100-001-140720581331632-31,BINANCE-1-31,T-1a7c800947711f2d-1050490,BTCUSDT-PERP.BINANCE-DataActor-140720581331632,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.486,35304.00000000,17.15774400 USDT,USDT,TAKER,1627257720000000000,1627257720000000000
