adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:407ddfbc-5589-47e9-9538-323a58352492,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:d77407f8-4f20-475c-8437-7b86542d4351,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:6b5c981f-79f3-460c-96df-d8d8624ecdc3,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:c7c9679f-cc9b-42ee-b630-41e4a61346be,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:c8aa66f3-da04-4786-854d-e2a424765a4e,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:12905796-2e08-43c6-8a94-ccefc70d0919,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:fd1a1990-98d2-4048-bd81-00b0227f513d,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:0a329889-42b1-4c5b-bf73-7a96656f98f9,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:8ec46da9-47c4-4935-9314-9054ebbe7517,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:a7a7808d-01ca-464c-9b6e-b7ef4ab92ef1,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:1a81f569-1f0c-4b55-80e3-8943400c9d61,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:3c269e2a-d536-4004-8dc8-f9834c966569,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:b247426a-adc0-4aa3-9cf5-f13378cb7d62,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:94d26050-8c6c-4aeb-bfc1-8e243aea9b12,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:c371fbf4-ff08-403a-8bb2-1ab725f1726e,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:d5353707-57f5-4210-a821-f12cb271eeaf,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:b6b5d3be-4da4-4f6d-8715-11030d07bcd4,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.08837470 USDT,,funding_settlement:2071a8c4-15fa-4289-9d84-4c5e58b43591,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71155584 USDT,,funding_settlement:7691ffed-2f20-485a-a685-3e8954a564a0,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.78135744 USDT,,funding_settlement:d75ec30c-54d7-4a21-b926-ffc42789762b,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.98298755 USDT,,funding_settlement:d176e7e3-f85c-4141-a2c8-12ba5fed85c3,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.76829509 USDT,,funding_settlement:ed1129fb-7b67-45a7-ab36-1517f250b69a,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.30801979 USDT,,funding_settlement:e019c877-5aa5-4f43-8ef8-b6047987280b,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91153993 USDT,,funding_settlement:0dc22b36-5c8b-45da-a24c-9df3bd2f6563,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.43229458 USDT,,funding_settlement:1b8e93b0-bc06-4e6d-bf3b-dbada6c6ee04,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.78156550 USDT,,funding_settlement:e1d5b03b-ab18-4708-ba28-2f812b2cf168,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.04892467 USDT,,funding_settlement:63ec6f9a-c86d-4660-af4b-ab6d91f66172,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.91274966 USDT,,funding_settlement:06cb2c2f-3bf5-488a-b447-7a8b31b75e62,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.01409715 USDT,,funding_settlement:d8bbc40d-c620-44a5-a8da-51ae0628ef30,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.76107399 USDT,,funding_settlement:6bfea11f-ed09-4ccc-8b68-66b7d1801c8e,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21039489 USDT,,funding_settlement:09b33b3d-21d2-4b9c-b930-ddffcf400dc3,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.60029557 USDT,,funding_settlement:141b8f53-b9fe-4233-b182-1e2753f9b7c0,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.88387443 USDT,,funding_settlement:1c8b381d-c939-45b2-a232-5b7164bfbab9,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.75233488 USDT,,funding_settlement:f251ac7c-3acf-41c6-ac7b-6a089f0e43f7,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77862596 USDT,,funding_settlement:868609b3-7b8f-4cfe-8e97-049a5ce0a5f8,1613750400008000000
