fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,7a90311e-b059-41be-9b0b-7e8a71c8922b,O-20210208-000000-001-140730851809264-1,BINANCE-1-1,T-d1eb59afcb639be1-194431,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.053066,38828.93,2.06049600 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,4097c35e-9f83-4588-81e8-0dac1a558f7f,O-20210215-000000-001-140730851809264-2,BINANCE-1-2,T-c548b13be1158784-229447,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012049,48626.69,0.58590299 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,14f0cd44-f1e3-48a7-bd89-d9509d506171,O-20210222-000000-001-140730851809264-3,BINANCE-1-3,T-54ab2240262a4a50-264745,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000763,57462.56,0.04384393 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,fb1af454-9482-454a-afe3-e475957330de,O-20210301-000000-001-140730851809264-4,BINANCE-1-4,T-ac281f247fd7fda3-301335,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004997,45260.75,0.22616797 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,23bee8ec-fdca-4fcf-9834-9a5e9fad16d0,O-20210308-000000-001-140730851809264-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.005887,50865.52,0.29944532 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,463abbdb-d96b-4279-9492-65e602841679,O-20210315-000000-001-140730851809264-6,BINANCE-1-6,T-e4039ae4ef85d929-371895,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.003942,59240.26,0.23352510 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,07dd2a52-e20e-4976-867a-015872422d6d,O-20210322-000000-001-140730851809264-7,BINANCE-1-7,T-e88f57f1af27578f-406907,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.044832,57386.15,2.57273588 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,88c66d08-0c32-4c6f-9349-9d6d3d0b533d,O-20210329-000000-001-140730851809264-8,BINANCE-1-8,T-3082ee7b3f2bdc71-441987,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.054464,55824.60,3.04043101 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
8,911f89b1-fd03-42c9-901f-1433ae80cefe,O-20210405-000000-001-140730851809264-9,BINANCE-1-9,T-7bab3a5fc888d8ab-476348,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007156,58249.80,0.41683557 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
9,caa0e592-9709-4eb0-a120-89937b56fcc0,O-20210412-000000-001-140730851809264-10,BINANCE-1-10,T-8306f8f8f7e67219-510506,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005647,60160.01,0.33972358 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
10,98d92818-4f74-4cd3-85ab-9559ca5f5958,O-20210419-000000-001-140730851809264-11,BINANCE-1-11,T-7d19d7b10f0e7d93-544941,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067267,56234.79,3.78274562 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
11,49511f2e-e175-48b9-a46b-d6a26ce1528a,O-20210621-000000-001-140730851809264-12,BINANCE-1-12,T-5b933fac1eb5fddd-861010,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.064894,35576.54,2.30870399 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
12,a64b314f-bb61-48e4-88b0-281a3f6a4be3,O-20210628-000000-001-140730851809264-13,BINANCE-1-13,T-102ebecf4ba529a3-896934,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.064894,34579.36,2.24399299 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
13,58d093bb-40cb-4d5d-934b-6773faf54dc6,O-20210726-000000-001-140730851809264-14,BINANCE-1-14,T-396cf8ddf89be646-1035713,BTCUSDT.BINANCE-DataActor-140730851809264,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.110397,35325.99,3.89988332 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
