fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,9ecc063d-7f33-41d7-8296-9ca0da1c2cd5,O-20210208-000000-001-140733745110816-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,9c4fe0a0-b86a-4f69-a08f-128068b04cf0,O-20210215-000000-001-140733745110816-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,0ef57d81-ef5d-4866-a3ae-6d775495d0b0,O-20210222-000000-001-140733745110816-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,1d312471-37bd-49f1-840a-08693495b529,O-20210301-000000-001-140733745110816-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,fdc24789-8257-4dd3-91c9-0efc23c787bd,O-20210308-000000-001-140733745110816-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,a51883c5-7728-4481-92e9-e15282865f17,O-20210315-000000-001-140733745110816-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,b72af71f-201a-436e-803e-4432e614710a,O-20210322-000000-001-140733745110816-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,ba4845f2-474f-446c-bb10-5fe948fcf147,O-20210322-000100-001-140733745110816-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,e6bca3ee-07eb-4bd1-91fb-7ab60e789a1f,O-20210329-000000-001-140733745110816-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,2917ea63-1ec1-491d-8d14-f5296dd02d6b,O-20210329-000100-001-140733745110816-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,7772ffb2-dcfa-49ff-b407-2f6187109933,O-20210405-000000-001-140733745110816-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,58234.60000000,0.23293840 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,ece63b3b-bbfb-41b4-a976-3c1d2b919aac,O-20210412-000000-001-140733745110816-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,60090.19000000,0.18027057 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,b5be9d14-adfe-4693-8d1d-a512d06c703a,O-20210419-000000-001-140733745110816-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140733745110816,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.244,56140.04000000,13.69816976 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
