fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,a8032af2-254b-4c16-a7ce-c1eea0c44f95,O-20210208-000000-001-140731227789952-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.052,38849.26000000,2.02016152 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,a0e25f6c-f42f-44f7-b0ca-4df9535f951a,O-20210215-000000-001-140731227789952-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.012,48655.20000000,0.58386240 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,01961f62-dc92-4d29-874f-566244476250,O-20210222-000000-001-140731227789952-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,489f29bd-2e91-4c11-8828-2b6a1c9dcd9c,O-20210301-000000-001-140731227789952-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,45163.37000000,0.18065348 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,93dea0db-82f7-44ee-8413-fe99e9906e19,O-20210308-000000-001-140731227789952-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,50995.26000000,0.25497630 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,7ae10da3-b528-489e-8531-04fd055099ef,O-20210315-000000-001-140731227789952-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,59037.13000000,0.17711139 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,74d2a16b-7d1c-470c-b318-35480cf5c64d,O-20210322-000000-001-140731227789952-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.043,57415.17000000,2.46885231 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,f9c17f55-d2ae-4045-8141-5345fc3d6d96,O-20210322-000100-001-140731227789952-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.046,57449.36000000,2.64267056 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,c529c951-d2bb-4037-81c9-d5a423182f31,O-20210329-000000-001-140731227789952-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.046,55805.09000000,2.56703414 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,dc279953-023f-4079-be67-ce011cebe238,O-20210329-000100-001-140731227789952-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140731227789952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.053,55857.04000000,2.96042312 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
