adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-1.18315753 USDT,,funding_settlement:25a139fd-fba2-444e-9602-35a9fdf04c14,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.66749749 USDT,,funding_settlement:62c421e7-53ea-4a91-a0e3-636b5eda1284,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.16484291 USDT,,funding_settlement:f578eea2-14e1-4a25-a8d1-d3d3589c8f22,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.62040777 USDT,,funding_settlement:13f9d142-7a24-4ce7-989c-ec33037a1fc4,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.92675978 USDT,,funding_settlement:bb698569-43fa-4177-8068-89ef129c6372,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.00689860 USDT,,funding_settlement:2ce1609e-e3bb-4408-8dab-e3e69f331e84,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.25602012 USDT,,funding_settlement:1acf8d26-9ae8-4e7b-a3c1-ff7f87aa5e74,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.59290325 USDT,,funding_settlement:e24b93af-3aa1-4614-bd7d-e4af1180135d,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.79035277 USDT,,funding_settlement:b142063f-7938-40aa-8ad4-e1277f69057f,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.93347821 USDT,,funding_settlement:3e9a0d78-cfcb-4c71-9653-0d8930473adf,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.35289792 USDT,,funding_settlement:88fb4fbb-37b5-4ca5-8747-ad43cebf3f36,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.21890144 USDT,,funding_settlement:1be2cab6-d281-49e8-a88f-425b96e40dbc,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.09602260 USDT,,funding_settlement:638971c2-4c63-4256-992f-29c0f5b0df33,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.58274353 USDT,,funding_settlement:c87a59c7-bd67-4a15-9b63-3ca983f2fc75,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44927576 USDT,,funding_settlement:9cd87091-d33e-4e44-89ef-3c962494b269,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.46415882 USDT,,funding_settlement:494d2279-72f6-4e4f-8f0b-3d047ccb3529,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.86126525 USDT,,funding_settlement:cbdbe07c-be7c-46e8-b96c-5e4ff014cdb8,1613232000000000000
